"ensembl_gene_id","gene_biotype"
"ENSG00000018607","transcribed_unprocessed_pseudogene"
"ENSG00000042304","transcribed_unprocessed_pseudogene"
"ENSG00000064489","protein_coding"
"ENSG00000067601","transcribed_unprocessed_pseudogene"
"ENSG00000073905","processed_pseudogene"
"ENSG00000078319","transcribed_unprocessed_pseudogene"
"ENSG00000083622","lncRNA"
"ENSG00000093100","lncRNA"
"ENSG00000093134","transcribed_unitary_pseudogene"
"ENSG00000099251","transcribed_unprocessed_pseudogene"
"ENSG00000099725","transcribed_unitary_pseudogene"
"ENSG00000100058","transcribed_unprocessed_pseudogene"
"ENSG00000100068","transcribed_unprocessed_pseudogene"
"ENSG00000100101","protein_coding"
"ENSG00000100181","transcribed_unprocessed_pseudogene"
"ENSG00000103200","processed_pseudogene"
"ENSG00000103832","unprocessed_pseudogene"
"ENSG00000104970","transcribed_unprocessed_pseudogene"
"ENSG00000105501","lncRNA"
"ENSG00000105694","processed_pseudogene"
"ENSG00000105988","processed_pseudogene"
"ENSG00000106133","transcribed_unprocessed_pseudogene"
"ENSG00000106540","processed_pseudogene"
"ENSG00000106610","transcribed_unprocessed_pseudogene"
"ENSG00000108442","processed_pseudogene"
"ENSG00000108448","transcribed_unprocessed_pseudogene"
"ENSG00000108516","unprocessed_pseudogene"
"ENSG00000108785","unprocessed_pseudogene"
"ENSG00000108958","processed_pseudogene"
"ENSG00000111780","protein_coding"
"ENSG00000111788","unprocessed_pseudogene"
"ENSG00000115934","lncRNA"
"ENSG00000116652","lncRNA"
"ENSG00000117507","transcribed_unitary_pseudogene"
"ENSG00000118903","processed_pseudogene"
"ENSG00000118976","processed_pseudogene"
"ENSG00000118990","processed_pseudogene"
"ENSG00000119660","processed_pseudogene"
"ENSG00000120555","transcribed_unprocessed_pseudogene"
"ENSG00000121388","transcribed_unprocessed_pseudogene"
"ENSG00000122043","lncRNA"
"ENSG00000122872","processed_pseudogene"
"ENSG00000123009","processed_pseudogene"
"ENSG00000123201","transcribed_unitary_pseudogene"
"ENSG00000123447","unprocessed_pseudogene"
"ENSG00000123870","transcribed_unprocessed_pseudogene"
"ENSG00000123965","unprocessed_pseudogene"
"ENSG00000124097","protein_coding"
"ENSG00000124224","transcribed_unprocessed_pseudogene"
"ENSG00000124549","transcribed_unprocessed_pseudogene"
"ENSG00000124593","protein_coding"
"ENSG00000125122","transcribed_unitary_pseudogene"
"ENSG00000125385","processed_pseudogene"
"ENSG00000125514","lncRNA"
"ENSG00000125695","protein_coding"
"ENSG00000125899","lncRNA"
"ENSG00000126952","transcribed_unprocessed_pseudogene"
"ENSG00000127589","transcribed_processed_pseudogene"
"ENSG00000127957","transcribed_unprocessed_pseudogene"
"ENSG00000128262","transcribed_unprocessed_pseudogene"
"ENSG00000128438","transcribed_unprocessed_pseudogene"
"ENSG00000128692","processed_pseudogene"
"ENSG00000130612","transcribed_unprocessed_pseudogene"
"ENSG00000131002","transcribed_unprocessed_pseudogene"
"ENSG00000131152","protein_coding"
"ENSG00000131401","transcribed_unprocessed_pseudogene"
"ENSG00000131484","lncRNA"
"ENSG00000131797","transcribed_unprocessed_pseudogene"
