"","x"
"RSL1D1",-537
"EIF3A",-1586
"RPS24",-2193
"SNRPC",-642
"C11orf58",-8108.5
"COX8A",-2511
"EIF3H",-1146
"RBX1",-1256
"NME1",-8191
"NSA2",-1613
"RDX",-15
"PSMD12",-5065
"RPL10A",-2462
"KIF5B",-2967
"TPI1",-5585
"PDCD5",-6154
"NUP50",13
"FAM136A",-4873
"SNX6",-3100
"MICOS10",-6221
"RPL32P18",-3703
"HSPD1",-9993.5
"RAB7A",-2711
"ST13",-2032
"BRD2",-590
"RNPS1",-1715.5
"RPS8P8",-7968
"YWHAZ",-2871
"AP2S1",-16427.5
"PAK2",-5005
"ABCF2",-1019
"DUT",-7296
"PGAM1",-1286
"CAPRIN1",-87
"HSBP1",-9880
"RBM39",-3629
"SUMO2",-183
"NOLC1",-7761
"MRPL11",-12870.5
"PRPF8",-1176
"MORF4L1",-2939
"NIFK",-102
"LSM12",-1673
"EIF4H",-3525
"AP2B1",-5625
"FUS",-8905
"DCUN1D5",-1611
"RPL29",-3905
"RPS5",-1385
"RUVBL2",-6232
"SNRPE",-2045.5
"SRSF4",-456
"NAA50",-1253
"TFAM",-158
"WAC",-747
"HSP90AB1",-3267.5
"GET3",-1562.5
"MRPS34",-7100
"ELOC",-814
"EEF1B2",-624
"HSP90AA1",49
"RPL39",-5445
"SPCS1",-7751.5
"KDM5B",-3451
"RPS29",-5243
"PSME3",-473
"TMEM147",-4359.5
"PPIG",-1764
"DTYMK",-7490.5
"ATP5MC1",-10801.5
"ITSN1",-2741
"EXOSC3",-204
"SBNO1",-2942
"PUM3",-1933
"ELOF1",-300
"NACA",-1562
"NUDC",-84
"RPS27A",-16234
"NRDC",-10111
"SZRD1",-1606
"VPS29",-5445
"UBE2D3",-192
"RSL24D1",-93
"MRPL33",-9376
"PNISR",-1212
"MCM5",-7967.5
"HNRNPC",-1168
"VPS35",-1603
"RNF167",-4596
"TCOF1",-74
"NOP56",-3107.5
"KHDRBS1",-1475
"UTP6",-977
"SAP18",-315
"IDH3B",-8521.5
"NDUFA10",-1463.5
"RPF2",-379
"C14orf119",-1263
"ITPA",-11474
"TAF1D",-1400
"RPS27",-13
"NPM1",-2133
"MPHOSPH10",43
"ISCU",-2660
"COPS2",-1301
"UBE2B",-4146
"HIC2",-5726
"ATP5PD",-9017.5
"TMEM11",0
"JMJD6",-884
"PPIH",-10363
"OCIAD1",-7679
"HNRNPU",74
"BRIX1",-177
"UBAP2",-7412
"PTRH2",-230
"MRPL20",-1241
"AP1G1",-1067
"PTPN11",-639
"DAG1",-2404
"RAB35",-1019
"CDC5L",-793
"HNRNPM",-11629
"MRPL22",-2968.5
"NUP160",-728
"APLP2",-2056
"ARIH2",-1726
"HIKESHI",-14064
"FUNDC2",-5669
"UBAP2L",-826
"TAF13",-312
"MRPS26",-7831
"UBE2K",-800
"CCAR1",-5912
"GTF3C2",-3335
"GNB1",-7533.5
"NSUN5",-8664
"SSU72",-1542.5
"DDOST",-1998
"SNRNP25",-1200
"CWC15",16
"SCAF11",-174
"PGD",-4325.5
"MAGOHB",-10254
"COX16",-66
"CHD1",-1964.5
"USP39",-4226
"ANP32B",-4998
"H2AZ2",-23
"GPBP1L1",-2703.5
"PTP4A2",-472
"TMBIM6",-900
"SERF2",-1440
"SMC2",103
"NDUFB4",-5277
"SBDS",-815
"NLRP2",-16216
"PHF5A",81
"RBIS",-7866.5
"EIF4A3",-5084
"PWP1",114
"SUPT5H",-3391
"SNRNP200",-1759
