"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_MYC_TARGETS_V2",0.0449028018618235,0.958232209737828,0.0458898760873684,0.655052264808362,1.4299637306257,5,"[""DDX18"",""NPM1"",""GNL3""]"
"HALLMARK_TGF_BETA_SIGNALING",0.125437647208607,0.958232209737828,0.0159272103833881,0.800925925925926,1.28341072988001,2,"[""UBE2D3"",""RHOA""]"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.1313967555277,0.958232209737828,0.0102486874208711,-0.897180521280809,-1.27960210947823,2,"""CALU"""
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.141423220973783,0.958232209737828,0.0116870743281787,0.930635838150289,1.24054056845296,1,"""PSMA3"""
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.177887640449438,0.958232209737828,0.0103177074641968,0.912138728323699,1.21588386150234,1,"""EIF1"""
"HALLMARK_ALLOGRAFT_REJECTION",0.199644063155973,0.958232209737828,0.0215728773482416,0.534262485481998,1.16628247533302,5,"[""NPM1"",""UBE2N"",""RPS19"",""EIF4G3"",""CD40""]"
"HALLMARK_BILE_ACID_METABOLISM",0.277483146067416,0.958232209737828,0.00803179485588863,0.86242774566474,1.14961896157256,1,"""ABCA8"""
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.324287248636175,0.958232209737828,0.00487030372181191,-0.687621731164729,-1.13600438057243,7,"[""FPR1"",""PTPN1"",""NCOA3"",""PTPN2""]"
"HALLMARK_PANCREAS_BETA_CELLS",0.302231745046407,0.958232209737828,0.00765152208212116,-0.84971098265896,-1.13289050582888,1,"""SPCS1"""
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.328965587605125,0.958232209737828,0.00597518912255399,-0.789351851851852,-1.12581166308451,2,"[""PTPN1"",""PTPN2""]"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.344225075070362,0.958232209737828,0.00460707813128637,-0.668356465039053,-1.11886677260523,8,"[""EIF4E"",""PAK4""]"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.350898252741954,0.958232209737828,0.00447458209028475,-0.648059883666025,-1.10614420863237,10,"[""EIF4E"",""SPCS1"",""EIF2S1""]"
"HALLMARK_INFLAMMATORY_RESPONSE",0.477132578252138,0.958232209737828,0.00365179673536792,-0.634158713981284,-1.03049160014492,6,"[""FPR1"",""GNAI3"",""ATP2C1""]"
"HALLMARK_UV_RESPONSE_UP",0.494167006706634,0.958232209737828,0.00340987192240741,-0.611220253623601,-1.02321750188027,8,"[""PRPF3"",""NUP58"",""BSG"",""DNAJA1"",""GRPEL1""]"
"HALLMARK_XENOBIOTIC_METABOLISM",0.470142322097378,0.958232209737828,0.00581458696829374,0.765317919075144,1.02017125008182,1,"""TMBIM6"""
"HALLMARK_P53_PATHWAY",0.50018760294314,0.958232209737828,0.00400699724651351,-0.664097051159255,-0.994359855589092,3,"[""SP1"",""RPS27L""]"
"HALLMARK_ANDROGEN_RESPONSE",0.537357635824197,0.958232209737828,0.00319187255938685,-0.598442682471914,-0.988673682052011,7,"[""LMAN1"",""GNAI3"",""SRP19""]"
"HALLMARK_SPERMATOGENESIS",0.524518750755181,0.958232209737828,0.00385077557160756,-0.651356632834078,-0.975283486398997,3,"[""TSN"",""RAD17""]"
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.547365792759051,0.958232209737828,0.00525083310140974,0.726011560693642,0.967775747811752,1,"""NDUFA6"""
"HALLMARK_MITOTIC_SPINDLE",0.581725096699396,0.958232209737828,0.0028191859771569,-0.566329535001167,-0.966642359924008,10,"[""ITSN1"",""PPP4R2"",""HOOK3"",""STAU1"",""KIF23"",""CSNK1D""]"
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.582112359550562,0.958232209737828,0.00503033793224476,0.709826589595376,0.946201129229962,1,"""CDC20"""
"HALLMARK_MYOGENESIS",0.550114583996435,0.958232209737828,0.00705738288178936,0.585648148148148,0.938447730230183,2,"[""EIF4A2"",""GABARAPL2""]"
"HALLMARK_PEROXISOME",0.575654861459996,0.958232209737828,0.0035477850789577,-0.625489425658848,-0.936552231160993,3,"""VPS4B"""
"HALLMARK_ADIPOGENESIS",0.626526256316896,0.958232209737828,0.00264051487978911,-0.552468538055942,-0.924863785232429,8,"[""ITSN1"",""YWHAG"",""GRPEL1"",""RTN3"",""UBQLN1"",""CS"",""IMMT""]"
"HALLMARK_HEME_METABOLISM",0.598179791318914,0.958232209737828,0.00318062340594562,-0.593967517401392,-0.920943296372203,4,"[""RBM38"",""GAPVD1"",""BSG"",""PSMD9""]"
