"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"TIEN_INTESTINE_PROBIOTICS_24HR_DN",5.36831097661786e-05,0.638171393944287,0.557332238758646,0.466439135381115,1.8171103253016,30,"[""EEF2"",""EIF4B"",""RPS23"",""CSNK1A1"",""HSPA8"",""RPL10"",""RPL13A"",""EEF1A1"",""RPS18"",""NAP1L1"",""RPS3"",""EIF1"",""TPT1"",""RPS6"",""NCOR1"",""RPLP0"",""RPS14"",""P4HB"",""RPL3"",""RPL12"",""RPL5"",""MANF"",""FTL"",""HSPA9"",""PABPC1"",""RPS7"",""GARS1"",""RPL4"",""EIF5A"",""RACK1""]"
"GAUCHER_PBMC_YF_VAX_STAMARIL_UNKNOWN_AGE_3DY_DN",5.40136600883866e-05,0.638171393944287,0.557332238758646,0.470521541950113,1.79153728346833,27,"[""EEF2"",""EIF4B"",""RPS20"",""EIF3L"",""RPL13A"",""EEF1A1"",""RPS5"",""RPS18"",""EIF3F"",""RPS3"",""RPS13"",""TPT1"",""RPS6"",""RPS27A"",""RPLP0"",""RPL27"",""EEF1B2"",""RPS14"",""RPL3"",""RPS4X"",""RPL18"",""RPL5"",""PABPC4"",""RPL22"",""SNHG29"",""FBL"",""RPL4""]"
"MIR197_3P",8.65434870749529e-05,0.681674199860379,0.538434096309916,0.975717439293598,1.78750297321064,3,"[""CTNNA1"",""KPNA6"",""NAP1L4""]"
"GOBP_PROTEIN_MONOUBIQUITINATION",0.000243878930312904,0.82326558904199,0.518848077743792,0.932596685082873,1.89196448686822,4,"[""UBB"",""WAC"",""DDB1"",""UBE2D3""]"
"GAUCHER_PBMC_YF_VAX_STAMARIL_UNKNOWN_AGE_10DY_DN",0.000213596149920674,0.82326558904199,0.518848077743792,0.645879732739421,1.8797142384597,11,"[""EEF2"",""EIF4B"",""PCBP2"",""EIF3L"",""EIF3F"",""RPS3"",""BTF3"",""RPS4X"",""PABPC4"",""RPL22"",""PABPC1""]"
"GOBP_NEUROBLAST_PROLIFERATION",0.000225479149376982,0.82326558904199,0.518848077743792,0.96738223776026,1.77223298117899,3,"[""CTNNA1"",""RAB10"",""SIX3""]"
"chr14q23",0.000241627249696135,0.82326558904199,0.253034908093029,-0.998019317475271,-1.45259971329332,2,"""ATP5F1AP4"""
"GOBP_NEURAL_PRECURSOR_CELL_PROLIFERATION",0.00034820179309441,1,0.49849310876659,0.801771871539313,1.88365527303829,6,"[""CTNNA1"",""RAB10"",""RHOA"",""NAP1L1"",""SIX3""]"
"MIR6516_5P",0.000708101322862017,1,0.311094862804354,0.920994475138121,1.86842701398657,4,"[""RAB10"",""POU2F1"",""TPT1"",""GDI2""]"
"GOBP_REGULATION_OF_NEURAL_PRECURSOR_CELL_PROLIFERATION",0.00106215198429303,1,0.253034908093029,0.907750706827764,1.84155930180584,4,"[""CTNNA1"",""RHOA"",""NAP1L1"",""SIX3""]"
