"","gene","zero.all","segIdx","rho","sigma","mu","mu.scaled","zero","segIdx_hESC","segIdx_non_hESC","segIdx_hESCvsnon_hESC"
"ENSG00000125977","ENSG00000125977",0,0.866956703743571,1,0.300634650281065,11.7631587538259,0.580889219212183,0,1,1,0
"ENSG00000135486","ENSG00000135486",0,0.864459992823825,1,0.31415633177177,13.2087485380022,0.656946226061911,0,2,2,0
"ENSG00000237425","ENSG00000237425",0,0.859825379739266,1,0.341250384330171,3.05657524062448,0.12280858724464,0,3,3,0
"ENSG00000230383","ENSG00000230383",0,0.859122712594187,1,0.344647558577402,4.67432718855639,0.207923584826841,0,4,4,0
"ENSG00000166681","ENSG00000166681",0,0.857717378304031,1,0.353172509123301,13.4475275619191,0.669509138484519,0,5,5,0
"ENSG00000132475","ENSG00000132475",0,0.856895108240641,1,0.358196123751713,13.9159652522416,0.694155112751573,0,6,6,0
"ENSG00000243199","ENSG00000243199",0,0.85514591556034,1,0.367245011103098,4.82152392351446,0.215668066146169,0,7,7,0
"ENSG00000133112","ENSG00000133112",0,0.854772156440617,1,0.369298715158337,15.4932379945782,0.777140372526455,0,8,8,0
"ENSG00000196262","ENSG00000196262",0,0.853979787106805,1,0.372798539307743,12.6256595584033,0.626268088321321,0,9,9,0
"ENSG00000155506","ENSG00000155506",0,0.853949886377228,1,0.372946766357857,12.8974457233146,0.640567609826376,0,10,10,0
"ENSG00000214121","ENSG00000214121",0,0.853830283458916,1,0.37349945372654,4.41820864379344,0.194448385896546,0,11,11,0
"ENSG00000172757","ENSG00000172757",0,0.853680779811027,1,0.374169320259406,13.9499946965154,0.695945508411915,0,12,12,0
"ENSG00000100567","ENSG00000100567",0,0.85282860901806,1,0.378935575268465,12.2655045051354,0.607319202784629,0,13,13,0
"ENSG00000293057","ENSG00000293057",0,0.850436550651836,1,0.390971381982042,8.60123588440236,0.414530552341074,0,14,14,0
"ENSG00000122406","ENSG00000122406",0,0.850227245544791,1,0.391792395385928,14.8368673942967,0.742606659167367,0,15,15,0
"ENSG00000164346","ENSG00000164346",0,0.850047841167324,1,0.392686676005684,10.9533680429644,0.538283593247598,0,16,16,0
"ENSG00000188529","ENSG00000188529",0,0.849509628034924,1,0.395994732228242,12.6355144897878,0.626786587131991,0,17,17,0
"ENSG00000204117","ENSG00000204117",0,0.849180720009568,1,0.397544760334965,4.44182410003301,0.195690869024632,0,18,18,0
"ENSG00000241061","ENSG00000241061",0,0.848986365267313,1,0.399026568724374,6.60109520724961,0.3092968858834,0,19,19,0
"ENSG00000164985","ENSG00000164985",0,0.848777060160268,1,0.400351906181748,12.4877299482322,0.619011179466264,0,20,20,0
"ENSG00000142864","ENSG00000142864",0,0.848582705418012,1,0.401426080853222,13.9266535182267,0.694717455905999,0,21,21,0
"ENSG00000197912","ENSG00000197912",0,0.84807439301519,1,0.403483675887985,12.8383827213478,0.637460120278288,0,22,22,0
"ENSG00000198618","ENSG00000198618",0,0.8472521229518,1,0.408363572943303,7.73911353656267,0.369171595026423,0,23,23,0
"ENSG00000147274","ENSG00000147274",0,0.846564406171511,1,0.413563441131327,11.9120632307746,0.58872355018713,0,24,24,0
"ENSG00000150459","ENSG00000150459",0,0.846385001794044,1,0.414461465761383,12.4831601368607,0.618770747375095,0,25,25,0
"ENSG00000234145","ENSG00000234145",0,0.846190647051788,1,0.415743384301673,4.58184142994211,0.203057619354875,0,26,26,0
"ENSG00000166913","ENSG00000166913",0,0.845996292309532,1,0.417071879573905,14.6639970232668,0.733511407431741,0,27,27,0
"ENSG00000230207","ENSG00000230207",0,0.845861739026432,1,0.417642850989646,6.52637864488642,0.30536581348814,0,28,28,0
"ENSG00000115128","ENSG00000115128",0,0.845562731730654,1,0.419059171184097,11.5853439715403,0.571533826512044,0,29,29,0
"ENSG00000069275","ENSG00000069275",0,0.84466570984332,1,0.42280517708487,13.8757005068156,0.692036658365556,0,30,30,0
"ENSG00000174444","ENSG00000174444",0,0.844650759478531,1,0.42284754322231,14.5923138220439,0.729739929668061,0,31,31,0
"ENSG00000226525","ENSG00000226525",0,0.844635809113742,1,0.422921128190194,4.25861946527608,0.186051899302285,0,32,32,0
"ENSG00000175130","ENSG00000175130",0,0.844426504006698,1,0.423982196812105,13.7380900601799,0.68479654170388,0,33,33,0
"ENSG00000173812","ENSG00000173812",0,0.843813539050353,1,0.427667653284233,13.4404599229276,0.669137287857826,0,34,34,0
"ENSG00000213553","ENSG00000213553",0,0.84357433321373,1,0.429058319693961,9.17976169849149,0.444968607650101,0,35,35,0
"ENSG00000126067","ENSG00000126067",0,0.843095921540486,1,0.43220924248328,12.4647213737,0.617800626285861,0,36,36,0
"ENSG00000154518","ENSG00000154518",0,0.843006219351752,1,0.432691782684998,13.4346150001068,0.668829768159025,0,37,37,0
"ENSG00000117632","ENSG00000117632",0,0.842647410596819,1,0.434885836986069,13.1219360331226,0.652378748240374,0,38,38,0
"ENSG00000164032","ENSG00000164032",0,0.842482956584141,1,0.436199201443356,13.767717233483,0.686355320098361,0,39,39,0
"ENSG00000089009","ENSG00000089009",0,0.842333452936252,1,0.436987539417415,12.5944294935296,0.624624976780262,0,40,40,0
"ENSG00000103275","ENSG00000103275",0,0.842303552206674,1,0.43706058824394,11.7367622251053,0.57950041514917,0,41,41,0
"ENSG00000235552","ENSG00000235552",0,0.841436431048918,1,0.441062155882929,5.25472131248667,0.238459937769084,0,42,42,0
"ENSG00000259781","ENSG00000259781",0,0.841361679224973,1,0.441232251716542,6.63127477542255,0.310884727502355,0,43,43,0
"ENSG00000129351","ENSG00000129351",0,0.841257026671451,1,0.441574235752627,13.1687739631615,0.654843038459347,0,44,44,0
"ENSG00000196531","ENSG00000196531",0,0.840823466092573,1,0.443946911923322,13.5719776937157,0.676056849757876,0,45,45,0
"ENSG00000232883","ENSG00000232883",0,0.840659012079895,1,0.444746090596935,4.60052904121208,0.204040833122656,0,46,46,0
"ENSG00000171863","ENSG00000171863",0,0.840509508432006,1,0.445332287846631,12.7762408403458,0.634190641259576,0,47,47,0
"ENSG00000150753","ENSG00000150753",0,0.840464657337639,1,0.445513584235148,13.1264712307508,0.652617359194078,0,48,48,0
"ENSG00000196230","ENSG00000196230",0,0.840240401865806,1,0.446514671890336,15.3694295095786,0.770626420301044,0,49,49,0
"ENSG00000224578","ENSG00000224578",0,0.839732089462983,1,0.448429468838523,8.21073992866801,0.393985336882871,0,50,50,0
"ENSG00000232573","ENSG00000232573",0,0.839104174141849,1,0.452448610328519,7.76435106424429,0.370499420414208,0,51,51,0
"ENSG00000263266","ENSG00000263266",0,0.838850017940438,1,0.453903657307153,8.28264562342591,0.397768520728385,0,52,52,0
"ENSG00000174748","ENSG00000174748",0,0.838580911374238,1,0.455349952798123,13.8375395812363,0.690028892531884,0,53,53,0
"ENSG00000121089","ENSG00000121089",0,0.838281904078459,1,0.457429693516569,8.76477915447581,0.423135076078277,0,54,54,0
"ENSG00000089157","ENSG00000089157",0,0.838072598971415,1,0.458369896360518,15.4300592585698,0.773816341317915,0,55,55,0
"ENSG00000100442","ENSG00000100442",0,0.838042698241837,1,0.458598369021893,12.250078404629,0.606507587314791,0,56,56,0
"ENSG00000087995","ENSG00000087995",0,0.837758641310848,1,0.459579157068066,8.99760563724778,0.435384806664936,0,57,57,0
"ENSG00000227525","ENSG00000227525",0,0.837639038392537,1,0.46011817485504,4.19786086566499,0.182855199050675,0,58,58,0
"ENSG00000067225","ENSG00000067225",0,0.837235378543236,1,0.462219740221008,11.7596226639728,0.580703174448225,0,59,59,0
"ENSG00000137154","ENSG00000137154",0,0.83705597416577,1,0.463256632195339,15.8452438184225,0.795660501575741,0,60,60,0
"ENSG00000105968","ENSG00000105968",0,0.836966271977036,1,0.463509575100367,11.3762728310277,0.560533938895167,0,61,61,0
"ENSG00000145741","ENSG00000145741",0,0.836876569788303,1,0.463879258892142,14.1242375096054,0.705112968623499,0,62,62,0
"ENSG00000168066","ENSG00000168066",0,0.836786867599569,1,0.464310937257507,11.9759300820052,0.59208378529303,0,63,63,0
"ENSG00000087460","ENSG00000087460",0,0.836771917234781,1,0.464353478534561,14.4365770123692,0.721546128266142,0,64,64,0
"ENSG00000229132","ENSG00000229132",0,0.836323406291113,1,0.46603571749716,4.94476656116531,0.222152247370049,0,65,65,0
"ENSG00000242882","ENSG00000242882",0,0.835919746441813,1,0.467279387741372,3.21285418332272,0.131030911963157,0,66,66,0
"ENSG00000220744","ENSG00000220744",0,0.835635689510824,1,0.468918888504385,3.4485640317285,0.143432345447942,0,67,67,0
"ENSG00000188375","ENSG00000188375",0,0.835396483674202,1,0.469916050520891,3.75832637924572,0.159729912880137,0,68,68,0
"ENSG00000165637","ENSG00000165637",0,0.835022724554479,1,0.471524421940465,11.6357042569099,0.574183438878728,0,69,69,0
"ENSG00000168028","ENSG00000168028",0,0.83460411434039,1,0.473570574959753,13.4894334841037,0.671713940320782,0,70,70,0
"ENSG00000111639","ENSG00000111639",0,0.834290156679823,1,0.474872261698203,11.9544524939356,0.590953782106227,0,71,71,0
"ENSG00000233426","ENSG00000233426",0,0.834260255950245,1,0.475093000954535,6.5676342226265,0.307536398665978,0,72,72,0
"ENSG00000229638","ENSG00000229638",0,0.834245305585456,1,0.475179834865578,6.87916087305325,0.323926791600915,0,73,73,0
"ENSG00000181163","ENSG00000181163",0,0.834036000478412,1,0.476049294228468,13.4545729557148,0.669879818721779,0,74,74,0
"ENSG00000242986","ENSG00000242986",0.735294117647059,0.833796794641789,1,0.0759484730012111,0.86972268729574,0.00775142410714254,0.00569957654936951,75,75,0
"ENSG00000101182","ENSG00000101182",0,0.833707092453056,1,0.477985244137515,13.2584129418757,0.659559225923243,0,76,76,0
"ENSG00000187109","ENSG00000187109",0,0.833572539169956,0.963047408718473,0.198837475167431,14.8175704918519,0.741591388682278,0,77,77,0
"ENSG00000100664","ENSG00000100664",0,0.833452936251645,1,0.479427577593177,12.9486989718223,0.643264203780962,0,78,78,0
"ENSG00000234371","ENSG00000234371",0,0.833318382968544,1,0.479974932476954,2.174969571434,0.0764245513622982,0,79,79,0
"ENSG00000154277","ENSG00000154277",0,0.8332436311446,1,0.480396788579971,14.2283937795614,0.71059295625498,0,80,80,0
"ENSG00000165416","ENSG00000165416",0,0.833079177131922,1,0.48119925462941,11.8329309838264,0.584560154793738,0,81,81,0
"ENSG00000167315","ENSG00000167315",0,0.8328399712953,1,0.482456765623175,11.5128630928481,0.567720380437984,0,82,82,0
"ENSG00000217027","ENSG00000217027",0,0.832795120200933,1,0.482607206625717,5.11383093940529,0.231047253902743,0,83,83,0
"ENSG00000244363","ENSG00000244363",0,0.832705418012199,1,0.483010334484024,3.85873386969721,0.165012665478852,0,84,84,0
"ENSG00000152795","ENSG00000152795",0,0.832540963999522,1,0.48391665373009,13.9016428033116,0.693401563848354,0,85,85,0
"ENSG00000229022","ENSG00000229022",0,0.83228680779811,1,0.485036642909823,3.69269777106797,0.156276986222553,0,86,86,0
"ENSG00000240087","ENSG00000240087",0,0.832241956703744,1,0.485331871455959,4.83119495224781,0.216176889262289,0,87,87,0
"ENSG00000130312","ENSG00000130312",0,0.832227006338955,1,0.485524571416587,12.1027603840645,0.598756724779781,0,88,88,0
"ENSG00000117450","ENSG00000117450",0,0.832167204879799,1,0.485894483015267,13.6226906419412,0.678725016822127,0,89,89,0
"ENSG00000143321","ENSG00000143321",0,0.83201770123191,1,0.486305823422497,12.0286217828418,0.594856060730585,0,90,90,0
"ENSG00000116459","ENSG00000116459",0,0.831987800502332,1,0.486418355531621,11.9309080386042,0.589715034558333,0,91,91,0
"ENSG00000228929","ENSG00000228929",0,0.831584140653032,1,0.488352032728528,7.97095241355998,0.381369364579606,0,92,92,0
"ENSG00000041357","ENSG00000041357",0,0.831509388829087,1,0.48871180761062,12.7189492351119,0.631176350442497,0,93,93,0
"ENSG00000265992","ENSG00000265992",0,0.831389785910776,1,0.489469108823155,14.2628845785998,0.712407625234682,0,94,94,0
"ENSG00000010244","ENSG00000010244",0,0.831329984451621,1,0.489588260402266,12.7063292548622,0.630512373749522,0,95,95,0
"ENSG00000235207","ENSG00000235207",0,0.831045927520632,1,0.490437215952071,2.64352525921535,0.101076733845292,0,96,96,0
"ENSG00000180817","ENSG00000180817",0,0.831016026791054,1,0.490534486724577,12.2007625758619,0.60391292708172,0,97,97,0
