"","x"
"ENSG00000188342",929
"ENSG00000116754",921.5
"ENSG00000115524",916
"ENSG00000167658",899
"ENSG00000242262",895
"ENSG00000254759",881
"ENSG00000044115",872.5
"ENSG00000063046",867
"ENSG00000186468",788
"ENSG00000107371",779
"ENSG00000025800",773
"ENSG00000084733",735
"ENSG00000231261",718
"ENSG00000242445",691
"ENSG00000139644",674
"ENSG00000113712",668
"ENSG00000008988",666
"ENSG00000163479",665
"ENSG00000126698",654
"ENSG00000109971",652
"ENSG00000131051",632
"ENSG00000147403",617.5
"ENSG00000146066",616
"ENSG00000143190",611
"ENSG00000161016",610
"ENSG00000205531",608
"ENSG00000141867",602
"ENSG00000112306",596.5
"ENSG00000106803",592
"ENSG00000125870",566
"ENSG00000197111",564
"ENSG00000067560",559
"ENSG00000249353",555
"ENSG00000159593",555
"ENSG00000100129",554
"ENSG00000242169",528
"ENSG00000095787",528
"ENSG00000116030",520
"ENSG00000175334",505
"ENSG00000170315",492
"ENSG00000115241",490
"ENSG00000188612",444
"ENSG00000142541",444
"ENSG00000204435",437
"ENSG00000196504",436
"ENSG00000166986",421
"ENSG00000230734",409
"ENSG00000103769",396
"ENSG00000137073",395
"ENSG00000289935",390
"ENSG00000111596",381
"ENSG00000167986",381
"ENSG00000250472",376
"ENSG00000289433",375
"ENSG00000037241",375
"ENSG00000137818",373
"ENSG00000232464",372
"ENSG00000065548",367
"ENSG00000148303",366
"ENSG00000169714",354
"ENSG00000217130",340
"ENSG00000241741",336
"ENSG00000176809",335
"ENSG00000150316",334
"ENSG00000227615",333
"ENSG00000142230",331
"ENSG00000087302",325
"ENSG00000009307",318.5
"ENSG00000233952",318
"ENSG00000223803",310
"ENSG00000109332",304
"ENSG00000147677",296
"ENSG00000168385",289
"ENSG00000289264",285.5
"ENSG00000213862",280
"ENSG00000212802",275
"ENSG00000154380",272
"ENSG00000108953",267
"ENSG00000105323",259
"ENSG00000141338",255
"ENSG00000259019",252
"ENSG00000198830",248
"ENSG00000235962",244
"ENSG00000013275",233
"ENSG00000090863",233
"ENSG00000116350",217
"ENSG00000106244",216
"ENSG00000156508",215.5
"ENSG00000231799",214
"ENSG00000132341",212
"ENSG00000171634",210
"ENSG00000107341",202.5
"ENSG00000186184",200
"ENSG00000101266",199
"ENSG00000100813",196
"ENSG00000101361",188
"ENSG00000106591",187
"ENSG00000111011",182
"ENSG00000161970",176
"ENSG00000108848",173.5
"ENSG00000230651",167
"ENSG00000083845",155
"ENSG00000213925",154
"ENSG00000181027",132
"ENSG00000237730",101
"ENSG00000175390",97
"ENSG00000225616",97
"ENSG00000231500",96.5
"ENSG00000143761",94
"ENSG00000071127",78
"ENSG00000112110",70
"ENSG00000175886",69
"ENSG00000106443",64.5
"ENSG00000187109",54
"ENSG00000134453",45
"ENSG00000220157",44
"ENSG00000241352",43
"ENSG00000138083",37
"ENSG00000173812",33
"ENSG00000110700",32
"ENSG00000149273",32
"ENSG00000129351",16
"ENSG00000228929",16
"ENSG00000233426",14
"ENSG00000159055",11.5
"ENSG00000108774",11
"ENSG00000174748",8
"ENSG00000229037",8
"ENSG00000234785",7
"ENSG00000166508",7
"ENSG00000167088",-3
"ENSG00000244031",-4
"ENSG00000126457",-20
"ENSG00000212769",-22.5
"ENSG00000133112",-29
"ENSG00000163938",-29
