"","x"
"ENSG00000165416",747
"ENSG00000118363",741
"ENSG00000226360",668
"ENSG00000198755",643
"ENSG00000225695",632
"ENSG00000115128",620.5
"ENSG00000114942",555
"ENSG00000168028",550
"ENSG00000232573",519
"ENSG00000242292",506
"ENSG00000241947",488
"ENSG00000131469",479
"ENSG00000240498",469
"ENSG00000078674",453
"ENSG00000113387",443
"ENSG00000188375",431
"ENSG00000220370",414
"ENSG00000133773",409
"ENSG00000212769",405
"ENSG00000166226",398
"ENSG00000241494",386
"ENSG00000185651",368
"ENSG00000089157",358.5
"ENSG00000258712",330
"ENSG00000225846",317.5
"ENSG00000234145",309
"ENSG00000114391",288
"ENSG00000217612",285.5
"ENSG00000236603",279
"ENSG00000088205",269
"ENSG00000172757",261
"ENSG00000293352",261
"ENSG00000244313",260
"ENSG00000092199",259
"ENSG00000286259",252
"ENSG00000141027",250
"ENSG00000228205",248
"ENSG00000163636",231.5
"ENSG00000124795",202
"ENSG00000181163",201
"ENSG00000178464",186
"ENSG00000204568",167
"ENSG00000142676",166
"ENSG00000143947",154
"ENSG00000133226",149.5
"ENSG00000230507",149
"ENSG00000137154",145
"ENSG00000166913",144
"ENSG00000230989",143
"ENSG00000163041",138
"ENSG00000215311",134
"ENSG00000283041",122
"ENSG00000088930",118
"ENSG00000087191",118
"ENSG00000106603",115
"ENSG00000217027",114
"ENSG00000242071",109
"ENSG00000225159",99
"ENSG00000254584",96
"ENSG00000177694",95
"ENSG00000146457",88
"ENSG00000293140",87
"ENSG00000029993",80
"ENSG00000120533",67
"ENSG00000204117",66
"ENSG00000234782",58
"ENSG00000057608",55
"ENSG00000145741",54
"ENSG00000242477",44
"ENSG00000100567",42
"ENSG00000132475",41
"ENSG00000257511",33
"ENSG00000133112",29
"ENSG00000230291",27
"ENSG00000126457",21
"ENSG00000163938",16
"ENSG00000167088",3
"ENSG00000234785",-8
"ENSG00000174748",-9
"ENSG00000233426",-14
"ENSG00000228929",-15
"ENSG00000129351",-16
"ENSG00000159055",-18
"ENSG00000229037",-25
"ENSG00000110700",-30
"ENSG00000108774",-31
"ENSG00000166508",-31
"ENSG00000173812",-33
"ENSG00000149273",-36
"ENSG00000138083",-39
"ENSG00000241352",-43.5
"ENSG00000220157",-46
"ENSG00000187109",-52
"ENSG00000134453",-60
"ENSG00000071127",-63
"ENSG00000112110",-77
"ENSG00000106443",-80
"ENSG00000228976",-82
"ENSG00000143761",-94
"ENSG00000175390",-99
"ENSG00000225616",-102
"ENSG00000237730",-105
"ENSG00000231500",-119
"ENSG00000181027",-131
"ENSG00000196419",-143
"ENSG00000075856",-145
"ENSG00000154582",-148
"ENSG00000231261",-148.5
"ENSG00000230651",-167
"ENSG00000213925",-171.5
"ENSG00000083845",-173.5
"ENSG00000108848",-176
"ENSG00000161970",-182
"ENSG00000111011",-186
"ENSG00000101361",-192
"ENSG00000106591",-194
"ENSG00000186184",-201
"ENSG00000101266",-206
"ENSG00000107341",-214
"ENSG00000100813",-219
"ENSG00000132341",-220
"ENSG00000171634",-222.5
"ENSG00000156508",-225
"ENSG00000116350",-231
"ENSG00000013275",-235
"ENSG00000231799",-235
"ENSG00000106244",-240
"ENSG00000198830",-248
"ENSG00000259019",-248
"ENSG00000090863",-249.5
"ENSG00000235962",-250
"ENSG00000105323",-263
"ENSG00000141338",-266
"ENSG00000108953",-269
"ENSG00000213862",-281
"ENSG00000154380",-282
"ENSG00000212802",-284
"ENSG00000233952",-288
"ENSG00000147677",-291
"ENSG00000168385",-292
"ENSG00000109332",-300.5
"ENSG00000096401",-321
"ENSG00000175886",-322
"ENSG00000223803",-323.5
"ENSG00000087302",-324
"ENSG00000009307",-325.5
"ENSG00000176809",-336.5
"ENSG00000227615",-338
"ENSG00000241741",-340
"ENSG00000142230",-347
"ENSG00000150316",-348
"ENSG00000169714",-353
"ENSG00000240652",-355
"ENSG00000217130",-358
"ENSG00000148303",-368
"ENSG00000250472",-370
"ENSG00000065548",-371
"ENSG00000232464",-375
"ENSG00000289433",-379
"ENSG00000037241",-382
"ENSG00000167986",-384
"ENSG00000103769",-391
"ENSG00000137818",-392
"ENSG00000111596",-393
"ENSG00000289935",-395
"ENSG00000137073",-401
"ENSG00000095787",-409
"ENSG00000230734",-416.5
"ENSG00000166986",-439
"ENSG00000204435",-441
"ENSG00000196504",-444
"ENSG00000188612",-447
"ENSG00000256752",-447
"ENSG00000069345",-449.5
"ENSG00000124486",-453.5
"ENSG00000142541",-454
"ENSG00000174197",-463.5
"ENSG00000234566",-465
"ENSG00000100941",-467.5
"ENSG00000203262",-469
"ENSG00000115241",-481
"ENSG00000170315",-501.5
"ENSG00000175334",-510.5
"ENSG00000169813",-511
"ENSG00000236552",-516
"ENSG00000213559",-520
"ENSG00000116030",-528.5
"ENSG00000232605",-534
"ENSG00000230225",-539
"ENSG00000242169",-541
