"","x"
"ENSG00000091181",754
"ENSG00000249087",750.5
"ENSG00000224292",679
"ENSG00000248493",651
"ENSG00000270646",643
"ENSG00000221662",635
"ENSG00000211782",564
"ENSG00000213169",562
"ENSG00000236528",562
"ENSG00000236376",527
"ENSG00000254896",497
"ENSG00000234714",492
"ENSG00000214290",480.5
"ENSG00000234601",461
"ENSG00000188807",453
"ENSG00000233006",440
"ENSG00000219776",420
"ENSG00000265301",412
"ENSG00000187900",410
"ENSG00000286992",397
"ENSG00000293008",380
"ENSG00000173110",370
"ENSG00000231051",366
"ENSG00000196932",357
"ENSG00000224297",338
"ENSG00000228038",315
"ENSG00000254846",314
"ENSG00000271914",298
"ENSG00000254939",290
"ENSG00000284012",276
"ENSG00000290581",271
"ENSG00000233228",266.5
"ENSG00000276083",266
"ENSG00000130764",266
"ENSG00000126457",261
"ENSG00000124356",257
"ENSG00000179031",252
"ENSG00000235236",235
"ENSG00000080947",215
"ENSG00000249302",209.5
"ENSG00000204946",209
"ENSG00000236692",188
"ENSG00000225951",178
"ENSG00000287683",175
"ENSG00000286095",173
"ENSG00000224159",159
"ENSG00000253676",156
"ENSG00000125633",151
"ENSG00000139053",151
"ENSG00000227744",146
"ENSG00000283298",146
"ENSG00000254095",145
"ENSG00000196353",144
"ENSG00000158296",130
"ENSG00000272443",128.5
"ENSG00000117523",125
"ENSG00000284138",125
"ENSG00000199273",116
"ENSG00000086159",115
"ENSG00000182048",113
"ENSG00000213684",109
"ENSG00000239542",104
"ENSG00000276003",96
"ENSG00000222033",90
"ENSG00000134253",84.5
"ENSG00000266188",74
"ENSG00000259828",66
"ENSG00000279688",62
"ENSG00000270443",59
"ENSG00000237930",54
"ENSG00000110104",51
"ENSG00000243979",45
"ENSG00000235097",45
"ENSG00000188157",42
"ENSG00000234297",42
"ENSG00000231032",40
"ENSG00000227430",29
"ENSG00000201965",24
"ENSG00000237790",21
"ENSG00000198843",3
"ENSG00000181404",-5
"ENSG00000249717",-8
"ENSG00000253041",-12
"ENSG00000270328",-13
"ENSG00000225398",-15
"ENSG00000253577",-17
"ENSG00000287831",-20
"ENSG00000226412",-20.5
"ENSG00000277000",-20.5
"ENSG00000235338",-24
"ENSG00000252515",-29
"ENSG00000288902",-29
"ENSG00000145309",-32
"ENSG00000269973",-39
"ENSG00000167323",-39
"ENSG00000213385",-45
"ENSG00000197984",-48.5
"ENSG00000213949",-51
"ENSG00000200902",-51
"ENSG00000212459",-68
"ENSG00000204478",-73
"ENSG00000287336",-79
"ENSG00000179270",-92
"ENSG00000251398",-94
"ENSG00000274631",-101
"ENSG00000168005",-108
