"","segIdx","rho","sigma","mu","mu.scaled","zero","f_stats"
"ENSMUSG00000000001",0.616285653620214,0.816274032467594,1.20296112194014,8.28860544751664,0.539977949789805,0.0083880069870261,1.81101228055742
"ENSMUSG00000000028",0.662467265907,0.78699039770783,1.20167054343466,7.62621439044675,0.496825142190952,0.0077176721117041,0.851559688598593
"ENSMUSG00000000056",0.363649232075872,0.504873552694837,1.38921421330561,6.33723923639057,0.412852243962618,0.206826949402632,0.324694276327073
"ENSMUSG00000000085",0.239578172552905,0.462464326437141,1.66145272718047,5.61864342073068,0.366037863479157,0.0831581165574007,2.69638407827749
"ENSMUSG00000000088",0.758749734588435,0.998082673521197,0.997860731809271,8.80107851124856,0.573364045937665,0,1.85969803360599
"ENSMUSG00000000120",0.144206950244179,0.504662866296047,1.7593404421944,4.76772395201264,0.310602990493193,0.164046627988638,3.9969023661307
"ENSMUSG00000000127",0.56134545969283,0.759373185917405,1.5128061528831,6.1942744781966,0.403538515104244,0.0548498952568875,-3.64612038038767
"ENSMUSG00000000131",0.70527815131998,1,1.48710611405575,6.90557621160286,0.449877707819481,0.000873548947222293,0.708858592656014
"ENSMUSG00000000134",0.53013305966452,0.676349691792648,1.40813425846877,6.57221686671409,0.428160337819199,0.0199531031216714,1.13570970051725
"ENSMUSG00000000142",0.178728147781159,0.377614226866822,1.41108617823467,4.62047437371744,0.301010118347103,0.108714334004973,5.44901785265747
"ENSMUSG00000000148",0.284114233137519,0.355507778674574,1.81207908514288,6.17414395762583,0.402227071551703,0.135117055103776,0.634327920763871
"ENSMUSG00000000149",0.337550428197325,0.633948378439198,1.61937686302618,6.34034979158284,0.413054887383457,0.111484717177283,1.57864939784637
"ENSMUSG00000000167",0.572475051312903,0.0301405402523123,0.134889784821286,3.60034174673219,0.234551511293533,0.0359797463926001,0.976988412045691
"ENSMUSG00000000168",0.583003043385944,0.734050581212724,1.23247227801957,6.27251381352433,0.40863557513853,0.0190432112685917,1.40727694344959
"ENSMUSG00000000171",0.719353811310071,0.917078633259811,0.778885325980947,8.94376817626291,0.582659853293439,0.00113137835590959,2.38367620164298
"ENSMUSG00000000183",0.447519286573714,0.167841193722693,0.420675750240303,2.50964264268481,0.163495708104704,0.125717088173715,1.27620700849883
"ENSMUSG00000000184",0.51797720999363,0.625286916532089,0.437693326706351,1.41699292397434,0.0923128281711695,0.0277834725563714,3.88355119224208
"ENSMUSG00000000194",0.529779177578031,0.533944053067106,0.874426975571427,7.08477133293389,0.461551737097075,0.00537730179142224,2.94542097322842
"ENSMUSG00000000223",0.533424163068865,0.136137493422144,0.159182200137947,0.945893405690583,0.061622095475685,0.0335032752100812,1.82542038792093
"ENSMUSG00000000244",0.490339019038856,0.436020473660476,0.371273007018987,1.34851026942196,0.0878513868757055,0.0457168382188138,2.65001966231753
"ENSMUSG00000000253",0.175720150046005,0.53658611804027,1.6340176680333,5.53408372747954,0.360529050921171,0.238019179248928,3.03837214277749
"ENSMUSG00000000275",0.482058178215019,0.666689764432142,1.35753502162268,6.63270216701344,0.432100775267014,0.0209757657896609,2.07081315065326
"ENSMUSG00000000276",0.4779177578031,0.751074514442003,1.80053314580629,6.22940204812968,0.40582697182563,0.00630410830020396,1.90739767142104
"ENSMUSG00000000278",0.731766225493666,0.874401476317056,0.749915412238525,9.00863443422747,0.586885697105377,0,2.30055219114388
"ENSMUSG00000000282",0.455658574562956,0.722775342204898,1.37580764442739,4.72684917385638,0.307940120246688,0.0777324575379989,1.35721559360536
"ENSMUSG00000000295",0.607438601457994,0.76346381422772,0.90046790976105,6.78394005971883,0.441953474236776,0.0120142692025531,2.58634754088603
"ENSMUSG00000000296",0.484623823342062,0.719554374753371,0.94371565235386,6.27822948333594,0.409007934029923,0.0555933114215429,3.087004886111
"ENSMUSG00000000301",0.421951305824899,0.745859705441077,1.47355123969456,4.43142130367013,0.288693873025477,0.198442002040813,0.471881602250121
"ENSMUSG00000000303",0.656902470096964,0.793148146103348,0.90866976910339,9.32043380752338,0.607198499069824,0,2.83629174412777
"ENSMUSG00000000305",0.490038219265341,0.478472661139818,0.384490726527925,1.28347914707494,0.0836148026395108,0.0612092827089235,2.28654626185733
"ENSMUSG00000000308",0.260191804090877,0.609645597606025,1.32772763479352,6.44083906132215,0.419601464479459,0.161322504790161,3.75049106772842
"ENSMUSG00000000320",0.469141482058178,0.367738500999535,0.605348135661079,1.64281312460318,0.107024342714824,0.029925253108611,3.05972178631092
"ENSMUSG00000000325",0.291050322032699,0.497549783965,1.40567114223689,6.39430408706913,0.416569849289119,0.126993138521149,2.25553569426961
"ENSMUSG00000000326",0.63847406044306,0.903347777382424,0.919400478119584,6.55108110633396,0.426783405882385,0,4.57781845003334
"ENSMUSG00000000339",0.647091089249062,0.743490721094959,1.13830838151673,6.51237526497858,0.424261835418634,0.0189476159507351,0.693869832149534
"ENSMUSG00000000340",0.419332578384882,0.631811318597653,1.65173406636404,5.95446280717743,0.387915497871453,0.0632716540217516,0.644918342373852
"ENSMUSG00000000346",0.560018401868497,0.877596160539653,1.23348367902459,8.01124107165472,0.521908485507949,0.00810731627973513,3.2127161234866
"ENSMUSG00000000355",0.546641658999221,0.888603025458571,1.28559394149343,6.12712726427834,0.399164073794859,0.0100759863288023,3.18019445346478
