GSM_ID,SRR_ID
GSM1964932,SRR2977621
GSM1964933,SRR2977622
GSM1964934,SRR2977623
GSM1964935,SRR2977624
GSM1964936,SRR2977625
GSM1964937,SRR2977626
GSM1964938,SRR2977627
GSM1964939,SRR2977628
GSM1964941,SRR2977629
GSM1964943,SRR2977630
GSM1964945,SRR2977631
GSM1964947,SRR2977632
GSM1964948,SRR2977633
GSM1964949,SRR2977634
GSM1964950,SRR2977635
GSM1964951,SRR2977636
GSM1964952,SRR2977637
GSM1964953,SRR2977638
GSM1964954,SRR2977639
GSM1964955,SRR2977640
GSM1964956,SRR2977641
GSM1964957,SRR2977642
GSM1964958,SRR2977643
GSM1964959,SRR2977644
GSM1964960,SRR2977645
GSM1964961,SRR2977646
GSM1964962,SRR2977647
GSM1964963,SRR2977648
GSM1964964,SRR2977649
GSM1964965,SRR2977650
GSM1964966,SRR2977651
GSM1964967,SRR2977652
GSM1964968,SRR2977653
GSM1964969,SRR2977654
GSM1964970,SRR2977655
GSM1964971,SRR2977656
GSM1964972,SRR2977657
GSM1964973,SRR2977658
GSM1964975,SRR2977659
GSM1964977,SRR2977660
GSM1964978,SRR2977661
GSM1964979,SRR2977662
GSM1964980,SRR2977663
GSM1964981,SRR2977664
GSM1964982,SRR2977665
GSM1964983,SRR2977666
GSM1964984,SRR2977667
GSM1964985,SRR2977668
GSM1964986,SRR2977669
GSM1964987,SRR2977670
GSM1964988,SRR2977671
GSM1964989,SRR2977672
GSM1964990,SRR2977673
GSM1964991,SRR2977674
GSM1964992,SRR2977675
GSM1964993,SRR2977676
GSM1964994,SRR2977677
GSM1964995,SRR2977678
GSM1964996,SRR2977679
GSM1964997,SRR2977680
GSM1964998,SRR2977681
GSM1964999,SRR2977682
GSM1965000,SRR2977683
GSM1965001,SRR2977684
GSM1965002,SRR2977685
GSM1965003,SRR2977686
GSM1965004,SRR2977687
GSM1965005,SRR2977688
GSM1965006,SRR2977689
GSM1965007,SRR2977690
GSM1965008,SRR2977691
GSM1965009,SRR2977692
GSM1965010,SRR2977693
GSM1965011,SRR2977694
GSM1965012,SRR2977695
GSM1965013,SRR2977696
