"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"BENPORATH_ES_1",3.85191301013339e-07,0.0061996539898097,0.674962860011025,0.638559437619381,1.8710861846728,108,"[""SFRP1"",""TUBB2B"",""PODXL"",""DMKN"",""TCF7L1"",""FGFR1"",""POU5F1"",""POLR3G"",""SNRPN"",""CXADR"",""MAD2L2"",""SLC39A10"",""MGST1"",""OAZ2"",""TERF1"",""SMS"",""ELOVL6"",""CBX5"",""GNL3"",""DPPA4"",""JADE1"",""HSPA4"",""PRPF40A"",""DNMT3A"",""MSH6"",""SLC38A1"",""L1TD1"",""SRSF7"",""MSH2"",""CD24"",""CTSC"",""PSIP1"",""JARID2"",""MTF2"",""CASP3"",""TIA1"",""BIRC5"",""CCNB1"",""HMGB3"",""G3BP2"",""SEMA6A"",""SLC16A1"",""SEPHS1"",""TMX1"",""MDN1"",""FXR1"",""LIN28A""]"
"SETD1A_TARGET_GENES",1.48377286223482e-06,0.00796044140588978,0.643551836150722,-0.398150173508313,-1.60078547810156,257,"[""HDAC1"",""PRCC"",""MRPL4"",""GRWD1"",""LMNB2"",""GTF2F1"",""SUPT5H"",""RANGAP1"",""IMP3"",""FAM177A1"",""AP1G1"",""NUP85"",""GPS1"",""TIMM44"",""RABGGTB"",""SURF2"",""URM1"",""MRPL2"",""IMP4"",""RNF167"",""USP16"",""CCDC12"",""IDH3B"",""EIF3F"",""CALM3"",""YTHDC1"",""ITSN1"",""NSA2"",""TBCB"",""SF1"",""CCDC59"",""RPL22"",""ABT1"",""DYNC1I2"",""DNM1L"",""GCN1"",""SNRPA"",""FARSA"",""YME1L1"",""IST1"",""LARP4"",""TARS1"",""PDAP1"",""TNPO1"",""SAP30BP"",""NDUFA9"",""PUM3"",""UXT"",""AK2"",""MRPL44"",""COA6"",""SDHB"",""BUD23"",""DPH3"",""RPL21"",""IP6K2"",""NCBP2"",""PSMD13"",""AURKAIP1"",""SRSF11"",""EIF2S3"",""GPBP1L1"",""FAM32A"",""LARS1"",""UBXN1"",""SMIM26"",""DARS1"",""UBE2I"",""CYB5B"",""SREK1IP1""]"
"HOUNKPE_HOUSEKEEPING_GENES",1.08702989883322e-06,0.00796044140588978,0.643551836150722,-0.366891663674046,-1.52209940810601,366,"[""TRAPPC3"",""LRRC59"",""MED19"",""RRP9"",""PRCC"",""WDR46"",""TUSC2"",""UBQLN1"",""RAB14"",""GTF2F1"",""ABCF2"",""CLPP"",""RBM17"",""RANGAP1"",""BRMS1"",""HNRNPUL1"",""ISCU"",""ANP32B"",""CHTOP"",""AP1G1"",""RALA"",""RER1"",""PFDN1"",""TRIP12"",""USP39"",""CCDC124"",""EIF3B"",""RABGGTB"",""FTSJ3"",""RNF167"",""RHEB"",""COPE"",""YTHDC1"",""GORASP2"",""NSA2"",""SYF2"",""PHF5A"",""TBCB"",""CDC37"",""PMPCA"",""SF1"",""RPL22"",""RPS19BP1"",""KXD1"",""RALBP1"",""RAB7A"",""P4HB"",""LMAN2"",""SNRPA"",""PSMG3"",""YME1L1"",""SRSF4"",""H2AZ2"",""DDX27"",""GSPT1"",""HNRNPM"",""PDAP1"",""ARIH2"",""MRTO4"",""SERP1"",""STAU1"",""POP7"",""AK2"",""MRPL44"",""ANP32A"",""COA6"",""GET3"",""PFDN2"",""VCP"",""AHSA1"",""NCBP2"",""C9orf78"",""SARS1"",""LSM4"",""MRPL17"",""ENSA"",""SRSF11"",""C14orf119"",""FAM32A"",""SF3B2"",""BUB3"",""UBAP2L"",""IK"",""EBNA1BP2"",""LARS1"",""FBL"",""UBXN1"",""AAMP"",""DARS1"",""RNF181"",""MRPL37"",""UBE2I"",""CYB5B"",""MRPL18"",""DCTPP1"",""LUC7L3"",""CHMP2B"",""LRPPRC"",""MLF2"",""GOLGA4"",""LSM14A"",""YWHAB"",""TOMM20"",""CALR"",""SSU72"",""DDB1"",""ETF1"",""DNAJC7""]"
"ZHONG_PFC_C3_MICROGLIA",2.17365580256533e-06,0.00874624753557223,0.627256739718528,0.85420024758097,1.93626873123574,20,"[""MAP1B"",""DPYSL3"",""TUBB2B"",""TUBA1A"",""DPYSL2"",""UCHL1"",""CSRP2"",""SPTBN1""]"
"CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_4",3.82993638528241e-06,0.00998915827375824,0.610526878385931,0.761490101142268,1.93514255496164,38,"[""NREP"",""VCAN"",""TUBB2B"",""IGF1R"",""SNHG14"",""HMGN3"",""MAD2L2"",""YBX3"",""AK4"",""LSM6"",""FDFT1"",""JADE1"",""HSPA4"",""CYB5A"",""SRSF7""]"
"CHICAS_RB1_TARGETS_CONFLUENT",4.34446150458575e-06,0.00998915827375824,0.610526878385931,0.720376942606436,1.89510233041662,47,"[""SFRP1"",""NREP"",""MAP1B"",""DPYSL3"",""TUBB2B"",""TUBA1A"",""HSPB1"",""IFITM2"",""PHGDH"",""MEST"",""CNN2"",""IFITM3"",""PCLAF"",""JADE1"",""TUBA1B"",""CYB5A"",""SPTBN1"",""PSAT1"",""RPL22L1"",""TMEM97"",""CNN3"",""TUBA1C"",""MDK"",""SRI""]"
"MANNO_MIDBRAIN_NEUROTYPES_HDA2",3.53943571165503e-06,0.00998915827375824,0.627256739718528,0.909421501566684,1.88505363542864,13,"[""NREP"",""MAP1B"",""DPYSL3"",""TUBB2B"",""TUBA1A"",""UCHL1"",""CXADR"",""MEST"",""CD24""]"
"LIU_PROSTATE_CANCER_DN",1.56467338306677e-05,0.0185688130933391,0.575610261071129,0.831799463732489,1.91932017775532,22,"[""MAP1B"",""DPYSL3"",""TUBA1A"",""HSPB1"",""DMKN"",""FGFR1"",""AKR1B1"",""CSRP2"",""LAPTM4B"",""VCL"",""ENAH""]"
"BENPORATH_NOS_TARGETS",1.61933455273664e-05,0.0185688130933391,0.575610261071129,0.780347368954133,1.90543483315923,30,"[""SFRP1"",""DPYSL3"",""DPYSL2"",""TCF7L1"",""FGFR1"",""POU5F1"",""SKIL"",""POLR3G"",""SNRPN"",""DPPA4"",""JADE1"",""TBL1XR1"",""NUCKS1"",""RPS3A"",""CAPZA2"",""JARID2""]"
"MANNO_MIDBRAIN_NEUROTYPES_HNBML1",1.66824803708554e-05,0.0185688130933391,0.575610261071129,0.875848411374838,1.8971491817817,16,"[""NREP"",""MAP1B"",""DPYSL3"",""TUBB2B"",""TUBA1A"",""OCIAD2"",""UCHL1"",""CXADR"",""SLC38A1"",""CD24""]"
