Sample	Unique Reads	Duplicate Reads
ERR1041403	2828963	2112101
ERR1041404	1500299	786526
ERR1041405	2908865	2544480
ERR1041406	2776637	2110204
ERR1041407	1546908	836333
ERR1041408	2369557	1487550
ERR1041409	2640717	2148074
ERR1041410	3924835	5489671
ERR1041411	6231240	5783865
ERR1041412	3627876	2976028
ERR1041413	4757571	4191101
ERR1041414	2753950	2794017
ERR1041415	4314606	4213324
ERR1041416	3479905	4427823
ERR1041417	3554467	3295416
ERR1041418	3052711	2505913
ERR1041419	2748382	2090807
ERR1041420	5855142	7322705
ERR1041421	4867794	4705745
ERR1041422	4202226	3341765
ERR1041423	4322950	3419724
ERR1041424	6519675	12765572
ERR1041425	3817078	4760773
ERR1041426	3569922	4770685
ERR1041427	3257188	4917221
ERR1041428	3119298	3498148
ERR1041429	3094456	2111958
ERR1041430	2798414	1803224
ERR1041431	1680902	1218996
ERR1041432	2004248	1344626
ERR1041433	590897	231482
ERR1041434	988057	454602
ERR1041435	2267092	1627141
ERR1041436	774424	545161
ERR1041437	997227	621545
ERR1041438	131123	56205
ERR1041439	1228717	698916
ERR1041440	924467	821755
ERR1041441	4424157	5465178
ERR1041442	2792990	2572388
ERR1041443	3827518	4313577
ERR1041444	3458191	4365348
ERR1041445	3628287	4355940
ERR1041446	3318947	4652402
ERR1041447	5688912	9788768
ERR1041448	4540747	6781840
ERR1041449	3488728	5213630
ERR1041450	3973318	8194213
ERR1041451	3978572	5506598
ERR1041452	1776714	1046469
ERR1041453	3516076	3562104
ERR1041454	2281638	1550027
ERR1041455	3324195	3120235
ERR1041456	2758825	3046425
ERR1041457	2591009	2786818
ERR1041458	3494932	4052918
ERR1041459	5401373	6646118
ERR1041460	3479946	3644258
ERR1041461	3996026	4571993
ERR1041462	3487159	3912831
ERR1041463	4298033	4700058
ERR1041464	4699572	5269205
ERR1041465	3537052	3704514
ERR1041466	2862498	3957852
ERR1041467	2568728	3938544
ERR1041468	5391418	8567627
ERR1041469	5625137	10424167
ERR1041470	5151869	7876746
ERR1041471	6029008	8488398
ERR1041472	4205123	5123010
ERR1041473	5819097	9407174
ERR1041474	5276010	9153830
ERR1041475	4362849	5973323
ERR1041476	4443794	5990817
ERR1041477	3170560	3079775
ERR1041478	2629691	2592001
ERR1041479	3533782	3609086
ERR1041480	3442084	3652813
ERR1041481	4704204	5799546
ERR1041482	4269740	4934174
ERR1041483	4916634	5484040
ERR1041484	4706260	5845772
ERR1041485	3877137	3881381
ERR1041486	3772190	3931113
ERR1041487	4327594	5311652
ERR1041488	4604088	5918808
ERR1041489	3775081	3416692
ERR1041490	5180115	5550033
ERR1041491	4849624	5355828
ERR1041492	6153187	7575468
ERR1041493	3079544	2696728
ERR1041494	4622065	4604998
ERR1041495	4524109	4871599
ERR1041496	4829776	5288560
ERR1041497	3491019	3987993
ERR1041498	4248984	5481049
ERR1041499	4747817	4683832
ERR1041500	4271128	6924899
