Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
ERR1041403	(1.0, 47.30002073532053)	(2.0, 10.645293207585004)	(3.0, 5.0888012514318754)	(4.0, 3.3448373892230183)	(5.0, 2.395422710266971)	(6.0, 1.8708424570637927)	(7.0, 1.5271646113265607)	(8.0, 1.303468867700679)	(9.0, 1.0984194201558046)	('>10', 13.095189229539894)	('>50', 4.16948878620246)	('>100', 6.296735988260014)	('>500', 0.724631153784548)	('>1k', 0.3930546196303181)	('>5k', 0.17128787175808957)	('>10k+', 0.575341700750357)
ERR1041404	(1.0, 56.25564513683236)	(2.0, 10.369753875841699)	(3.0, 4.816477236917927)	(4.0, 3.038441097142742)	(5.0, 2.1468240190851864)	(6.0, 1.6812981867337258)	(7.0, 1.3383651527793963)	(8.0, 1.1343597461115733)	(9.0, 0.9655700784067862)	('>10', 10.872869530247051)	('>50', 2.9438086827911314)	('>100', 2.425075915855836)	('>500', 0.2107926125254441)	('>1k', 0.32792390043093655)	('>5k', 0.25423608274113796)	('>10k+', 1.2185587455571028)
ERR1041405	(1.0, 43.62003234120646)	(2.0, 10.574555826112668)	(3.0, 4.940493268029249)	(4.0, 3.105814180221088)	(5.0, 2.334065156500922)	(6.0, 1.7180609889108769)	(7.0, 1.4462771370196432)	(8.0, 1.240161617001956)	(9.0, 1.0329910156880584)	('>10', 12.672072534513939)	('>50', 4.231958868848067)	('>100', 6.745690186611521)	('>500', 1.0266097601511088)	('>1k', 1.6545923413379076)	('>5k', 0.4615971567788)	('>10k+', 3.195027621067824)
ERR1041406	(1.0, 46.26933844732575)	(2.0, 11.569012734634127)	(3.0, 5.477364774890179)	(4.0, 3.363708710694123)	(5.0, 2.4927581820244247)	(6.0, 1.8337368734128507)	(7.0, 1.499913431992098)	(8.0, 1.2399980917470923)	(9.0, 1.0518947333984212)	('>10', 13.121470464001222)	('>50', 4.467148912302699)	('>100', 5.610083344136959)	('>500', 0.4068467867703517)	('>1k', 0.3038276892767343)	('>5k', 0.1414648522988896)	('>10k+', 1.151431971094139)
ERR1041407	(1.0, 55.662329767513285)	(2.0, 10.459651689310709)	(3.0, 4.554237666681944)	(4.0, 2.883559850146678)	(5.0, 2.1049444182647425)	(6.0, 1.6437056542498896)	(7.0, 1.2670409930797064)	(8.0, 1.0716970253755187)	(9.0, 0.9170455599148373)	('>10', 11.328611046749797)	('>50', 3.2494443618815505)	('>100', 2.2125008947842786)	('>500', 0.05541416314974807)	('>1k', 0.4991041507256388)	('>5k', 0.6165871990348101)	('>10k+', 1.474125559136916)
ERR1041408	(1.0, 51.288561224164766)	(2.0, 10.72887354768706)	(3.0, 5.4498839571654125)	(4.0, 3.469946703011543)	(5.0, 2.3529759308330256)	(6.0, 1.9449968309338213)	(7.0, 1.5384892665892245)	(8.0, 1.3132118069726257)	(9.0, 1.1458248334945518)	('>10', 13.168637684840187)	('>50', 3.4898797318725165)	('>100', 2.758250836605129)	('>500', 0.10122078771757857)	('>1k', 0.22805196719536566)	('>5k', 0.2351428768815086)	('>10k+', 0.7860520140356893)
ERR1041409	(1.0, 45.46816444873521)	(2.0, 10.08510330139285)	(3.0, 5.002609256284725)	(4.0, 3.258748067557661)	(5.0, 2.3885211502363877)	(6.0, 1.8722098310529696)	(7.0, 1.4906037767743858)	(8.0, 1.2937236024807357)	(9.0, 1.1324747103135206)	('>10', 14.076557843130368)	('>50', 4.510275639213739)	('>100', 7.0763735933888725)	('>500', 0.8298646568574103)	('>1k', 0.4971645621617355)	('>5k', 0.10670287042097426)	('>10k+', 0.9109026899986489)
ERR1041410	(1.0, 32.11672625375061)	(2.0, 9.783533407395357)	(3.0, 4.955221984521196)	(4.0, 3.151856871869205)	(5.0, 2.344669918381483)	(6.0, 1.8107756609043075)	(7.0, 1.4910767548428283)	(8.0, 1.2596978326405548)	(9.0, 1.126850310904649)	('>10', 15.887464242843091)	('>50', 5.951254470386259)	('>100', 11.92047469528262)	('>500', 3.8250340767305637)	('>1k', 3.269900676630004)	('>5k', 0.4432500852196707)	('>10k+', 0.6622127576976866)
ERR1041411	(1.0, 41.18181997469329)	(2.0, 11.769970915937192)	(3.0, 5.577370458062501)	(4.0, 3.480113371729935)	(5.0, 2.4211786173000904)	(6.0, 1.8576233729863143)	(7.0, 1.4918294334766535)	(8.0, 1.2391671364578583)	(9.0, 1.101263011689816)	('>10', 12.710219179309462)	('>50', 4.184338069078477)	('>100', 7.941172277985885)	('>500', 2.0929620174596546)	('>1k', 1.3581394596095644)	('>5k', 0.15012668423665754)	('>10k+', 1.4427060199868658)
ERR1041412	(1.0, 45.446738489182906)	(2.0, 10.685068062773787)	(3.0, 4.87321054632776)	(4.0, 2.788407080426852)	(5.0, 1.9977805655266592)	(6.0, 1.5575751163205314)	(7.0, 1.2839572387017977)	(8.0, 1.057733197308815)	(9.0, 0.9312714130536979)	('>10', 12.000295946808668)	('>50', 4.329132197918047)	('>100', 8.225758731544948)	('>500', 1.4892901258677675)	('>1k', 1.036308178661071)	('>5k', 0.07904789190966671)	('>10k+', 2.2184252176670016)
