Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
SRR2977621	(1, 33.18972952837582)	(2, 33.339546718627446)	(3, 33.39748520612101)	(4, 36.624852392307716)	(5, 36.5775833849327)	(6, 36.56680013489634)	(7, 36.56114690289323)	(8, 36.54960523992648)	(9, 38.45063825641937)	(10, 38.4549595187325)	(11, 38.45987699604973)	(12, 38.427010414574866)	(13, 38.41291786410303)	(14, 40.08399004345676)	(15, 40.068732029479015)	(16, 40.05583861074963)	(17, 40.03273238722397)	(18, 40.00577761300021)	(19, 40.01688709388787)	(20, 39.99442120511703)	(21, 39.96114988676064)	(22, 39.928934889380294)	(23, 39.89526306261757)	(24, 39.86382873749937)	(25, 39.81678064800824)	(26, 39.751642263976684)	(27, 39.69438767251082)	(28, 39.63552546264106)	(29, 39.54257727478603)	(30, 39.527493984595104)	(31, 39.47782432025865)	(32, 39.4155242004811)	(33, 39.33875894571827)	(34, 39.25452125722301)	(35, 39.161335157800714)	(36, 39.086014685255044)	(37, 39.01525506202336)	(38, 38.91487305519062)	(39, 39.02549459397423)	(40, 39.00552565970396)	(41, 38.961223924968024)	(42, 39.019342002984025)	(43, 39.031133544900705)	(44, 39.00329031218833)	(45, 38.947011142191734)	(46, 38.88414424717145)	(47, 38.80422279468862)	(48, 38.71636194120202)	(49, 38.61210577347229)	(50, 38.42040106847983)
SRR2977622	(1, 33.17850889302336)	(2, 33.332449009638346)	(3, 33.39091602305018)	(4, 36.61676851841529)	(5, 36.56962264082888)	(6, 36.55956736970988)	(7, 36.55483033707644)	(8, 36.54434313737706)	(9, 38.44383256156191)	(10, 38.44894807479045)	(11, 38.453681336553764)	(12, 38.420261098326584)	(13, 38.40520983416697)	(14, 40.07624715791158)	(15, 40.061487316432405)	(16, 40.04666607535051)	(17, 40.02503456084447)	(18, 39.998709460686875)	(19, 40.01100684199792)	(20, 39.987548586841825)	(21, 39.95294314773876)	(22, 39.91708069727651)	(23, 39.88576911322907)	(24, 39.85106251643607)	(25, 39.80307778419736)	(26, 39.73581472436251)	(27, 39.67707169965249)	(28, 39.62062931559691)	(29, 39.527970511139806)	(30, 39.50942184691316)	(31, 39.46185822249708)	(32, 39.39749938846324)	(33, 39.31920243473608)	(34, 39.23522179602281)	(35, 39.14109628703732)	(36, 39.069801511233585)	(37, 38.99417408762977)	(38, 38.89264111415768)	(39, 39.00197396853586)	(40, 38.98260595981105)	(41, 38.938790252399095)	(42, 38.99273681228346)	(43, 39.00331311928344)	(44, 38.97542228826892)	(45, 38.91729703045617)	(46, 38.85431382623962)	(47, 38.774035854088964)	(48, 38.682643734092665)	(49, 38.5773243151608)	(50, 38.38475466718956)
SRR2977623	(1, 33.190728307892975)	(2, 33.340714094874286)	(3, 33.39715715944977)	(4, 36.61954391983468)	(5, 36.572566277450136)	(6, 36.56260024914437)	(7, 36.55917373180419)	(8, 36.54734170033713)	(9, 38.449219518783806)	(10, 38.45431091724758)	(11, 38.45646904636269)	(12, 38.424535129414586)	(13, 38.410445338151014)	(14, 40.08503520946589)	(15, 40.068904257875325)	(16, 40.055747510480465)	(17, 40.03312906224439)	(18, 40.00799176769779)	(19, 40.01868684224615)	(20, 39.99578920820419)	(21, 39.96132654953831)	(22, 39.929709539350185)	(23, 39.89515097135263)	(24, 39.86310854322944)	(25, 39.81790699957974)	(26, 39.75344307311767)	(27, 39.69619315225979)	(28, 39.63670585445277)	(29, 39.54355607274799)	(30, 39.52994439034861)	(31, 39.480391235646266)	(32, 39.41830778894568)	(33, 39.339907154015755)	(34, 39.25696934800346)	(35, 39.16403269814686)	(36, 39.091778633481475)	(37, 39.01980705309106)	(38, 38.91629508848651)	(39, 39.02569169108027)	(40, 39.00460669266142)	(41, 38.962376477618996)	(42, 39.01748273188005)	(43, 39.0276629915237)	(44, 39.001512390360794)	(45, 38.94307019979504)	(46, 38.88268132043976)	(47, 38.802347444325015)	(48, 38.71095447799739)	(49, 38.60576731398135)	(50, 38.413625992680615)
SRR2977624	(1, 33.174384905626205)	(2, 33.32451935467244)	(3, 33.38299467706457)	(4, 36.61121805855647)	(5, 36.56250835844349)	(6, 36.55240770188775)	(7, 36.549792205612135)	(8, 36.53782178266096)	(9, 38.43840297309835)	(10, 38.44417796101343)	(11, 38.44786429579417)	(12, 38.41555281700442)	(13, 38.40233611530194)	(14, 40.07341238331264)	(15, 40.05654730809362)	(16, 40.04466987282628)	(17, 40.02069359060622)	(18, 39.99543385197475)	(19, 40.007802955267)	(20, 39.985501670295626)	(21, 39.95183002896201)	(22, 39.92117169357389)	(23, 39.88762708316791)	(24, 39.85839438479766)	(25, 39.81282606636326)	(26, 39.74883660914664)	(27, 39.69413773600414)	(28, 39.63765955920355)	(29, 39.546577339284546)	(30, 39.535253825032704)	(31, 39.48623094449018)	(32, 39.42529040367103)	(33, 39.349974123652025)	(34, 39.26665637533312)	(35, 39.17637743666041)	(36, 39.10568050267679)	(37, 39.038177713046274)	(38, 38.94032289015473)	(39, 39.05364718940372)	(40, 39.03730843492325)	(41, 38.99639176442563)	(42, 39.04934529008675)	(43, 39.062769211534096)	(44, 39.03771695384886)	(45, 38.982440129165816)	(46, 38.92710967113704)	(47, 38.84791359319734)	(48, 38.76216858771559)	(49, 38.66047959007407)	(50, 38.47108709916039)
SRR2977625	(1, 32.92924081523159)	(2, 33.09416586628073)	(3, 33.04048781349064)	(4, 36.424182288877525)	(5, 36.35977960167533)	(6, 36.3623735972603)	(7, 36.36156206735272)	(8, 36.36438206413171)	(9, 38.23164410783369)	(10, 38.22453985613126)	(11, 38.24290033008325)	(12, 38.21093826310648)	(13, 38.19804179514967)	(14, 39.82490529801444)	(15, 39.8084598762119)	(16, 39.79649956944641)	(17, 39.77439737098816)	(18, 39.74696955995859)	(19, 39.7726006396777)	(20, 39.746905952018196)	(21, 39.7016233753374)	(22, 39.68029984548138)	(23, 39.66414913487495)	(24, 39.6423240589264)	(25, 39.609325736363445)	(26, 39.557218480822186)	(27, 39.50255522662922)	(28, 39.45735052352188)	(29, 39.40756594800771)	(30, 39.345195626808085)	(31, 39.300143616323886)	(32, 39.25412825603005)	(33, 39.17620940177051)	(34, 39.145749321341874)	(35, 39.087877105296954)	(36, 39.007951428909585)	(37, 38.94326843040912)	(38, 38.88871775723571)	(39, 38.82688040008757)	(40, 38.75025401218413)	(41, 38.67465196386747)	(42, 38.58145092430897)	(43, 38.700621525101575)	(44, 38.649639106336295)	(45, 38.585128638080484)	(46, 38.50102118436441)	(47, 38.58463138846098)	(48, 38.54799918957778)	(49, 38.4797773742226)	(50, 38.379037400730496)
SRR2977626	(1, 32.929888409111854)	(2, 33.09850751298988)	(3, 33.04044066333807)	(4, 36.42879848703065)	(5, 36.367263019134)	(6, 36.373738228154586)	(7, 36.37460924391971)	(8, 36.37995889703543)	(9, 38.250966610493634)	(10, 38.2424978229844)	(11, 38.26179617997628)	(12, 38.23175891696403)	(13, 38.2187893724942)	(14, 39.849937482918286)	(15, 39.83408742047005)	(16, 39.82220059948034)	(17, 39.80190632126671)	(18, 39.77438805979263)	(19, 39.80046585275481)	(20, 39.77502608632353)	(21, 39.72963263578141)	(22, 39.70768654052263)	(23, 39.69171190186771)	(24, 39.67015842220313)	(25, 39.63757970879279)	(26, 39.58532178599897)	(27, 39.53009034708302)	(28, 39.48551984181396)	(29, 39.43619296189929)	(30, 39.37295679830648)	(31, 39.329400532528865)	(32, 39.28358941346487)	(33, 39.20600573451637)	(34, 39.17481819192153)	(35, 39.11898096303754)	(36, 39.038977296989046)	(37, 38.976658932585444)	(38, 38.92096115601931)	(39, 38.859536585490694)	(40, 38.783466618201075)	(41, 38.7086829705852)	(42, 38.614342774156476)	(43, 38.73272683697449)	(44, 38.68223144900297)	(45, 38.619169428699564)	(46, 38.53480523623549)	(47, 38.61747286359363)	(48, 38.580741799528745)	(49, 38.51286515727117)	(50, 38.41396808173205)
SRR2977627	(1, 32.95789544253761)	(2, 33.12658012717404)	(3, 33.069524299283316)	(4, 36.454455648569386)	(5, 36.389720469497206)	(6, 36.39254428621302)	(7, 36.39136826100101)	(8, 36.39457546261973)	(9, 38.266459801411976)	(10, 38.25816716544788)	(11, 38.27663292095048)	(12, 38.24569803874518)	(13, 38.23264956092656)	(14, 39.863756014713935)	(15, 39.84783955797681)	(16, 39.83598588142927)	(17, 39.81459379591712)	(18, 39.787084874938486)	(19, 39.812540424442076)	(20, 39.78779466125696)	(21, 39.74073276832876)	(22, 39.71979865910446)	(23, 39.7034453099698)	(24, 39.68183990677274)	(25, 39.64871540557413)	(26, 39.59602927093588)	(27, 39.54089162119646)	(28, 39.49589757354909)	(29, 39.44698041223963)	(30, 39.383018527582585)	(31, 39.33845838069967)	(32, 39.292357343335226)	(33, 39.213954503870845)	(34, 39.18277937928286)	(35, 39.125945843976304)	(36, 39.04537560907869)	(37, 38.98303205546249)	(38, 38.92745908037142)	(39, 38.86609065668255)	(40, 38.790287033518574)	(41, 38.71593574849677)	(42, 38.6219188351709)	(43, 38.74113683823759)	(44, 38.69039802880441)	(45, 38.62705073955022)	(46, 38.5446948131094)	(47, 38.628240583257906)	(48, 38.592597867786175)	(49, 38.526273162826016)	(50, 38.42651373856209)
SRR2977628	(1, 32.50826818130283)	(2, 32.70126131539921)	(3, 31.646126378439003)	(4, 35.83876639857707)	(5, 36.02943668237304)	(6, 36.1110449355809)	(7, 36.07109599741747)	(8, 36.11992391143133)	(9, 37.934752772223945)	(10, 37.964650357371475)	(11, 37.991445413660635)	(12, 37.9590999284958)	(13, 37.9389717245985)	(14, 39.47192535484136)	(15, 39.464941799023414)	(16, 39.44475541172521)	(17, 39.432065659207176)	(18, 39.34997378599075)	(19, 39.40521808570945)	(20, 39.379145626336964)	(21, 39.35096211683489)	(22, 39.321497182197305)	(23, 39.288116751263445)	(24, 39.248572840922336)	(25, 39.19292831390538)	(26, 39.089638401967974)	(27, 39.03289772905832)	(28, 38.98690839377665)	(29, 38.950442485026166)	(30, 38.88301482249682)	(31, 38.82124973223306)	(32, 38.75137395982743)	(33, 38.68145482531103)	(34, 38.60915510304364)	(35, 38.53954385787637)	(36, 38.45614923260606)	(37, 38.374976541701415)	(38, 38.2814374647273)	(39, 38.20946236806232)	(40, 38.10506615830428)	(41, 38.01795364519531)	(42, 37.92634102114964)	(43, 37.98330157380066)	(44, 38.01279533781498)	(45, 37.951026024139345)	(46, 37.86982927814966)	(47, 37.75652004292245)	(48, 37.61814902914779)	(49, 37.38010287182039)	(50, 36.88691993077382)
SRR2977629	(1, 32.68462866078122)	(2, 32.83616472455306)	(3, 32.12888813118218)	(4, 36.05150074312813)	(5, 36.16123037085822)	(6, 36.200391913991815)	(7, 36.205796086324675)	(8, 36.21647774913292)	(9, 38.044980825529684)	(10, 38.04872023147118)	(11, 38.06914888348628)	(12, 38.03546852933492)	(13, 38.01150194989307)	(14, 39.57509689696334)	(15, 39.565516577933394)	(16, 39.54300412178535)	(17, 39.52705527154203)	(18, 39.50482990591218)	(19, 39.51885869067142)	(20, 39.497092180333944)	(21, 39.37110085424158)	(22, 39.38053041303807)	(23, 39.36061213151689)	(24, 39.34091889458055)	(25, 39.31164215093328)	(26, 39.23747987064846)	(27, 39.16800954368916)	(28, 39.11022178290413)	(29, 39.06242569430253)	(30, 38.98666120586556)	(31, 38.91362349389189)	(32, 38.85026725289638)	(33, 38.774943916737776)	(34, 38.69651256316305)	(35, 38.62877849772565)	(36, 38.55326859684545)	(37, 38.4728865532801)	(38, 38.3851995687523)	(39, 38.300018556857125)	(40, 38.20615105737086)	(41, 38.11349410819786)	(42, 38.00689267704295)	(43, 37.902399612241375)	(44, 37.789273481966546)	(45, 37.934630396928895)	(46, 37.897258822049416)	(47, 37.80598452950113)	(48, 37.66879354244141)	(49, 37.468456245947806)	(50, 37.01684535705727)
SRR2977630	(1, 32.47082831369563)	(2, 32.666042507549996)	(3, 31.613142774381323)	(4, 35.7962105607392)	(5, 35.98567951538541)	(6, 36.067415333625775)	(7, 36.02966524475418)	(8, 36.08005445656056)	(9, 37.89415752354556)	(10, 37.92347819147383)	(11, 37.95157117015652)	(12, 37.920372272564336)	(13, 37.90078683389238)	(14, 39.433469051576004)	(15, 39.42754221776892)	(16, 39.4076677087942)	(17, 39.39804018665664)	(18, 39.317421309089774)	(19, 39.37396926551911)	(20, 39.35087071684443)	(21, 39.32417234368806)	(22, 39.297343518631564)	(23, 39.26684947784693)	(24, 39.23118751197779)	(25, 39.17735904458959)	(26, 39.07891933328566)	(27, 39.027540194541274)	(28, 38.983471982280754)	(29, 38.9504597173227)	(30, 38.8884221690607)	(31, 38.8315070232612)	(32, 38.767550218774716)	(33, 38.7037372882541)	(34, 38.63708231795902)	(35, 38.5732482956208)	(36, 38.493685397423896)	(37, 38.41912664866192)	(38, 38.327514107467174)	(39, 38.26067198861492)	(40, 38.16112241132238)	(41, 38.0801333359913)	(42, 37.993317629516405)	(43, 38.04864159933897)	(44, 38.08015826268483)	(45, 38.02106695703289)	(46, 37.9431587086214)	(47, 37.8338420329312)	(48, 37.701092083404454)	(49, 37.46888750282368)	(50, 36.98633815532616)
