Sample	Unique Reads	Duplicate Reads
SRR2977621	7793662	4740407
SRR2977622	7585010	4613766
SRR2977623	7298477	4525190
SRR2977624	7086611	4398781
SRR2977625	15091905	14699973
SRR2977626	15611465	17797804
SRR2977627	16937447	18160440
SRR2977628	18624947	19495891
SRR2977629	16947221	18188039
SRR2977630	15708364	14540333
SRR2977631	16448064	14896500
SRR2977632	17562663	16400345
SRR2977633	13780106	16082829
SRR2977634	14064925	16978670
SRR2977635	14615414	16882323
SRR2977636	18383669	12815258
SRR2977637	19102275	16548461
SRR2977638	14408160	11291376
SRR2977639	16331304	16764806
SRR2977640	1603278	1137522
SRR2977641	1742448	1169187
SRR2977642	2191999	1180725
SRR2977643	1925359	1272140
SRR2977644	1787789	1452123
SRR2977645	1826306	1144095
SRR2977646	1820628	1417138
SRR2977647	1582400	969051
SRR2977648	2049467	1361763
SRR2977649	1229846	1929195
SRR2977650	1511444	1594994
SRR2977651	1065481	1866077
SRR2977652	1546445	1663600
SRR2977653	965062	1840972
SRR2977654	992676	1959180
SRR2977655	3248824	1907765
SRR2977656	2929011	1833894
SRR2977657	3828659	3047448
SRR2977658	2595029	1319705
SRR2977659	3498989	2346641
SRR2977660	3368018	2243456
SRR2977661	3416100	2221305
SRR2977662	3570614	2217512
SRR2977663	4089263	3241010
SRR2977664	3580539	1824430
SRR2977665	3828974	2253108
SRR2977666	4623896	3218001
SRR2977667	4155760	4287209
SRR2977668	4348396	4407918
SRR2977669	4213932	3828820
SRR2977670	3680583	2828444
SRR2977671	3911372	3600605
SRR2977672	4127614	5690198
SRR2977673	5841094	6295564
SRR2977674	4674605	3419195
SRR2977675	7595710	7305163
SRR2977676	5007653	4308082
SRR2977677	4363258	4040545
SRR2977678	6253724	8472411
SRR2977679	4082226	5536713
SRR2977680	3456480	3543351
SRR2977681	4915010	5057061
SRR2977682	3518298	2455784
SRR2977683	4565931	3618214
SRR2977684	4489091	4353671
SRR2977685	5072763	4359358
SRR2977686	5126441	5332658
SRR2977687	4525430	4345118
SRR2977688	4405085	2941266
SRR2977689	4803323	3973018
SRR2977690	4112200	4380216
SRR2977691	3306419	2237706
SRR2977692	4642796	4148899
SRR2977693	4008151	2442604
SRR2977694	4267736	2716476
SRR2977695	3806455	2599125
SRR2977696	4336227	2725601
SRR2977697	4739017	3893674
SRR2977698	3245998	1357194
SRR2977699	4483443	3265108
SRR2977700	4557454	2926932
SRR2977701	4542556	2568698
SRR2977702	5091236	3084808
SRR2977703	4874216	3585452
SRR2977704	3834708	3211916
SRR2977705	4594889	3688572
SRR2977706	3300442	1739298
SRR2977707	4708585	4334371
SRR2977708	3957742	2010225
SRR2977709	4976202	3508656
SRR2977710	4599548	3321623
SRR2977711	4725902	2590544
SRR2977712	4082206	2303655
SRR2977713	4534409	2666395
SRR2977714	4494819	2954423
SRR2977715	5393361	3348501
SRR2977716	4073708	2690737
SRR2977717	4354912	2470864
SRR2977718	5153701	3362404
SRR2977719	5157565	3139853
SRR2977720	4649021	3646932
SRR2977721	4921638	3349644
SRR2977722	4551824	3277013
SRR2977723	5102583	3237161
SRR2977724	3909016	3860487
SRR2977725	4151829	3552945
SRR2977726	4839803	3930816
SRR2977727	3781979	2069922
SRR2977728	4955377	3323453
SRR2977729	4338633	3059118
SRR2977730	2110366	889510
SRR2977731	3693531	2284192
SRR2977732	4497154	2417885
SRR2977733	4217616	2355857
SRR2977734	3787498	2164065
SRR2977735	3407963	3024112
SRR2977736	4114328	1910999
SRR2977737	4712991	2822355
SRR2977738	5005879	3521299
SRR2977739	1703787	832407
SRR2977740	2992959	2288288
SRR2977741	4084739	3509219
SRR2977742	4981622	4483903
SRR2977743	3814099	3270918
SRR2977744	4275450	2775787
SRR2977745	4274876	3116002
SRR2977746	3940205	2449105
SRR2977747	2674767	1366904
SRR2977748	4638464	3185974
SRR2977749	4108505	2929828
SRR2977750	4050539	2879854
SRR2977751	2704211	1580097
SRR2977752	3558813	2383391
SRR2977753	2822507	1299179
SRR2977754	3949581	2643122
SRR2977755	3366070	2022251
SRR2977756	5147443	5204242
SRR2977757	5439146	4888671
SRR2977758	5661869	5360206
SRR2977759	4607043	4600896
SRR2977760	5521194	6782136
SRR2977761	4257889	3984701
SRR2977762	4397636	3076863
SRR2977763	4298907	3591944
SRR2977764	5149188	5000451
SRR2977765	4130070	3365360
SRR2977766	3864937	2332803
SRR2977767	4394409	3271779
SRR2977768	4736349	5435535
SRR2977769	4457771	2986884
SRR2977770	5013113	6233306
SRR2977771	4458217	4242290
SRR2977772	5704592	5797138
SRR2977773	4688954	3985724
SRR2977774	4670884	5231485
SRR2977775	3895693	2675007
SRR2977776	5208890	6592581
SRR2977777	5740530	5884898
SRR2977778	3680123	2619090
SRR2977779	4605411	3797184
SRR2977780	2691112	1622027
SRR2977781	4364412	3288204
SRR2977782	4183038	3148042
SRR2977783	4202947	3641124
SRR2977784	4785333	4508712
SRR2977785	5393172	7184805
SRR2977786	4629069	4391137
SRR2977787	4576087	4219840
SRR2977788	4954389	4189943
SRR2977789	4191221	3350602
SRR2977790	3837574	3115984
SRR2977791	4065865	3911181
SRR2977792	4178639	3746458
SRR2977793	2556914	1367690
SRR2977794	3702600	2970152
SRR2977795	3859530	3499026
SRR2977796	5900186	5954693
SRR2977797	4416315	4786634
SRR2977798	4279951	4369149
SRR2977799	4342131	3195919
SRR2977800	4362211	3307767
SRR2977801	4998319	4438095
SRR2977802	4161942	3866996
SRR2977803	3300330	1880553
SRR2977804	3882653	3525368
SRR2977805	3814808	2694944
SRR2977806	4190826	4009895
SRR2977807	3861382	2544513
SRR2977808	5597714	4936682
SRR2977809	4001356	3488483
SRR2977810	5026423	5229186
SRR2977811	4458794	3984143
SRR2977812	5136646	5360922
SRR2977813	3810904	2314131
SRR2977814	3341994	1875921
SRR2977815	3842977	3735666
SRR2977816	3948805	2627286
SRR2977817	2318422	1813914
SRR2977818	1328826	1436028
SRR2977819	1955806	970648
SRR2977820	1832226	1075645
SRR2977821	1839738	1046535
SRR2977822	3139460	3875820
SRR2977823	1541491	2459559
SRR2977824	3003614	2497681
SRR2977825	3223806	3523967
SRR2977826	3064966	3410245
SRR2977827	2281865	2567587
SRR2977828	2179865	1961220
SRR2977830	2550360	2116060
SRR2977831	2304467	2316374
SRR2977832	1550007	1911046
SRR2977833	3981328	5586325
SRR2977834	3535095	4118688
SRR2977835	2230176	3456590
SRR2977836	3290872	3885293
SRR2977837	3882746	3504957
SRR2977838	3465634	5705854
SRR2977839	2304062	2070447
SRR2977840	2095294	1899073
SRR2977841	2108639	1994885
SRR2977842	2097805	1560500
SRR2977843	2073970	1612655
SRR2977844	2346190	1436310
SRR2977845	2930530	5381312
SRR2977846	2828254	4202663
SRR2977847	3305871	2678802
SRR2977848	2584292	3231984
SRR2977849	4322211	4904128
SRR2977850	3652325	6422430
SRR2977851	3754895	4037582
SRR2977852	3576500	4016262
SRR2977853	3363484	3330323
SRR2977854	3035704	3541339
SRR2977855	3027229	3488702
SRR2977856	2435214	2928050
SRR2977857	2430671	4815777
SRR2977858	2691362	3464235
SRR2977859	3492439	4679180
SRR2977860	3570417	4860460
SRR2977861	4010008	5148522
SRR2977862	3937612	4045229
SRR2977863	2989472	4035663
SRR2977864	3067692	5314538
SRR2977865	2490760	2689595
SRR2977866	2780979	2319545
SRR2977867	2609405	2887473
SRR2977868	3115570	4720982
SRR2977869	3491813	3335569
SRR2977870	2995591	3563075
SRR2977871	3601378	3894167
SRR2977872	2728572	4973766
SRR2977873	3602283	5375215
SRR2977874	3928952	5699864
SRR2977875	3112094	4079516
SRR2977876	3684239	4765455
SRR2977877	3098193	4073460
SRR2977878	2920707	3568019
SRR2977879	3030481	4972323
SRR2977880	2736091	5281194
SRR2977881	3981811	4095093
SRR2977882	4213784	4631939
SRR2977883	4653508	4869220
SRR2977884	3610417	3770071
SRR2977885	2267795	2506283
SRR2977886	3637725	3092071
SRR2977887	2767845	1916203
SRR2977888	3181689	3174045
SRR2977889	2907703	2281529
SRR2977890	3223746	2795335
SRR2977891	3215201	2203967
SRR2977892	2802404	2818497
SRR2977893	3537803	2424110
SRR2977894	3452478	2966825
SRR2977895	3706717	3049917
SRR2977896	4190675	5397640
SRR2977897	3635062	2971153
SRR2977898	3954868	4026796
SRR2977899	4001573	5265335
SRR2977900	4202648	3576956
SRR2977901	3491543	3767384
SRR2977902	4053596	5487788
SRR2977903	3584105	2473793
SRR2977904	3755750	3383480
SRR2977905	3861038	2937639
SRR2977906	3803852	3394965
SRR2977907	3947550	5135661
SRR2977908	3709215	4956481
SRR2977909	3026949	3711276
SRR2977910	4004059	3633171
SRR2977911	3935273	3527838
SRR2977912	3608693	3581987
SRR2977913	3279854	2279596
SRR2977914	4820724	3594421
SRR2977915	3933984	3050711
SRR2977916	3538084	3809920
SRR2977917	3730804	4316270
SRR2977918	3318978	4186328
SRR2977919	3176878	5355415
SRR2977920	4561652	5030387
SRR2977921	3293250	4079102
SRR2977922	4100356	4737667
SRR2977923	3876307	3484794
SRR2977924	3207621	4486922
SRR2977925	3382468	3394203
SRR2977926	3945053	3620840
SRR2977927	3337459	3375314
SRR2977928	2904636	4065241
SRR2977929	2388816	3859601
SRR2977930	1750841	2118047
SRR2977931	4081114	4149971
SRR2977932	4521879	6125773
SRR2977933	2973193	4284783
SRR2977934	4297843	5268474
SRR2977935	2940350	4104300
SRR2977936	4247211	3664133
SRR2977937	3197484	3693202
SRR2977938	4577790	4852369
SRR2977939	2618708	3457826
SRR2977940	3658118	3763641
SRR2977941	3984317	3475643
SRR2977942	4411008	3886305
SRR2977943	3880508	5205377
SRR2977944	4990604	6623543
SRR2977945	4098902	5414006
SRR2977946	4974497	4933604
SRR2977947	4691877	5357473
SRR2977948	4254353	4637271
SRR2977949	4233926	4510463
SRR2977950	4440637	4397266
SRR2977951	3745387	2975489
SRR2977952	3631731	4194881
SRR2977953	4029815	2642918
SRR2977954	3342242	4927467
SRR2977955	2849092	4270032
SRR2977956	3692008	4754981
SRR2977957	3983214	3112439
SRR2977958	4631835	4364523
SRR2977959	1975124	950393
SRR2977960	3439016	5274330
SRR2977961	2461283	2366851
SRR2977962	3350201	4577788
SRR2977963	3981017	2751418
SRR2977964	3919237	7848002
SRR2977965	3871407	5391452
SRR2977966	3812579	8369255
SRR2977967	4896273	4673340
SRR2977968	6199283	7013338
SRR2977969	5211830	7498644
SRR2977970	5661644	7650660
SRR2977971	4330103	7034300
SRR2977972	4806722	9285655
