Sample	Uniquely mapped	Mapped to multiple loci	Mapped to too many loci	Unmapped: too short	Unmapped: other
SRR2977621	10435794	1880776	64255	108024	45220
SRR2977622	10171149	1817996	62168	103590	43873
SRR2977623	9822421	1824619	60759	73304	42564
SRR2977624	9581595	1735483	59553	66401	42360
SRR2977625	25092722	4158782	174970	240632	124772
SRR2977626	27892426	5003380	175470	225329	112664
SRR2977627	29279666	5248819	204847	224342	140213
SRR2977628	31774038	5884314	155494	219821	87171
SRR2977629	28508908	6156977	164175	213991	91209
SRR2977630	26428879	3490947	83616	200391	44864
SRR2977631	27421568	3622019	80089	179866	41022
SRR2977632	29851273	3758340	94796	204864	53735
SRR2977633	25938380	3638400	70924	185338	29893
SRR2977634	26539816	4245568	77890	149231	31090
SRR2977635	27466233	3747502	74012	175514	34476
SRR2977636	26868519	3935553	139491	186852	68512
SRR2977637	29594693	5545033	152812	290814	67384
SRR2977638	21971476	3417537	93067	163092	54364
SRR2977639	26955441	5770123	117009	200854	52683
SRR2977640	1895546	775926	15317	49076	4935
SRR2977641	2062085	765893	15118	63873	4666
SRR2977642	2464455	819001	17646	65906	5716
SRR2977643	2256695	839000	16233	80462	5109
SRR2977644	2236064	922578	15177	61881	4212
SRR2977645	2126920	745413	14693	78924	4451
SRR2977646	2096316	1065328	13727	58839	3556
SRR2977647	1834644	655625	10108	48265	2809
SRR2977648	2476199	851211	14216	65510	4094
SRR2977649	2228514	839098	11002	77894	2533
SRR2977650	2377271	646617	11136	67984	3430
SRR2977651	2011688	802597	9856	105075	2342
SRR2977652	2305128	725296	11423	164988	3210
SRR2977653	1979671	736327	9581	78205	2250
SRR2977654	2058182	764653	9642	116726	2653
SRR2977655	3810137	835795	69930	374670	66057
SRR2977656	3693669	788599	36017	217969	26651
SRR2977657	5421758	1049208	54254	308918	41969
SRR2977658	2868113	619267	46692	338801	41861
SRR2977659	4444630	891861	56840	403212	49087
SRR2977660	4344677	877197	46009	307098	36493
SRR2977661	4142262	867109	49837	538185	40012
SRR2977662	4380018	896783	63111	392622	55592
SRR2977663	5601216	1099601	57416	524431	47609
SRR2977664	4238318	804975	64192	239069	58415
SRR2977665	4706270	868294	71793	368175	67550
SRR2977666	6239874	1161472	61666	326327	52558
SRR2977667	6176824	1244929	68347	898009	54860
SRR2977668	7051984	1360911	67446	226035	49938
SRR2977669	6459944	1309120	71356	138650	63682
SRR2977670	4965777	1001338	55605	438132	48175
SRR2977671	5703590	1141169	57139	562053	48026
SRR2977672	6724461	1265718	58240	1727171	42222
SRR2977673	8870154	1627862	90578	1469143	78921
SRR2977674	6086056	1065657	68265	810713	63109
SRR2977675	11965196	1820576	111360	911409	92332
SRR2977676	7019773	1252689	66529	924601	52143
SRR2977677	6232436	1188930	59068	875478	47891
SRR2977678	11267198	2482270	77105	865700	33862
SRR2977679	7372271	1521782	62804	619740	42342
SRR2977680	4745623	957917	43179	1220909	32203
SRR2977681	8028658	1349842	68112	472614	52845
SRR2977682	4564849	855410	43139	475444	35240
SRR2977683	6679354	1119268	62713	265458	57352
SRR2977684	7057066	1276880	65993	388023	54800
SRR2977685	7348847	1428441	75844	523353	55636
SRR2977686	7084403	1158918	68351	2085713	61714
SRR2977687	6319297	1166837	59266	1277251	47897
SRR2977688	5884734	1066036	67778	265469	62334
SRR2977689	6501690	1130884	74708	1002407	66652
SRR2977690	5926659	1022049	45495	1460864	37349
SRR2977691	3807469	771089	51121	871191	43255
SRR2977692	6030463	1058427	52082	1610290	40433
SRR2977693	5254627	926971	43385	192229	33543
SRR2977694	5725611	991467	38959	201659	26516
SRR2977695	4786137	921077	55025	599127	44214
SRR2977696	5397979	889945	53334	673238	47332
SRR2977697	6073326	1088747	60182	1363796	46640
SRR2977698	3617307	729856	65616	126942	63471
SRR2977699	5999628	1199940	50616	463543	34824
SRR2977700	5775757	1063124	56341	543498	45666
SRR2977701	5602828	965546	56622	438627	47631
SRR2977702	6755614	1086813	64720	211685	57212
SRR2977703	6500970	1240127	62317	609741	46513
SRR2977704	4560457	813135	52337	1576302	44393
SRR2977705	6098101	1156940	55661	930537	42222
SRR2977706	4107699	722355	35941	146047	27698
SRR2977707	6213132	1007874	56509	1722933	42508
SRR2977708	4799736	821588	49462	254215	42966
SRR2977709	6677970	1261253	67727	421883	56025
SRR2977710	5969300	1061099	56380	792435	41957
SRR2977711	5953550	1053928	62844	190453	55671
SRR2977712	5066366	981227	49184	246966	42118
SRR2977713	5810057	1014919	56649	270185	48994
SRR2977714	5908303	1160969	54871	282598	42501
SRR2977715	7107983	1224240	68341	282665	58633
SRR2977716	5187455	1020962	55083	459707	41238
SRR2977717	5419968	1053567	69433	219432	63376
SRR2977718	6644432	1041105	57698	721799	51071
SRR2977719	6705436	1110352	64027	356997	60606
SRR2977720	6287569	1142861	58649	764538	42336
SRR2977721	6681289	1271837	59902	210399	47855
SRR2977722	5798728	1041678	51949	894199	42283
SRR2977723	6550020	1090096	67185	571535	60908
SRR2977724	4787139	883447	44226	2021275	33416
SRR2977725	5195792	914039	48163	1507475	39305
SRR2977726	6590900	1172232	56799	909468	41220
SRR2977727	4611986	901365	49944	247627	40979
SRR2977728	6615991	1150338	61089	407513	43899
SRR2977729	5488040	1098169	56682	711239	43621
SRR2977730	2264366	435597	23635	258579	17699
SRR2977731	4570461	936118	50076	378065	43003
SRR2977732	5628173	1009935	58514	169342	49075
SRR2977733	5152366	983429	54364	334087	49227
SRR2977734	4527656	833485	46625	502700	41097
SRR2977735	4091990	782604	38302	1490236	28943
SRR2977736	4884970	845563	53088	197705	44001
SRR2977737	6098672	1065345	63756	251034	56539
SRR2977738	6917847	1142490	66087	344478	56276
SRR2977739	1824049	353554	20175	321178	17238
SRR2977740	3713402	648993	39258	847916	31678
SRR2977741	5568164	984342	55119	938497	47836
SRR2977742	7813193	1366821	76230	145834	63447
SRR2977743	5782888	1103564	47140	116045	35380
SRR2977744	5900370	921659	66390	100792	62026
SRR2977745	6134956	1028625	56966	119972	50359
SRR2977746	5297568	868701	62760	98092	62189
SRR2977747	3232154	650986	46722	69830	41979
SRR2977748	6554518	1036882	58540	121288	53210
SRR2977749	5802054	1001981	62507	110538	61253
SRR2977750	5717117	993765	58851	108030	52630
SRR2977751	3475913	657461	40285	75053	35596
SRR2977752	4921728	831484	51248	89059	48685
SRR2977753	3348761	596255	56611	62085	57974
SRR2977754	5281940	1045565	83502	101089	80607
SRR2977755	4407976	791888	55908	80823	51726
SRR2977756	8517784	1529759	84020	148815	71307
SRR2977757	8579387	1445239	82370	146526	74295
SRR2977758	9321330	1375528	85978	149938	89301
SRR2977759	7629308	1320030	65477	139530	53594
SRR2977760	10265407	1702360	85294	176298	73971
SRR2977761	6760276	1243577	58203	130248	50286
SRR2977762	6129969	1077623	79459	109033	78415
SRR2977763	6529236	1120181	59034	126338	56062
SRR2977764	8504411	1366715	70157	140590	67766
