"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"BENPORATH_ES_1",2.21574386120517e-07,0.00356623974460972,0.690132458796796,-0.638559437619381,-1.87089419899211,108,"[""SFRP1"",""TUBB2B"",""PODXL"",""DMKN"",""TCF7L1"",""FGFR1"",""POU5F1"",""POLR3G"",""SNRPN"",""CXADR"",""MAD2L2"",""SLC39A10"",""MGST1"",""OAZ2"",""TERF1"",""SMS"",""ELOVL6"",""CBX5"",""GNL3"",""DPPA4"",""JADE1"",""HSPA4"",""PRPF40A"",""DNMT3A"",""MSH6"",""SLC38A1"",""L1TD1"",""SRSF7"",""MSH2"",""CD24"",""CTSC"",""PSIP1"",""JARID2"",""MTF2"",""CASP3"",""TIA1"",""BIRC5"",""CCNB1"",""HMGB3"",""G3BP2"",""SEMA6A"",""SLC16A1"",""SEPHS1"",""TMX1"",""MDN1"",""FXR1"",""LIN28A""]"
"HOUNKPE_HOUSEKEEPING_GENES",8.53706456856163e-07,0.00687020271154997,0.659444398037935,0.366891663674046,1.5142347164953,366,"[""TRAPPC3"",""LRRC59"",""MED19"",""RRP9"",""PRCC"",""WDR46"",""TUSC2"",""UBQLN1"",""RAB14"",""GTF2F1"",""ABCF2"",""CLPP"",""RBM17"",""RANGAP1"",""BRMS1"",""HNRNPUL1"",""ISCU"",""ANP32B"",""CHTOP"",""AP1G1"",""RALA"",""RER1"",""PFDN1"",""TRIP12"",""USP39"",""CCDC124"",""EIF3B"",""RABGGTB"",""FTSJ3"",""RNF167"",""RHEB"",""COPE"",""YTHDC1"",""GORASP2"",""NSA2"",""SYF2"",""PHF5A"",""TBCB"",""CDC37"",""PMPCA"",""SF1"",""RPL22"",""RPS19BP1"",""KXD1"",""RALBP1"",""RAB7A"",""P4HB"",""LMAN2"",""SNRPA"",""PSMG3"",""YME1L1"",""SRSF4"",""H2AZ2"",""DDX27"",""GSPT1"",""HNRNPM"",""PDAP1"",""ARIH2"",""MRTO4"",""SERP1"",""STAU1"",""POP7"",""AK2"",""MRPL44"",""ANP32A"",""COA6"",""GET3"",""PFDN2"",""VCP"",""AHSA1"",""NCBP2"",""C9orf78"",""SARS1"",""LSM4"",""MRPL17"",""ENSA"",""SRSF11"",""C14orf119"",""FAM32A"",""SF3B2"",""BUB3"",""UBAP2L"",""IK"",""EBNA1BP2"",""LARS1"",""FBL"",""UBXN1"",""AAMP"",""DARS1"",""RNF181"",""MRPL37"",""UBE2I"",""CYB5B"",""MRPL18"",""DCTPP1"",""LUC7L3"",""CHMP2B"",""LRPPRC"",""MLF2"",""GOLGA4"",""LSM14A"",""YWHAB"",""TOMM20"",""CALR"",""SSU72"",""DDB1"",""ETF1"",""DNAJC7""]"
"CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_4",3.27950178321794e-06,0.0127550009497771,0.627256739718528,-0.761490101142268,-1.93992847994024,38,"[""NREP"",""VCAN"",""TUBB2B"",""IGF1R"",""SNHG14"",""HMGN3"",""MAD2L2"",""YBX3"",""AK4"",""LSM6"",""FDFT1"",""JADE1"",""HSPA4"",""CYB5A""]"
"MANNO_MIDBRAIN_NEUROTYPES_HDA2",3.24242241272144e-06,0.0127550009497771,0.627256739718528,-0.909421501566684,-1.88361649764218,13,"[""NREP"",""MAP1B"",""DPYSL3"",""TUBB2B"",""TUBA1A"",""UCHL1"",""CXADR"",""MEST""]"
"SETD1A_TARGET_GENES",3.96241098160207e-06,0.0127550009497771,0.610526878385931,0.398150173508313,1.59974595198669,257,"[""HDAC1"",""PRCC"",""MRPL4"",""GRWD1"",""LMNB2"",""GTF2F1"",""SUPT5H"",""RANGAP1"",""IMP3"",""FAM177A1"",""AP1G1"",""NUP85"",""GPS1"",""TIMM44"",""RABGGTB"",""SURF2"",""URM1"",""MRPL2"",""IMP4"",""RNF167"",""USP16"",""CCDC12"",""IDH3B"",""EIF3F"",""CALM3"",""YTHDC1"",""ITSN1"",""NSA2"",""TBCB"",""SF1"",""CCDC59"",""RPL22"",""ABT1"",""DYNC1I2"",""DNM1L"",""GCN1"",""SNRPA"",""FARSA"",""YME1L1"",""IST1"",""LARP4"",""TARS1"",""PDAP1"",""TNPO1"",""SAP30BP"",""NDUFA9"",""PUM3"",""UXT"",""AK2"",""MRPL44"",""COA6"",""SDHB"",""BUD23"",""DPH3"",""RPL21"",""IP6K2"",""NCBP2"",""PSMD13"",""AURKAIP1"",""SRSF11"",""EIF2S3"",""GPBP1L1"",""FAM32A"",""LARS1"",""UBXN1"",""SMIM26"",""DARS1"",""UBE2I"",""CYB5B"",""SREK1IP1""]"
"ZHONG_PFC_C3_MICROGLIA",5.15550962766541e-06,0.0138296545762125,0.610526878385931,-0.85420024758097,-1.93156198665868,20,"[""MAP1B"",""DPYSL3"",""TUBB2B"",""TUBA1A"",""DPYSL2"",""UCHL1"",""CSRP2""]"
"LIU_PROSTATE_CANCER_DN",1.04327687571716e-05,0.0152650375587889,0.593325476396405,-0.831799463732489,-1.9176691182695,22,"[""MAP1B"",""DPYSL3"",""TUBA1A"",""HSPB1"",""DMKN"",""FGFR1"",""AKR1B1"",""CSRP2"",""LAPTM4B"",""VCL"",""ENAH""]"
"CHICAS_RB1_TARGETS_CONFLUENT",6.66307466210992e-06,0.0152650375587889,0.610526878385931,-0.720376942606436,-1.89835675561625,47,"[""SFRP1"",""NREP"",""MAP1B"",""DPYSL3"",""TUBB2B"",""TUBA1A"",""HSPB1"",""IFITM2"",""PHGDH"",""MEST"",""CNN2"",""IFITM3"",""PCLAF"",""JADE1"",""TUBA1B"",""CYB5A"",""SPTBN1"",""PSAT1"",""RPL22L1"",""TMEM97"",""CNN3"",""TUBA1C"",""MDK"",""SRI""]"
"MANNO_MIDBRAIN_NEUROTYPES_HNBML1",7.60249092136716e-06,0.0152650375587889,0.610526878385931,-0.875848411374838,-1.89480159833474,16,"[""NREP"",""MAP1B"",""DPYSL3"",""TUBB2B"",""TUBA1A"",""OCIAD2"",""UCHL1"",""CXADR""]"
"AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_UP",9.96374140573914e-06,0.0152650375587889,0.593325476396405,-0.897175679675336,-1.85825264589467,13,"[""SFRP1"",""MAP1B"",""DPYSL3"",""SNHG14"",""SNRPN""]"
