Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
ERR1041405 - nextera_transposase_sequence	(1, 9.168684541322803e-05)	(2, 9.168684541322803e-05)	(3, 9.168684541322803e-05)	(4, 0.00016503632174381044)	(5, 0.00025672316715703847)	(6, 0.00025672316715703847)	(7, 0.00025672316715703847)	(8, 0.00025672316715703847)	(9, 0.00029339790532232967)	(10, 0.00029339790532232967)	(11, 0.0003300726434876209)	(12, 0.0003300726434876209)	(13, 0.0003300726434876209)	(14, 0.00036674738165291213)	(15, 0.00040342211981820333)	(16, 0.0004951089652314313)	(17, 0.0005501210724793682)	(18, 0.0005501210724793682)	(19, 0.0006601452869752417)	(20, 0.0009352058232149258)	(21, 0.0015036642647769396)	(22, 0.0023105085044133463)	(23, 0.002787280100562132)	(24, 0.003594124340198539)	(25, 0.004584342270661401)	(26, 0.005629572308372201)	(27, 0.0076466829074632175)	(28, 0.013276255215835418)	(29, 0.03766495609575407)	(30, 0.0675915424386317)	(31, 0.1359899291168998)	(32, 0.18792135835895216)
ERR1041412 - nextera_transposase_sequence	(1, 6.057023239586766e-05)	(2, 6.057023239586766e-05)	(3, 7.571279049483457e-05)	(4, 0.00018171069718760297)	(5, 0.00040884906867210666)	(6, 0.0004239916267710736)	(7, 0.0004239916267710736)	(8, 0.0004239916267710736)	(9, 0.0004391341848700405)	(10, 0.00045427674296900743)	(11, 0.0004694193010679743)	(12, 0.00048456185916694126)	(13, 0.0004997044172659081)	(14, 0.0004997044172659081)	(15, 0.0004997044172659081)	(16, 0.0004997044172659081)	(17, 0.000514846975364875)	(18, 0.000529989533463842)	(19, 0.0005905597658597097)	(20, 0.0006359874401566103)	(21, 0.0007571279049483457)	(22, 0.00102969395072975)	(23, 0.0012114046479173531)	(24, 0.0014385430194018569)	(25, 0.0018928197623708644)	(26, 0.002316811389141938)	(27, 0.003497930920861357)	(28, 0.006450729750159905)	(29, 0.013219453220398115)	(30, 0.023122686217122476)	(31, 0.06393188029383831)	(32, 0.11385689434613223)
ERR1041416 - nextera_transposase_sequence	(1, 5.058342927323752e-05)	(2, 5.058342927323752e-05)	(3, 6.322928659154691e-05)	(4, 0.0001896878597746407)	(5, 0.00025291714636618763)	(6, 0.0002782088610028064)	(7, 0.00029085471832111576)	(8, 0.00030350057563942513)	(9, 0.0003540840049126627)	(10, 0.0004426050061408283)	(11, 0.0004552508634591377)	(12, 0.0004552508634591377)	(13, 0.0004678967207774471)	(14, 0.00048054257809575647)	(15, 0.0004931884354140658)	(16, 0.000531126007368994)	(17, 0.0005437718646873034)	(18, 0.0005817094366422315)	(19, 0.0006070011512788503)	(20, 0.0006449387232337784)	(21, 0.0007208138671436347)	(22, 0.0009737310135098223)	(23, 0.000999022728146441)	(24, 0.0011507730159661536)	(25, 0.0012898774464675568)	(26, 0.0016692531660168382)	(27, 0.0028326720393013014)	(28, 0.005994136368878646)	(29, 0.013998964051368483)	(30, 0.02489969305975117)	(31, 0.06359601645377787)	(32, 0.10913374865700995)
ERR1041429 - nextera_transposase_sequence	(1, 0.0)	(2, 1.9207078038742214e-05)	(3, 3.841415607748443e-05)	(4, 3.841415607748443e-05)	(5, 3.841415607748443e-05)	(6, 3.841415607748443e-05)	(7, 5.762123411622664e-05)	(8, 7.682831215496886e-05)	(9, 7.682831215496886e-05)	(10, 0.00011524246823245328)	(11, 0.00011524246823245328)	(12, 0.0001344495462711955)	(13, 0.0001344495462711955)	(14, 0.0001536566243099377)	(15, 0.0001728637023486799)	(16, 0.0001728637023486799)	(17, 0.00021127785842616433)	(18, 0.00023048493646490655)	(19, 0.00023048493646490655)	(20, 0.000268899092542391)	(21, 0.000268899092542391)	(22, 0.00036493448273610204)	(23, 0.0005570052631235242)	(24, 0.000806697277627173)	(25, 0.000998768058014595)	(26, 0.0015173591650606349)	(27, 0.007010583484140908)	(28, 0.013925131578088104)	(29, 0.02414329709469896)	(30, 0.0411799753150633)	(31, 0.08599008837944888)	(32, 0.1485091273955548)
ERR1041430 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 2.1731392169483996e-05)	(5, 2.1731392169483996e-05)	(6, 2.1731392169483996e-05)	(7, 4.346278433896799e-05)	(8, 4.346278433896799e-05)	(9, 4.346278433896799e-05)	(10, 4.346278433896799e-05)	(11, 8.692556867793598e-05)	(12, 8.692556867793598e-05)	(13, 0.00013038835301690398)	(14, 0.00015211974518638798)	(15, 0.00023904531386432397)	(16, 0.00026077670603380797)	(17, 0.00034770227471174394)	(18, 0.0003911650590507119)	(19, 0.0004998220198981319)	(20, 0.0005432848042370999)	(21, 0.0006736731572540039)	(22, 0.0011517637849826519)	(23, 0.0016950485892197518)	(24, 0.0024773787073211757)	(25, 0.0030858576880667277)	(26, 0.004541860963422155)	(27, 0.02044924003148444)	(28, 0.041246182337680626)	(29, 0.06880158760858633)	(30, 0.10639689606179364)	(31, 0.19475673662291557)	(32, 0.3084988432379948)
ERR1041431 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 3.448397150520467e-05)	(6, 3.448397150520467e-05)	(7, 3.448397150520467e-05)	(8, 3.448397150520467e-05)	(9, 0.000103451914515614)	(10, 0.000103451914515614)	(11, 0.000103451914515614)	(12, 0.000103451914515614)	(13, 0.000103451914515614)	(14, 0.00013793588602081867)	(15, 0.00013793588602081867)	(16, 0.00017241985752602332)	(17, 0.00027587177204163734)	(18, 0.00034483971505204665)	(19, 0.0003793236865572513)	(20, 0.00051725957257807)	(21, 0.0008620992876301166)	(22, 0.0013793588602081866)	(23, 0.002103522261817485)	(24, 0.004069108637614151)	(25, 0.004827756010728653)	(26, 0.0067933423865253195)	(27, 0.025242267141809816)	(28, 0.04631197373148987)	(29, 0.07348534327759114)	(30, 0.1116246157623475)	(31, 0.19266194879957846)	(32, 0.30359688513182187)
ERR1041432 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 2.9860783057230578e-05)	(4, 2.9860783057230578e-05)	(5, 2.9860783057230578e-05)	(6, 2.9860783057230578e-05)	(7, 2.9860783057230578e-05)	(8, 2.9860783057230578e-05)	(9, 8.958234917169173e-05)	(10, 0.00017916469834338347)	(11, 0.00017916469834338347)	(12, 0.00017916469834338347)	(13, 0.00017916469834338347)	(14, 0.00017916469834338347)	(15, 0.00017916469834338347)	(16, 0.00017916469834338347)	(17, 0.00023888626445784462)	(18, 0.00023888626445784462)	(19, 0.0002687470475150752)	(20, 0.0003284686136295364)	(21, 0.0005076333119729199)	(22, 0.0006569372272590728)	(23, 0.0010152666239458398)	(24, 0.00155276071897599)	(25, 0.0018812293326055266)	(26, 0.003045799871837519)	(27, 0.013944985687726681)	(28, 0.028546908602712435)	(29, 0.04673212548456586)	(30, 0.07390543806664568)	(31, 0.13428394140836591)	(32, 0.21460944783231617)
ERR1041433 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.00012159843575772241)	(17, 0.00036479530727316726)	(18, 0.00036479530727316726)	(19, 0.0006079921787886121)	(20, 0.0007295906145463345)	(21, 0.0010943859218195016)	(22, 0.001459181229092669)	(23, 0.0018239765363658362)	(24, 0.0027967640224276155)	(25, 0.0032831577654585053)	(26, 0.0036479530727316725)	(27, 0.007660701452736512)	(28, 0.013011032626076299)	(29, 0.020914930950328255)	(30, 0.03392596357640455)	(31, 0.06456876938735061)	(32, 0.1225712232437842)
ERR1041434 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 6.931644969462638e-05)	(10, 0.00027726579877850553)	(11, 0.00027726579877850553)	(12, 0.00027726579877850553)	(13, 0.0003465822484731319)	(14, 0.0003465822484731319)	(15, 0.00048521514786238466)	(16, 0.00048521514786238466)	(17, 0.0006238480472516375)	(18, 0.0006931644969462638)	(19, 0.0007624809466408902)	(20, 0.0009704302957247693)	(21, 0.0011783796448086485)	(22, 0.0017329112423656596)	(23, 0.002772657987785055)	(24, 0.004852151478623847)	(25, 0.005475999525875484)	(26, 0.006723695620378759)	(27, 0.018022276920602858)	(28, 0.03618318674059497)	(29, 0.05975077963676794)	(30, 0.09427037158469188)	(31, 0.1713502636451164)	(32, 0.28052367191415295)
ERR1041435 - nextera_transposase_sequence	(1, 0.0)	(2, 2.5678997635734688e-05)	(3, 2.5678997635734688e-05)	(4, 2.5678997635734688e-05)	(5, 2.5678997635734688e-05)	(6, 2.5678997635734688e-05)	(7, 2.5678997635734688e-05)	(8, 2.5678997635734688e-05)	(9, 0.00010271599054293875)	(10, 0.00010271599054293875)	(11, 0.00015407398581440812)	(12, 0.0001797529834501428)	(13, 0.0002054319810858775)	(14, 0.0002054319810858775)	(15, 0.00025678997635734686)	(16, 0.00030814797162881624)	(17, 0.0003595059669002856)	(18, 0.000410863962171755)	(19, 0.0004622219574432244)	(20, 0.00048790095507895905)	(21, 0.0005392589503504285)	(22, 0.0009758019101579181)	(23, 0.0016177768510512852)	(24, 0.0027476527470236115)	(25, 0.00328691169737404)	(26, 0.004801972557882387)	(27, 0.01658863247268461)	(28, 0.03176492007540381)	(29, 0.05202564920999848)	(30, 0.0835081003114092)	(31, 0.15548633068437354)	(32, 0.2557628164519175)
ERR1041436 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 7.578140097075974e-05)	(4, 7.578140097075974e-05)	(5, 7.578140097075974e-05)	(6, 7.578140097075974e-05)	(7, 7.578140097075974e-05)	(8, 7.578140097075974e-05)	(9, 0.00022734420291227925)	(10, 0.0004546884058245585)	(11, 0.0008335954106783572)	(12, 0.0008335954106783572)	(13, 0.0008335954106783572)	(14, 0.0008335954106783572)	(15, 0.0011367210145613962)	(16, 0.001515628019415195)	(17, 0.0018945350242689936)	(18, 0.002046097826210513)	(19, 0.002652349033976591)	(20, 0.00295547463785963)	(21, 0.003182818840771909)	(22, 0.0050015724640701436)	(23, 0.008487516908725092)	(24, 0.014701591788327391)	(25, 0.015686750000947266)	(26, 0.019627382851426775)	(27, 0.03478366304557872)	(28, 0.06282278140475983)	(29, 0.09222596498141461)	(30, 0.1523206159512271)	(31, 0.26765990822872343)	(32, 0.450747772974079)
ERR1041437 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 6.177522220547427e-05)	(5, 6.177522220547427e-05)	(6, 6.177522220547427e-05)	(7, 0.00012355044441094855)	(8, 0.00012355044441094855)	(9, 0.0003706513332328456)	(10, 0.000679527444260217)	(11, 0.0007413026664656912)	(12, 0.001111953999698537)	(13, 0.001111953999698537)	(14, 0.001173729221904011)	(15, 0.0014826053329313825)	(16, 0.0019150318883697024)	(17, 0.002285683221602548)	(18, 0.0025945593326299195)	(19, 0.0030887611102737135)	(20, 0.003644738110122982)	(21, 0.005003792998643416)	(22, 0.008524980664355449)	(23, 0.014702502884902878)	(24, 0.022486180882792636)	(25, 0.0254513915486554)	(26, 0.031134711991559035)	(27, 0.05732740620668013)	(28, 0.10075538741712854)	(29, 0.1431331898500839)	(30, 0.2247382583835154)	(31, 0.38263572634070764)	(32, 0.6054589528358534)
ERR1041438 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0005338230269900922)	(18, 0.0010676460539801845)	(19, 0.0010676460539801845)	(20, 0.0010676460539801845)	(21, 0.0010676460539801845)	(22, 0.002669115134950461)	(23, 0.0037367611889306458)	(24, 0.005872053296891015)	(25, 0.006405876323881107)	(26, 0.0074735223778612915)	(27, 0.012811752647762215)	(28, 0.02135292107960369)	(29, 0.03149555859241544)	(30, 0.05925435599590024)	(31, 0.10729842842500854)	(32, 0.19377775879740347)
