.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
ERR1041403	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041404	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041405	1	1	1	0.25	0.5	1	1	0.5	0.25	1
ERR1041406	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041407	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041408	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041409	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041410	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041411	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041412	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041413	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041414	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041415	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041416	1	1	1	0.25	1	1	1	0.25	0.25	1
ERR1041417	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041418	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041419	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041420	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041421	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041422	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041423	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041424	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041425	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1041426	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041427	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041428	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041429	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041430	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041431	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041432	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041433	1	1	1	0.25	1	1	1	1	0.5	1
ERR1041434	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041435	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041436	1	1	1	0.25	0.5	1	1	0.5	0.25	1
ERR1041437	1	1	1	0.25	0.5	1	1	0.5	0.25	1
ERR1041438	1	1	1	0.25	0.5	1	1	0.5	0.25	1
ERR1041439	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041440	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041441	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041442	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041443	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041444	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041445	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041446	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041447	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041448	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041449	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041450	1	1	1	0.25	0.5	1	1	0.25	0.25	1
ERR1041451	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041452	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041453	1	1	1	0.5	1	1	1	0.25	0.5	1
ERR1041454	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041455	1	1	1	0.25	1	1	1	0.5	1	1
ERR1041456	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041457	1	1	1	0.5	1	1	1	0.25	0.5	1
ERR1041458	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041459	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041460	1	1	1	0.5	1	1	1	0.25	0.5	1
ERR1041461	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041462	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041463	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041464	1	1	1	0.5	1	1	1	0.25	0.5	1
ERR1041465	1	1	1	0.5	1	1	1	0.25	0.5	1
ERR1041466	1	1	1	0.5	1	1	1	0.25	0.5	1
ERR1041467	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1041468	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041469	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041470	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041471	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041472	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041473	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041474	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041475	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041476	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041477	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041478	1	1	1	0.5	1	1	1	0.5	0.5	1
ERR1041479	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041480	1	1	1	0.5	1	1	1	0.25	0.5	1
ERR1041481	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041482	1	1	1	0.5	1	1	1	0.25	0.5	1
ERR1041483	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041484	1	1	1	0.5	1	1	1	0.25	0.5	1
ERR1041485	1	1	1	0.5	1	1	1	0.25	0.5	1
ERR1041486	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041487	1	1	1	0.5	1	1	1	0.25	0.5	1
ERR1041488	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041489	1	1	1	0.5	1	1	1	0.5	0.5	1
ERR1041490	1	1	1	0.5	1	1	1	0.25	0.5	1
ERR1041491	1	1	1	0.5	1	1	1	0.25	0.5	1
ERR1041492	1	1	1	0.5	1	1	1	0.25	0.5	1
ERR1041493	1	1	1	0.5	1	1	1	0.5	0.5	1
ERR1041494	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041495	1	1	1	0.5	1	1	1	0.25	0.5	1
ERR1041496	1	1	1	0.5	1	1	1	0.25	0.5	1
ERR1041497	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041498	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041499	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041500	1	1	1	0.25	0.5	1	1	0.25	0.25	1
ERR1041501	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041502	1	1	1	0.5	1	1	1	0.25	0.5	1
ERR1041503	1	1	1	0.25	0.5	1	1	0.25	0.25	1
ERR1041504	1	1	1	0.5	1	1	1	0.5	0.5	1
ERR1041505	1	1	1	0.5	1	1	1	0.25	0.5	1
ERR1041506	1	1	1	0.5	1	1	1	0.25	0.5	1
ERR1041507	1	1	1	0.5	1	1	1	0.5	0.5	1
ERR1041508	1	1	1	0.5	1	1	1	0.25	0.5	1
ERR1041509	1	1	1	0.5	1	1	1	0.25	0.5	1
ERR1041510	1	1	1	0.5	1	1	1	0.25	0.5	1
ERR1041511	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041512	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041513	1	1	1	0.25	1	1	1	0.25	1	1
ERR1041514	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041515	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1041516	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041517	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041518	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1041519	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR1041520	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR1041521	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR1041522	1	1	1	0.25	0.5	1	1	0.5	0.5	1
ERR1041523	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041524	1	1	1	0.25	0.5	1	1	0.25	0.25	1
ERR1041525	1	1	1	0.25	0.25	1	1	0.25	0.5	1
ERR1041526	1	1	1	0.25	0.5	1	1	0.5	0.25	1
ERR1041527	1	1	1	0.25	0.25	1	1	0.5	0.25	1
ERR1041528	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041529	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041530	1	1	1	0.25	1	1	1	1	0.5	1
ERR1041531	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041532	1	1	1	0.25	0.5	1	1	0.5	0.25	1
ERR1041533	1	1	1	0.25	0.5	1	1	0.5	0.25	1
ERR1041534	1	1	1	0.25	0.5	1	1	0.5	0.25	1
ERR1041535	1	1	1	0.25	0.5	1	1	0.5	0.25	1
ERR1041536	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041537	1	1	1	0.25	0.5	1	1	0.5	0.25	1
ERR1041538	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041539	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041540	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041541	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041542	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041543	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041544	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041545	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041546	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041547	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041548	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041549	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041550	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041551	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041552	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041553	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041554	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041555	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041556	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041557	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041558	1	1	1	0.25	0.5	1	1	0.25	0.25	1
ERR1041559	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041560	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041561	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041562	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041563	1	1	1	0.25	1	1	1	0.5	1	1
ERR1041564	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041565	1	1	1	0.25	1	1	1	0.5	0.25	1
ERR1041566	1	1	1	0.25	1	1	1	0.5	1	1
ERR1041567	1	1	1	0.25	1	1	1	0.5	1	1
ERR1041568	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041569	1	1	1	0.25	1	1	1	0.5	1	1
ERR1041570	1	1	1	0.25	1	1	1	0.25	1	1
ERR1041571	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041572	1	1	1	0.25	1	1	1	0.25	1	1
ERR1041573	1	1	1	0.25	1	1	1	1	0.5	1
ERR1041574	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041575	1	1	1	0.25	1	1	1	0.5	1	1
ERR1041576	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041577	1	1	1	0.5	1	1	1	0.5	0.5	1
ERR1041578	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041579	1	1	1	0.25	1	1	1	0.5	1	1
ERR1041580	1	1	1	0.25	1	1	1	0.25	1	1
ERR1041581	1	1	1	0.25	1	1	1	0.25	1	1
ERR1041582	1	1	1	0.25	1	1	1	0.25	1	1
ERR1041583	1	1	1	0.25	1	1	1	0.25	1	1
ERR1041584	1	1	1	0.25	1	1	1	0.5	1	1
ERR1041585	1	1	1	0.25	1	1	1	1	1	1
ERR1041586	1	1	1	0.25	0.5	1	1	0.5	0.5	1
ERR1041587	1	1	1	0.25	1	1	1	0.5	1	1
ERR1041588	1	1	1	0.5	1	1	1	0.5	0.5	1
ERR1041589	1	1	1	0.25	1	1	1	0.5	1	1
ERR1041590	1	1	1	0.25	1	1	1	1	1	1
ERR1041591	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041592	1	1	1	0.5	1	1	1	0.5	0.5	1
ERR1041593	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041594	1	1	1	0.25	1	1	1	0.5	1	1
ERR1041595	1	1	1	0.5	1	1	1	0.5	0.5	1
ERR1041596	1	1	1	0.5	1	1	1	0.5	0.5	1
ERR1041597	1	1	1	0.5	1	1	1	0.5	0.5	1
ERR1041598	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041599	1	1	1	0.25	1	1	1	0.5	1	1
ERR1041600	1	1	1	0.25	1	1	1	0.5	1	1
ERR1041601	1	1	1	0.25	1	1	1	0.5	1	1
ERR1041602	1	1	1	0.25	1	1	1	0.5	1	1
ERR1041603	1	1	1	0.25	1	1	1	0.25	1	1
ERR1041604	1	1	1	0.25	1	1	1	1	1	1
ERR1041605	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041606	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041607	1	1	1	0.5	1	1	1	0.5	0.5	1
ERR1041608	1	1	1	0.5	1	1	1	0.5	0.5	1
ERR1041609	1	1	1	0.25	1	1	1	0.5	1	1
ERR1041610	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041611	1	1	1	0.25	1	1	1	0.5	1	1
ERR1041612	1	1	1	0.5	1	1	1	0.5	0.5	1
ERR1041613	1	1	1	0.5	0.5	1	1	0.5	0.5	1
ERR1041614	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1041615	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1041616	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1041617	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041618	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041619	1	1	1	0.25	1	1	1	0.5	0.25	1
ERR1041620	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR1041621	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR1041622	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR1041623	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1041624	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1041625	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR1041626	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR1041627	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR1041628	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR1041629	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR1041630	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR1041631	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR1041632	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR1041633	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR1041634	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR1041635	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR1041636	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR1041637	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR1041638	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR1041639	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR1041640	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR1041641	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR1041642	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR1041643	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR1041644	1	1	1	0.25	0.25	1	1	0.25	0.25	1
