Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
ERR1041403	0.30042112387129577	0.4455518082744931
ERR1041404	0.6400139932001793	1.0179615842926326
ERR1041405	1.205975415089271	2.3694264712758866
ERR1041406	0.4479990243185731	0.8471116617053839
ERR1041407	0.7762118896074716	1.4263349782921662
ERR1041408	0.39628146172766276	0.7406587372349277
ERR1041409	0.35971500948778096	0.6545493424123123
ERR1041410	0.25591358696887545	0.4059055249420416
ERR1041411	0.4797128281442401	0.9613232676701536
ERR1041412	0.7707259221212179	1.4492942356521235
ERR1041413	0.3728374444833826	0.7137148394756228
ERR1041414	0.4725514769644448	1.1783775930895048
ERR1041415	0.575004719785458	0.9549562437777983
ERR1041416	1.0080012868424406	2.256324446162033
ERR1041417	0.8466275993327185	1.672364330894411
ERR1041418	0.6665858313136488	1.3270370508960492
ERR1041419	0.6163842743071204	1.1381659199506362
ERR1041420	0.4853296596932716	0.9718127703258356
ERR1041421	0.88782215228872	1.73801976468681
ERR1041422	0.36838591138298016	0.6076359316971613
ERR1041423	0.3805791125908181	0.6047523116690693
ERR1041424	0.88779262199753	1.2571474972552856
ERR1041425	0.6456279084353412	0.912932621468944
ERR1041426	0.5533650008926209	0.7866693635127514
ERR1041427	0.6819330914320534	1.0013078621341311
ERR1041428	0.5813723300499921	0.8135767182686492
ERR1041429	0.32604014970764905	0.6439364983268714
ERR1041430	0.36539162793770397	0.7421922367643868
ERR1041431	0.5120869768522893	1.032381138922817
ERR1041432	0.3167930474541592	0.6189841719933327
ERR1041433	0.9206217571217163	1.5885619647388858
ERR1041434	0.7443893532705927	1.4993841233444631
ERR1041435	0.42095580824259876	1.1060201071687288
ERR1041436	1.5459405798034989	5.156090740649523
ERR1041437	1.1528491967985608	3.76353186242411
ERR1041438	1.5939955585924155	4.439806115476599
ERR1041439	0.7390929704980149	1.6589257394950179
ERR1041440	0.14935099889933812	0.22545816053170786
ERR1041441	0.6525514607402823	0.9251481520243778
ERR1041442	0.6471864610471061	1.0047754324112856
ERR1041443	0.5396325678548155	1.1662313239189568
ERR1041444	0.37525217168342867	0.783417836863854
ERR1041445	0.40060233758383873	0.8434379433350279
ERR1041446	0.307501277387303	0.9794954404831604
ERR1041447	0.6915248280103995	1.4744845480718038
ERR1041448	0.35880492682458526	0.9689305103153547
ERR1041449	0.33829911387235506	0.7911993507966459
ERR1041450	1.0491528642910382	2.1970110452153357
ERR1041451	0.34964054413363177	0.833764708487038
ERR1041452	0.2090548150792917	0.27628389658056174
ERR1041453	0.3199410017829442	0.5186926582822138
ERR1041454	0.357364226778698	0.5683169066189242
ERR1041455	0	0
ERR1041456	0.16914000258386805	0.2685672451660135
ERR1041457	0.47284897784923163	0.9246113718421959
ERR1041458	0.22462025609941905	0.35302768338003543
ERR1041459	0.7306251567235036	1.4353196030609194
ERR1041460	0.26648591196995486	0.43696109768894875
ERR1041461	0.2267735400680134	0.370739140517779
ERR1041462	0.4215005695953643	0.8152038043294655
ERR1041463	0.5015063750744463	0.9505460658266293
ERR1041464	0.5800410622085337	1.1270289224044234
ERR1041465	0.2451679650506534	0.39821497173401443
ERR1041466	0.3471376102399437	0.6789974121562676
ERR1041467	0.6904122034548426	3.613956816312581
ERR1041468	0.6862933674903978	0.7976047071988092
ERR1041469	0.6102196082770941	0.8156054617695572
ERR1041470	0.6041701285977059	0.850443427793361
ERR1041471	0.7848853989479938	1.0970899346618812
ERR1041472	0.6561334406359772	1.5859229279856963
ERR1041473	0.7986131338395329	1.0816962340943492
ERR1041474	0.6988227173690076	0.9284510431162092
ERR1041475	0.6741277138190038	1.1122783173499822
ERR1041476	0.6941609993894358	0.9933000856476584
ERR1041477	0.23069163492836783	0.38113157134777575
ERR1041478	0.2138387327326085	0.36493918063340397
ERR1041479	0.21743366950082235	0.35678945768002435
ERR1041480	0.4408097820165676	0.9016621382946081
ERR1041481	0.1984434130667619	0.3269689396644056
ERR1041482	0.2571188735574887	0.40726151939272787
ERR1041483	0.14575016965246676	0.24755126446612982
ERR1041484	0.27860036815657874	0.4444925868306693
ERR1041485	0.43617866195580135	0.8668665845719506
ERR1041486	0.8878918562595811	3.223604212374873
ERR1041487	0.2263351303618561	0.3776540198268619
ERR1041488	0.4680270526288581	0.9207351284285237
ERR1041489	0.6214740092603035	1.429897745660215
ERR1041490	0.5064422224185539	0.9349265266425029
ERR1041491	0.6036381338131814	1.3357468145457938
ERR1041492	0.6430855753895774	1.2396917250815904
ERR1041493	0.4950771016323331	1.0611688646241038
ERR1041494	0.6260388598192079	1.2371433900472988
ERR1041495	0.5071358113725969	1.0117385512619164
ERR1041496	0.4606785147281134	0.8827933763021905
ERR1041497	0.7265130741868043	1.7566090280373934
ERR1041498	0.6883840990056251	1.4063056106798406
ERR1041499	0.5992271340886414	1.213509959923233
ERR1041500	1.25102413561525	3.425858119134583
ERR1041501	0.7270768598939671	1.6929658816357986
ERR1041502	0.5554615858337798	1.1511408910646064
ERR1041503	1.1895410083748312	3.3744194577657907
ERR1041504	0.530910588271965	1.060410314712418
ERR1041505	0.5690100134653738	1.1803908943030175
ERR1041506	0.5733494415329398	1.1961429016182055
ERR1041507	0.48048397582392	0.9363404864172787
ERR1041508	0.4719997340193161	0.9528654908361667
ERR1041509	0.5275745168184649	0.9906148997702529
ERR1041510	0.46982293171418005	0.896788781299876
ERR1041511	0.1804425768148348	0.3835151702070242
ERR1041512	0.3228716401853584	0.3989247048922324
ERR1041513	0	0
ERR1041514	0.3198223676140875	0.5167664405793881
ERR1041515	0.8679242761171713	1.6489207959996186
ERR1041516	0.32915385112561923	0.41752220254829486
ERR1041517	0.18555441077410434	0.3122762862754763
ERR1041518	0.6839707902537777	2.196181376284045
ERR1041519	1.953277961718383	19.378034663181104
ERR1041520	2.2929321058691046	20.925138432007017
ERR1041521	2.1358860607166053	13.884478632970499
ERR1041522	0.605826662128043	1.5489430557834387
ERR1041523	0.312316909869504	0.7288360181120874
ERR1041524	1.1828371134900417	4.232653547051568
ERR1041525	0.9584107113228734	3.94653363057762
ERR1041526	1.8634200191434511	5.554995805525318
ERR1041527	3.1147087179389277	8.501255238113416
ERR1041528	0.40983691560387686	0.791584950641496
ERR1041529	0.41447306517274757	0.9206052793827451
ERR1041530	0.4737694937030485	0.856572368200275
ERR1041531	0.2782569491323572	0.5223355962913655
ERR1041532	1.12565979010481	3.115057309775322
ERR1041533	1.4409750875737108	5.459725347865453
ERR1041534	1.41036738989424	4.627111695610495
ERR1041535	1.242952921918906	3.57195543213621
ERR1041536	0.6851547021406545	1.6811847338706076
ERR1041537	1.087728946231337	2.8563980469648733
ERR1041538	0.5078642606893407	0.9472371518960165
ERR1041539	0.4051007384769963	0.7635051893542637
ERR1041540	0.6256035870315014	1.2812140722005059
ERR1041541	0.42568707055731114	0.8253678996166626
ERR1041542	0.5797706671742899	1.135367756201231
ERR1041543	0.5199836924263268	1.030895328942237
ERR1041544	0.5585380605829567	1.0871343387968957
ERR1041545	0.5661670860226816	1.0890858038872477
ERR1041546	0.30919030022851673	0.7202748514115247
ERR1041547	0.5847898334551401	1.0014159304493084
ERR1041548	0.4575731920392686	1.0029309891609688
ERR1041549	0.5138533506367734	1.1237518866248886
ERR1041550	0.255976002119785	0.38556320311165304
ERR1041551	0.34924564434315014	0.6335887120758963
ERR1041552	0.36999803451533586	0.6793332553473356
ERR1041553	0.3938750929940783	0.7410638046490331
ERR1041554	0.4701088946450379	1.0131905643458219
ERR1041555	0.41751589422392293	0.8342976300264919
ERR1041556	0.29916444284584004	0.43329003576572817
ERR1041557	0.3554593951341813	0.6504341542847931
ERR1041558	1.874850796106647	6.30093707599653
ERR1041559	0.22496676764370732	0.3424963229292402
ERR1041560	0.24816447756788665	0.39076335596221967
ERR1041561	0.2963651120739578	0.6076232215601882
ERR1041562	0.10535194962870938	0.10205786298481899
ERR1041563	0	0
ERR1041564	0.5398223205142906	1.141068274052043
ERR1041565	1.045415996573662	2.364541940022067
ERR1041566	0	0
ERR1041567	0	0
ERR1041568	0.12961955375572295	0.11431716804145156
ERR1041569	0	0
ERR1041570	0	0
ERR1041571	0.23352191903720657	0.39550691859942855
ERR1041572	0	0
ERR1041573	0.10867517714053875	0.20865634010983436
ERR1041574	0.1650981546871117	0.2678339445445829
ERR1041575	0	0
ERR1041576	0.15471904078596393	0.24141990361299653
ERR1041577	0.16093017164188472	0.2428033540521457
ERR1041578	0.10288729382111658	0.10149020073165574
ERR1041579	0	0
ERR1041580	0	0
ERR1041581	0	0
ERR1041582	0	0
ERR1041583	0	0
ERR1041584	0	0
ERR1041585	0	0
ERR1041586	0.8772465509414415	4.458631530697008
ERR1041587	0	0
ERR1041588	0.13952702463426012	0.5270458820303561
ERR1041589	0	0
ERR1041590	0	0
ERR1041591	0.11195424953782354	0
ERR1041592	0.3165946538215046	0.5873353869053772
