Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
ERR1041403	(1, 31.890915600364618)	(2, 32.12141170403783)	(3, 32.16639695417829)	(4, 35.82402798263694)	(5, 35.70894973228438)	(6, 35.802200497706565)	(7, 35.761569775254884)	(8, 35.74431073954921)	(9, 37.40947739191397)	(10, 37.21372866249051)	(11, 37.344700453181744)	(12, 37.19503127261659)	(13, 37.22449557423259)	(14, 38.39743605830647)	(15, 38.39708410981926)	(16, 38.328970642760346)	(17, 38.256959836990575)	(18, 38.17962770771639)	(19, 38.182133645708696)	(20, 38.08993143986801)	(21, 38.0206121596482)	(22, 37.90256329405974)	(23, 37.81881716164777)	(24, 37.714031228901305)	(25, 37.60239231873945)	(26, 37.74756044447107)	(27, 37.7258066278842)	(28, 37.718559201014195)	(29, 37.662033723910476)	(30, 37.64409649419639)	(31, 37.53675463422453)	(32, 37.46627750622133)	(33, 37.39630593734467)	(34, 37.29845940064731)	(35, 37.206757087137504)	(36, 37.12558226325342)	(37, 37.15052547386555)	(38, 37.10537001746992)	(39, 37.10730340671564)	(40, 37.01802182687777)	(41, 36.92282654100412)	(42, 36.829207636250004)	(43, 36.43691642124045)
ERR1041404	(1, 31.240686541383795)	(2, 31.452393165196288)	(3, 31.40153531643217)	(4, 35.1857094443169)	(5, 34.93779191674046)	(6, 35.19165305609305)	(7, 35.193328741814526)	(8, 35.19774622019612)	(9, 36.8128387611645)	(10, 36.461668470477626)	(11, 36.70212718507101)	(12, 36.47852940211866)	(13, 36.57648923726127)	(14, 37.51845812425525)	(15, 37.52689427481333)	(16, 37.41364468203732)	(17, 37.34797940375849)	(18, 37.2765812862812)	(19, 37.29329441474533)	(20, 37.18674100554262)	(21, 37.117350475003555)	(22, 36.98809572223497)	(23, 36.88608616750298)	(24, 36.76446514271971)	(25, 36.632601969980215)	(26, 36.76168836705913)	(27, 36.70678779530572)	(28, 36.67127217867567)	(29, 36.58854656565325)	(30, 36.54815694248576)	(31, 36.40593836432608)	(32, 36.293673543012694)	(33, 36.206645458222646)	(34, 36.104613601827864)	(35, 35.968861194013535)	(36, 35.862983394006974)	(37, 35.87182272364523)	(38, 35.79595990073574)	(39, 35.78321559367245)	(40, 35.66846479288971)	(41, 35.54891170072043)	(42, 35.42184469734239)	(43, 34.98229554076066)
ERR1041405	(1, 32.37872461764293)	(2, 32.54544302625269)	(3, 32.58183683592364)	(4, 36.091300660420345)	(5, 36.05045545440459)	(6, 36.114380073147764)	(7, 36.06316765214744)	(8, 36.052642369041386)	(9, 37.77015006385989)	(10, 37.674492811292886)	(11, 37.75208298759752)	(12, 37.650742800978115)	(13, 37.6596164372509)	(14, 38.910691878104174)	(15, 38.933085839975284)	(16, 38.87753461407632)	(17, 38.886372125732)	(18, 38.8655692973762)	(19, 38.89459148467592)	(20, 38.836077123306886)	(21, 38.77943170659476)	(22, 38.67392600321454)	(23, 38.60389779117221)	(24, 38.51973311793037)	(25, 38.42862298277479)	(26, 38.52711886007579)	(27, 38.48876038468133)	(28, 38.47247148309891)	(29, 38.38561231684407)	(30, 38.32560437676325)	(31, 38.18950644054246)	(32, 38.09446734068723)	(33, 38.00139712415041)	(34, 37.908304352649616)	(35, 37.79941467117888)	(36, 37.702264573394864)	(37, 37.66154497835732)	(38, 37.569476532293486)	(39, 37.52466256948717)	(40, 37.39512079283449)	(41, 37.24738156122527)	(42, 37.093399188938164)	(43, 36.70907287178787)
ERR1041406	(1, 32.28683765238116)	(2, 32.47883244001595)	(3, 32.530230674580984)	(4, 36.06863431816177)	(5, 36.002469693611886)	(6, 36.05768389026776)	(7, 36.01065432658849)	(8, 35.996591867834454)	(9, 37.704626158289166)	(10, 37.58140013149599)	(11, 37.66736364043766)	(12, 37.553842042333685)	(13, 37.56577203964688)	(14, 38.8425498189935)	(15, 38.85012792517702)	(16, 38.79761117662719)	(17, 38.753616702487356)	(18, 38.69541591387974)	(19, 38.70406505961622)	(20, 38.62425399148448)	(21, 38.56248402597915)	(22, 38.45928095471083)	(23, 38.38431248325861)	(24, 38.29889042839741)	(25, 38.20571960495543)	(26, 38.34172996420387)	(27, 38.32498847414925)	(28, 38.32751382743985)	(29, 38.27527148929134)	(30, 38.250811106807035)	(31, 38.151281574334014)	(32, 38.08431336317265)	(33, 38.0155499227415)	(34, 37.930694082332536)	(35, 37.84374466040536)	(36, 37.77320256582934)	(37, 37.78851286546872)	(38, 37.74194351729471)	(39, 37.735789848697756)	(40, 37.65169257604248)	(41, 37.561558274558145)	(42, 37.46868600799576)	(43, 37.115684549589396)
ERR1041407	(1, 31.29307443099544)	(2, 31.500281339570776)	(3, 31.452000867725925)	(4, 35.209030475726124)	(5, 34.97505329926768)	(6, 35.23245697770389)	(7, 35.23713590022998)	(8, 35.24812219997894)	(9, 36.860623831161014)	(10, 36.5376854459956)	(11, 36.76393658887204)	(12, 36.54867216534123)	(13, 36.64323079369648)	(14, 37.61221756423291)	(15, 37.62596690808861)	(16, 37.51657931363215)	(17, 37.464694925943284)	(18, 37.406003840987964)	(19, 37.428148055526066)	(20, 37.33659206097914)	(21, 37.272776861425264)	(22, 37.15838054145594)	(23, 37.060672000859334)	(24, 36.94830988557179)	(25, 36.83069358071634)	(26, 36.929191802255836)	(27, 36.87907349697324)	(28, 36.85800093234381)	(29, 36.768161507795476)	(30, 36.7223616914949)	(31, 36.585664227830925)	(32, 36.480105033439756)	(33, 36.391739652011694)	(34, 36.293027855764485)	(35, 36.16545913736798)	(36, 36.06438459224224)	(37, 36.0758089509202)	(38, 36.01562578018757)	(39, 36.00027903178906)	(40, 35.893075018430785)	(41, 35.78055807197006)	(42, 35.66637196993506)	(43, 35.23745437410652)
ERR1041408	(1, 31.672581030290317)	(2, 31.90764710442308)	(3, 31.94333162134211)	(4, 35.65336766649201)	(5, 35.50788220290492)	(6, 35.636971958517094)	(7, 35.61144298045141)	(8, 35.6018248910388)	(9, 37.25188982312391)	(10, 37.01177488724062)	(11, 37.17181711578134)	(12, 37.00061159827819)	(13, 37.05219559633684)	(14, 38.168558974381575)	(15, 38.16789059779778)	(16, 38.097462424558096)	(17, 38.028882787021466)	(18, 37.956018591135795)	(19, 37.963842330534256)	(20, 37.875824290070256)	(21, 37.80604064134078)	(22, 37.69466442076924)	(23, 37.610066041725055)	(24, 37.508512986546656)	(25, 37.40240470383632)	(26, 37.52848494998972)	(27, 37.50055909779013)	(28, 37.490523337828066)	(29, 37.42412797985641)	(30, 37.40654614974384)	(31, 37.29618467934646)	(32, 37.21660923588586)	(33, 37.14439241638876)	(34, 37.051569997928496)	(35, 36.94886270979779)	(36, 36.87201936580966)	(37, 36.90899189470243)	(38, 36.86942830468535)	(39, 36.87197969877424)	(40, 36.78558904380926)	(41, 36.692088656083435)	(42, 36.60438535928612)	(43, 36.20409104543898)
ERR1041409	(1, 32.29255985487777)	(2, 32.48166624937275)	(3, 32.534145674764254)	(4, 36.0700600631767)	(5, 36.003940869417775)	(6, 36.06223011194266)	(7, 36.01516123798261)	(8, 35.99237699035101)	(9, 37.70766734234173)	(10, 37.57687086364805)	(11, 37.6689556925746)	(12, 37.55678145068348)	(13, 37.56403526485077)	(14, 38.84378019420768)	(15, 38.847675749474135)	(16, 38.79264870820213)	(17, 38.74799672819298)	(18, 38.68256204958621)	(19, 38.69448551836987)	(20, 38.61279913865525)	(21, 38.54434490876716)	(22, 38.44052183526072)	(23, 38.36690492443709)	(24, 38.28023315279368)	(25, 38.189309159660546)	(26, 38.33443597768205)	(27, 38.31846221729033)	(28, 38.3210858440053)	(29, 38.270061691980295)	(30, 38.246358005600996)	(31, 38.15868598149303)	(32, 38.08946725801982)	(33, 38.02581048118408)	(34, 37.947294630314836)	(35, 37.85649488566112)	(36, 37.79020487634562)	(37, 37.80865567112868)	(38, 37.75657613790203)	(39, 37.75708733164592)	(40, 37.670488438522376)	(41, 37.58188402876634)	(42, 37.491985137793655)	(43, 37.14575077509125)
ERR1041410	(1, 32.44336898824006)	(2, 32.62043786471643)	(3, 32.663048703776916)	(4, 36.16288066522024)	(5, 36.10355370743829)	(6, 36.14765873004914)	(7, 36.10107487317975)	(8, 36.08100456890675)	(9, 37.82187020752868)	(10, 37.71151731168901)	(11, 37.79122367121546)	(12, 37.68588304049092)	(13, 37.69438067169961)	(14, 39.025763752235115)	(15, 39.03239267147952)	(16, 38.98352956596979)	(17, 38.93664882682108)	(18, 38.86869741226996)	(19, 38.871872512482334)	(20, 38.79868481681354)	(21, 38.734457442589125)	(22, 38.631966563088916)	(23, 38.548458304663036)	(24, 38.4667677730515)	(25, 38.3834834244091)	(26, 38.528147095556584)	(27, 38.51857006623608)	(28, 38.525352896901865)	(29, 38.47842584624196)	(30, 38.45314485964532)	(31, 38.3745392482622)	(32, 38.307966238483466)	(33, 38.24129072730954)	(34, 38.16244941582702)	(35, 38.07762627162806)	(36, 38.023024575054706)	(37, 38.03665088747089)	(38, 37.98513655416439)	(39, 37.98701811863522)	(40, 37.90683154272779)	(41, 37.82935960739735)	(42, 37.73920660308677)	(43, 37.42364325860539)
ERR1041411	(1, 32.432224187803605)	(2, 32.6059681542525)	(3, 32.65123018067674)	(4, 36.152760878910335)	(5, 36.102959150169724)	(6, 36.15114158386464)	(7, 36.10775203379413)	(8, 36.092130863608766)	(9, 37.82712011255832)	(10, 37.72013894177371)	(11, 37.795722384448574)	(12, 37.700461377574314)	(13, 37.705164207886654)	(14, 39.03370782028122)	(15, 39.042646984774585)	(16, 38.99472181058759)	(17, 38.965628848020884)	(18, 38.91095600080066)	(19, 38.92559607261027)	(20, 38.86087795320973)	(21, 38.799033882766736)	(22, 38.696766611694194)	(23, 38.6271370079579)	(24, 38.55246891308898)	(25, 38.480501585296174)	(26, 38.6023303999424)	(27, 38.58706311763401)	(28, 38.59091160668176)	(29, 38.538187140270516)	(30, 38.51157355678539)	(31, 38.42127430430279)	(32, 38.348195542194595)	(33, 38.27823452229506)	(34, 38.19487836352658)	(35, 38.11770209249108)	(36, 38.05801081222345)	(37, 38.07794588561648)	(38, 38.03321918535044)	(39, 38.02910278353789)	(40, 37.946425104066925)	(41, 37.87058648259836)	(42, 37.7834987709221)	(43, 37.46359070519983)
ERR1041412	(1, 32.42527616997461)	(2, 32.59108218411412)	(3, 32.62973114085244)	(4, 36.13576817591534)	(5, 36.09504090307794)	(6, 36.15004639679802)	(7, 36.105987609753264)	(8, 36.08838559736786)	(9, 37.82380876523947)	(10, 37.72081317354098)	(11, 37.79534863014362)	(12, 37.699490937481826)	(13, 37.70366134940787)	(14, 39.00382682728277)	(15, 39.015457523307425)	(16, 38.96950849073518)	(17, 38.96069446194251)	(18, 38.92420755964957)	(19, 38.9481649036691)	(20, 38.88484417702014)	(21, 38.82464599727676)	(22, 38.7224794606342)	(23, 38.6569788113213)	(24, 38.58339915298587)	(25, 38.51384741510476)	(26, 38.627586803200046)	(27, 38.60559829458454)	(28, 38.6071534353013)	(29, 38.54704005388328)	(30, 38.503154194852016)	(31, 38.40082881277499)	(32, 38.31851931826992)	(33, 38.24094550738472)	(34, 38.15976958477894)	(35, 38.077751130240536)	(36, 38.01234587904367)	(37, 38.02145458201694)	(38, 37.96917565730816)	(39, 37.95887054081949)	(40, 37.868083636588295)	(41, 37.78109872584459)	(42, 37.682208887349056)	(43, 37.35234673308395)
