Sample	Uniquely mapped	Mapped to multiple loci	Mapped to too many loci	Unmapped: too short	Unmapped: other
ERR1041403	3611622	1113928	44115	119535	51864
ERR1041404	1654133	522518	19731	71943	18500
ERR1041405	3712422	1321615	51393	324246	43669
ERR1041406	3578927	1047990	41281	176183	42460
ERR1041407	1769870	499840	17357	79986	16188
ERR1041408	2959938	770665	27348	76393	22763
ERR1041409	3386385	1160244	45612	149090	47460
ERR1041410	6355991	2543823	126901	340729	47062
ERR1041411	8976195	2489026	106543	356835	86506
ERR1041412	4673783	1506795	67100	287492	68734
ERR1041413	6901585	1645191	67090	281094	53712
ERR1041414	4114830	797054	24002	601537	10544
ERR1041415	6768442	1261724	41795	437184	18785
ERR1041416	5521889	1900594	45235	421841	18169
ERR1041417	4674653	1735701	70700	294242	74587
ERR1041418	3842307	1404391	52271	210726	48929
ERR1041419	3306910	1265956	50156	160429	55738
ERR1041420	9352397	3216292	98896	433789	76473
ERR1041421	7069622	2106366	91098	267189	39264
ERR1041422	5754784	1503981	73367	169638	42221
ERR1041423	5948949	1525845	56144	177610	34126
ERR1041424	11626447	5540423	371493	1170374	576510
ERR1041425	6246273	1912823	87822	248628	82305
ERR1041426	6191129	1810942	73536	207500	57500
ERR1041427	5836825	1900807	90070	257787	88920
ERR1041428	4975833	1380236	58247	149535	53595
ERR1041429	3807205	1134625	57066	154988	52530
ERR1041430	3361958	1013726	52526	128806	44622
ERR1041431	1948972	772060	38370	119305	21191
ERR1041432	2459287	748099	33594	80418	27476
ERR1041433	551245	200359	8536	57141	5098
ERR1041434	941161	364696	16006	111560	9236
ERR1041435	2692695	918673	44209	213350	25306
ERR1041436	723752	345230	14993	228091	7519
ERR1041437	947584	404534	20024	234007	12623
ERR1041438	112451	49524	2384	21303	1666
ERR1041439	1232584	449235	21699	206964	17151
ERR1041440	1172804	472606	12957	79122	8733
ERR1041441	7438411	2066968	83206	244359	56391
ERR1041442	3964370	1119231	51176	198424	32177
ERR1041443	5318143	2271065	121686	292504	137697
ERR1041444	5117241	2242075	124227	209168	130828
