Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
SRR2977621	0.15709184303995774	0
SRR2977622	0.12819318921832812	0
SRR2977623	0	0
SRR2977624	0	0
SRR2977625	0	0
SRR2977626	0	0
SRR2977627	0	0
SRR2977628	0	0
SRR2977629	0	0
SRR2977630	0	0
SRR2977631	0	0
SRR2977632	0	0
SRR2977633	0	0
SRR2977634	0	0
SRR2977635	0	0
SRR2977636	0	0
SRR2977637	0	0
SRR2977638	0	0
SRR2977639	0	0
SRR2977640	0.722343841214244	0.5209063047285465
SRR2977641	0.4680875178379158	0.4410580309688542
SRR2977642	0.4102322039989042	0.4326769697135015
SRR2977643	0.5734481855975561	0.3782956617030998
SRR2977644	0.501248182049389	0.7209763721977633
SRR2977645	0.36409225555741465	0.48202246094045886
SRR2977646	0.7615436075368016	0.7706548280511933
SRR2977647	0.41678245045662254	0.4839599114386284
SRR2977648	0.41272502880192774	0.4684527281948154
SRR2977649	0.39594294597632634	0.6181939392366227
SRR2977650	0.3879362794300096	0.4021004121118786
SRR2977651	0.4245524052398076	0.7695566657729438
SRR2977652	0.38426252591474575	0.3660696345378335
SRR2977653	0.4205223457734297	0.5063374143007533
SRR2977654	0.3681073873522286	0.6124282485324487
SRR2977655	0.94029211946114	3.052987158759404
SRR2977656	0.4689155042983222	1.0129112379944591
SRR2977657	0.4824095960112314	1.1477133790966312
SRR2977658	1.2640450155744938	3.657719783770748
SRR2977659	0.9122370043947359	2.8585627212122566
SRR2977660	0.6370875103404203	1.720136277919135
SRR2977661	1.3802095112910993	4.421697571843783
SRR2977662	0.898874696231561	2.7418718942884093
SRR2977663	0.9468951565651103	3.021142595916959
SRR2977664	0.4843321025522995	1.208536071159705
SRR2977665	0.7056300786474106	2.1028818749895186
SRR2977666	0.45667521519346654	0.9639376798751629
SRR2977667	1.5290000472582572	5.657145016166705
SRR2977668	0.16843845481100836	0.2883176642591848
SRR2977669	0.16098967119712257	0.12820238644682816
