.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR2977621	1	1	1	1	0.5	1	1	1	0.5	0.5	1
SRR2977622	1	1	1	1	0.5	1	1	1	0.5	0.5	1
SRR2977623	1	1	1	1	0.5	1	1	1	0.5	1	1
SRR2977624	1	1	1	1	0.25	1	1	1	0.5	1	1
SRR2977625	1	1	1	1	0.25	1	1	1	0.5	1	1
SRR2977626	1	1	1	1	0.5	1	1	1	0.25	1	1
SRR2977627	1	1	1	1	0.25	1	1	1	0.25	1	1
SRR2977628	1	1	0.25	1	0.5	1	1	1	0.25	1	1
SRR2977629	1	1	0.5	1	0.5	1	1	1	0.25	1	1
SRR2977630	1	1	0.25	1	0.5	1	1	1	0.5	1	1
SRR2977631	1	1	0.25	1	0.5	1	1	1	0.5	1	1
SRR2977632	1	1	0.25	1	0.5	1	1	1	0.5	1	1
SRR2977633	1	1	0.5	1	0.5	1	1	1	0.25	1	1
SRR2977634	1	1	0.5	1	0.5	1	1	1	0.25	1	1
SRR2977635	1	1	0.5	1	0.25	1	1	1	0.25	1	1
SRR2977636	1	1	0.25	1	0.5	1	1	1	0.5	1	1
SRR2977637	1	1	0.25	1	0.25	1	1	1	0.5	1	1
SRR2977638	1	1	0.5	1	0.5	1	1	1	0.5	1	1
SRR2977639	1	1	0.5	1	0.5	1	1	1	0.25	1	1
SRR2977640	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2977641	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2977642	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2977643	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2977644	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977645	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2977646	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977647	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977648	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977649	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR2977650	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR2977651	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR2977652	1	1	1	1	0.25	1	1	1	0.25	0.5	1
SRR2977653	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR2977654	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR2977655	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977656	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
