Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
SRR2977621	(1, 0.1131795269357461)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 7.978255106143104e-06)	(28, 3.191302042457242e-05)	(29, 1.595651021228621e-05)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0001356303368044328)	(37, 0.0003909345002010122)	(38, 0.00011967382659214657)	(39, 0.00043082577573172763)	(40, 0.0020025420316419195)	(41, 0.0030157804301220938)	(42, 0.003271084593518673)	(43, 0.004619409706456858)	(44, 0.001962650756111204)	(45, 0.0)	(46, 8.776080616757414e-05)	(47, 0.0)	(48, 0.0)	(49, 7.978255106143104e-06)	(50, 1.595651021228621e-05)
SRR2977622	(1, 0.11688877638215507)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 1.6395087507140058e-05)	(29, 1.6395087507140058e-05)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.00018034596257854066)	(37, 0.00040987718767850154)	(38, 0.00020493859383925077)	(39, 0.000565630518996332)	(40, 0.001959212957103237)	(41, 0.0029757083825459212)	(42, 0.003262622413920872)	(43, 0.004566031870738506)	(44, 0.001918225238335387)	(45, 8.197543753570029e-06)	(46, 8.197543753570031e-05)	(47, 0.0)	(48, 0.0)	(49, 1.6395087507140058e-05)	(50, 3.2790175014280116e-05)
SRR2977623	(1, 0.11316286224908058)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 2.537283906930058e-05)	(29, 8.457613023100193e-06)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.00016915226046200388)	(37, 0.00033830452092400775)	(38, 0.00021144032557750484)	(39, 0.0005666600725477129)	(40, 0.0022074369990291508)	(41, 0.003416875661332478)	(42, 0.0038312986994643882)	(43, 0.005159143944091118)	(44, 0.002089030416705748)	(45, 0.0)	(46, 5.920329116170136e-05)	(47, 0.0)	(48, 0.0)	(49, 1.6915226046200387e-05)	(50, 1.6915226046200387e-05)
SRR2977624	(1, 0.11303053478714527)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 8.706711969430386e-06)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.00020896108726632927)	(37, 0.0004005087505937978)	(38, 0.0001306006795414558)	(39, 0.0005136960061963928)	(40, 0.0019067699213052545)	(41, 0.002847094814003736)	(42, 0.0030299357653617745)	(43, 0.004457836528348358)	(44, 0.001845822937519242)	(45, 0.0)	(46, 7.836040772487348e-05)	(47, 0.0)	(48, 0.0)	(49, 1.7413423938860773e-05)	(50, 2.612013590829116e-05)
SRR2977625	(1, 0.03227725355212585)	(2, 0.0)	(3, 0.0022690748129406274)	(4, 0.0)	(5, 0.03692952824256329)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0023664167797679625)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0005102061709570643)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.00029202590048200386)	(27, 0.004152138378117687)	(28, 0.004108502324022675)	(29, 0.008347912810330387)	(30, 0.01138565349925238)	(31, 0.014248849971794326)	(32, 0.01641386957881608)	(33, 0.015708979474204347)	(34, 0.0128122168062047)	(35, 0.0051926904373064365)	(36, 0.006179536583762864)	(37, 0.00571296646690081)	(38, 0.007304004131595866)	(39, 0.0030041744934642925)	(40, 0.005790168716453525)	(41, 0.006391003615146384)	(42, 0.005501499435517291)	(43, 0.009210564033593318)	(44, 0.01641386957881608)	(45, 0.017964627808961894)	(46, 0.019072312259066044)	(47, 0.017125472922519352)	(48, 0.016544777741101115)	(49, 0.009143431642677915)	(50, 0.007471835108884375)
SRR2977626	(1, 0.031961190171506)	(2, 0.0)	(3, 0.002119172376983166)	(4, 0.0)	(5, 0.03707653705323514)	(6, 1.1972725293690204e-05)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0021550905528642367)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0006435339845358484)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0002693863191080296)	(27, 0.00410664477573574)	(28, 0.004385010638814037)	(29, 0.008297098628527311)	(30, 0.011326198127830932)	(31, 0.014038020406851762)	(32, 0.016223042772950225)	(33, 0.015495699711358545)	(34, 0.012712041080575573)	(35, 0.005049496892613844)	(36, 0.006285680779187356)	(37, 0.005770853591558678)	(38, 0.007312341973121292)	(39, 0.0032236562853260875)	(40, 0.005758880866264988)	(41, 0.006366496674919765)	(42, 0.005486501365833536)	(43, 0.00926988255863964)	(44, 0.016178145053098888)	(45, 0.017629837994958823)	(46, 0.01879717871109362)	(47, 0.016788754043077087)	(48, 0.016387667745738466)	(49, 0.009027434871442412)	(50, 0.007530844209731137)
SRR2977627	(1, 0.03215578191359497)	(2, 0.0)	(3, 0.002239451052993589)	(4, 0.0)	(5, 0.03763189504826886)	(6, 5.698348735352644e-06)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.002202411786213797)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0006496117558302014)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0002450289956201637)	(27, 0.003963201545437764)	(28, 0.004057224299571082)	(29, 0.008336684199820917)	(30, 0.011539156189089104)	(31, 0.014382632208030072)	(32, 0.01658504399424387)	(33, 0.016006661597605578)	(34, 0.01306916282453129)	(35, 0.005088625420669911)	(36, 0.006293826178196995)	(37, 0.005726840479029407)	(38, 0.007541764551239224)	(39, 0.0031711310712237463)	(40, 0.005832259930633431)	(41, 0.006470474988992927)	(42, 0.005490359006512273)	(43, 0.009633058537113645)	(44, 0.016590742342979223)	(45, 0.018220470081290078)	(46, 0.01937438570019899)	(47, 0.01725744914501548)	(48, 0.016915548220894323)	(49, 0.009328196879772278)	(50, 0.007783944372491712)
SRR2977628	(1, 0.03968170899076248)	(2, 0.008515027922523634)	(3, 0.005836702750343526)	(4, 0.003924362837983782)	(5, 0.0012801397492888274)	(6, 0.002741282864768083)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0009417421516284611)	(17, 0.007051261569853212)	(18, 0.0007240134647617137)	(19, 0.0)	(20, 4.7218269440981334e-05)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.007552299873365848)	(34, 0.052309972829033824)	(35, 0.04422515580586135)	(36, 0.04304732230702798)	(37, 0.09310918086323286)	(38, 0.10489276232594888)	(39, 0.10426318540006911)	(40, 0.10787538301230419)	(41, 0.12501823805657158)	(42, 0.12643216290260983)	(43, 0.1314582853608832)	(44, 0.11879591943912671)	(45, 0.1010366036549354)	(46, 0.054518738543995277)	(47, 0.02569723152465851)	(48, 0.0010151927929810988)	(49, 1.0492948764662519e-05)	(50, 0.0)
SRR2977629	(1, 0.0357247961164938)	(2, 0.01628563443105302)	(3, 0.0017987628382428362)	(4, 0.002814836150351527)	(5, 0.0028347591564713056)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0015710713397310851)	(17, 0.007434127426408685)	(18, 8.538431194190679e-05)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.011333344338422428)	(34, 0.04910451779779059)	(35, 0.04313900053678271)	(36, 0.04761598462627002)	(37, 0.07541711659455487)	(38, 0.09943856968754464)	(39, 0.10995222463132477)	(40, 0.11631620201472823)	(41, 0.11784742734221976)	(42, 0.12408617440144173)	(43, 0.1398794259669631)	(44, 0.11855042484387479)	(45, 0.10701785044425456)	(46, 0.04959974680705365)	(47, 0.027838131836793012)	(48, 0.004309061609334896)	(49, 0.0)	(50, 0.0)
SRR2977630	(1, 0.03970749549972351)	(2, 0.008459868535824866)	(3, 0.005560570096622674)	(4, 0.003821652218606309)	(5, 0.0013818777053438037)	(6, 0.0026976368601926886)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0008562352289091989)	(17, 0.007081296758005808)	(18, 0.0007008566352461397)	(19, 0.0)	(20, 5.620076792068102e-05)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.007511067336222779)	(34, 0.05208488815237231)	(35, 0.04384982268823017)	(36, 0.04287787999595487)	(37, 0.09302549461882606)	(38, 0.1045268164774172)	(39, 0.10381604205959682)	(40, 0.10723437112018412)	(41, 0.12417394375698232)	(42, 0.12580707195420682)	(43, 0.13093787147261252)	(44, 0.11823649792253861)	(45, 0.1003811833613858)	(46, 0.053942819421279535)	(47, 0.025736645780147158)	(48, 0.0010182256776217502)	(49, 1.983556514847565e-05)	(50, 0.0)
