Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR2977621	(1.0, 49.76778965802617)	(2.0, 14.304088321806347)	(3.0, 6.639853029304851)	(4.0, 3.92665466819666)	(5.0, 2.6475945948405624)	(6.0, 2.003262742356879)	(7.0, 1.543110531938339)	(8.0, 1.3202692691721862)	(9.0, 1.0695518756612712)	('>10', 11.778156672128574)	('>50', 2.739833629229908)	('>100', 1.9555028579823979)	('>500', 0.08996598016908877)	('>1k', 0.0)	('>5k', 0.05712331737109699)	('>10k+', 0.15724285181558784)
SRR2977622	(1.0, 49.68544293927453)	(2.0, 14.500353881125166)	(3.0, 6.58690768831158)	(4.0, 3.922009648242059)	(5.0, 2.6313255908096544)	(6.0, 1.994451343712663)	(7.0, 1.5637497232408322)	(8.0, 1.2361204954558997)	(9.0, 1.0690014317963963)	('>10', 11.989234864440752)	('>50', 2.693141034312934)	('>100', 1.8903079564683238)	('>500', 0.08086661508260153)	('>1k', 0.02882221032117005)	('>5k', 0.0)	('>10k+', 0.12826457740536631)
SRR2977623	(1.0, 49.130484984327)	(2.0, 14.562749637451327)	(3.0, 6.650426139213285)	(4.0, 3.987929367580026)	(5.0, 2.73984545480209)	(6.0, 1.9624720028376335)	(7.0, 1.5597375258960835)	(8.0, 1.2342662131527737)	(9.0, 1.1614674829700296)	('>10', 12.146289434718268)	('>50', 2.780612842473701)	('>100', 1.903123831172222)	('>500', 0.07511824040786996)	('>1k', 0.032184111763205236)	('>5k', 0.0732927312344921)	('>10k+', 0.0)
SRR2977624	(1.0, 48.88802183394127)	(2.0, 15.04188359277692)	(3.0, 6.574791993622049)	(4.0, 3.9999282184838685)	(5.0, 2.66844717943413)	(6.0, 2.0471904546083066)	(7.0, 1.5882531397496673)	(8.0, 1.3308077646105643)	(9.0, 1.1311847574113845)	('>10', 11.91593027197009)	('>50', 2.701256058639435)	('>100', 1.9649042239849344)	('>500', 0.09230133031305976)	('>1k', 0.05509918045435025)	('>5k', 0.0)	('>10k+', 0.0)
SRR2977625	(1.0, 36.010708473801635)	(2.0, 15.701187343859822)	(3.0, 8.099927399046315)	(4.0, 5.221746374978726)	(5.0, 3.6236269881005208)	(6.0, 2.7723111221523715)	(7.0, 2.118031286111589)	(8.0, 1.8937187264537823)	(9.0, 1.4610365806669035)	('>10', 14.760095926303215)	('>50', 3.8520518213112593)	('>100', 4.079043569176488)	('>500', 0.29510078222198083)	('>1k', 0.07551839983144111)	('>5k', 0.0)	('>10k+', 0.035895205983975546)
SRR2977626	(1.0, 31.842627732874405)	(2.0, 15.495480563145167)	(3.0, 8.404375558552852)	(4.0, 5.3579014873937885)	(5.0, 3.795930109533156)	(6.0, 2.9140398831024297)	(7.0, 2.304200787069249)	(8.0, 1.8841336121209713)	(9.0, 1.6763752651574482)	('>10', 16.288994080090838)	('>50', 4.384544026269441)	('>100', 5.0756119630463035)	('>500', 0.4034738037958606)	('>1k', 0.13062683785209256)	('>5k', 0.0)	('>10k+', 0.04168428999590152)
SRR2977627	(1.0, 33.888261743714246)	(2.0, 15.076315615345894)	(3.0, 8.047235684990927)	(4.0, 5.046060003263502)	(5.0, 3.7061962301467917)	(6.0, 2.790579936632548)	(7.0, 2.1833342545970646)	(8.0, 1.8740290760281861)	(9.0, 1.4949219268781673)	('>10', 15.677822779303554)	('>50', 4.3165319055565154)	('>100', 5.240118966909236)	('>500', 0.48777863981988984)	('>1k', 0.15571443514663663)	('>5k', 0.015098801667089736)	('>10k+', 0.0)
SRR2977628	(1.0, 35.33621313328894)	(2.0, 14.093324046926012)	(3.0, 7.62064842989763)	(4.0, 4.799065311409403)	(5.0, 3.4245430077117445)	(6.0, 2.635763175592148)	(7.0, 2.0918393042434555)	(8.0, 1.6671810468896375)	(9.0, 1.4978248978171476)	('>10', 15.374269161795146)	('>50', 4.1118825507451975)	('>100', 5.324831654725188)	('>500', 1.0934063301445103)	('>1k', 0.9292079488140386)	('>5k', 0.0)	('>10k+', 0.0)
SRR2977629	(1.0, 35.372429391952124)	(2.0, 13.396723355730858)	(3.0, 7.062815279755891)	(4.0, 4.60970343730944)	(5.0, 3.2310410883205694)	(6.0, 2.5458954495316446)	(7.0, 1.9567221624292772)	(8.0, 1.7084312183971235)	(9.0, 1.3745675700905169)	('>10', 15.359217796516075)	('>50', 4.342198653504525)	('>100', 5.964436110737872)	('>500', 1.5009487142106985)	('>1k', 1.5431292938986934)	('>5k', 0.03174047761470191)	('>10k+', 0.0)
SRR2977630	(1.0, 36.86215803896326)	(2.0, 16.270808862603243)	(3.0, 8.488295811815018)	(4.0, 5.314160534507458)	(5.0, 3.6272243767533645)	(6.0, 2.820461486432197)	(7.0, 2.2135377723480865)	(8.0, 1.795596238339649)	(9.0, 1.480346161322949)	('>10', 14.348949750221212)	('>50', 3.0240140168775826)	('>100', 3.3533659674909946)	('>500', 0.3355364198626295)	('>1k', 0.06554456246230528)	('>5k', 0.0)	('>10k+', 0.0)
SRR2977631	(1.0, 38.010234171029694)	(2.0, 15.420606483020974)	(3.0, 8.07528900582902)	(4.0, 5.218899420147567)	(5.0, 3.7091605632014266)	(6.0, 2.683984862087572)	(7.0, 2.1122214071229393)	(8.0, 1.806374493442239)	(9.0, 1.4599300932988895)	('>10', 14.241074007450502)	('>50', 3.098008654064081)	('>100', 3.5924991198099825)	('>500', 0.450512462287411)	('>1k', 0.12120525720777646)	('>5k', 0.0)	('>10k+', 0.0)
