Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39
SRR2977640 - illumina_small_rna_3'_adapter	(1, 0.002736427320490368)	(2, 0.00642148277875073)	(3, 0.010252481027437244)	(4, 0.018498248686514885)	(5, 0.033238470519556335)	(6, 0.08249416228838295)	(7, 0.6438995913601868)	(8, 0.6678342089900758)	(9, 0.6828663164039697)	(10, 0.6960376532399299)	(11, 0.7099751897256276)	(12, 0.7216506129597198)	(13, 0.7325963222416813)	(14, 0.7440893169877408)	(15, 0.7529553415061296)	(16, 0.7579903677758318)	(17, 0.7644848219497957)	(18, 0.7688266199649737)	(19, 0.7738251605370695)	(20, 0.7770723876240514)	(21, 0.7802831290134268)	(22, 0.7842965557501459)	(23, 0.7896234676007006)	(24, 0.7947314652656159)	(25, 0.8027218330414477)	(26, 0.8112594862813777)	(27, 0.8261091652072388)	(28, 0.8419074722708698)	(29, 0.8558814944541739)	(30, 0.8760215995329831)	(31, 0.8873686514886164)	(32, 0.893096906012843)	(33, 0.898460303561004)	(34, 0.9022183304144775)	(35, 0.9064141856392294)	(36, 0.9107559836544075)	(37, 0.9161923525977816)	(38, 0.9210084646818447)	(39, 0.926590776415645)	(40, 0.9313704028021016)
SRR2977641 - illumina_small_rna_3'_adapter	(1, 0.004327465496190285)	(2, 0.009135760491957268)	(3, 0.01442488498730095)	(4, 0.024281889728623263)	(5, 0.045575767567019906)	(6, 0.11574252954096238)	(7, 0.8816008874738763)	(8, 0.9128204599821063)	(9, 0.9326375043575174)	(10, 0.9492261220929135)	(11, 0.9661925344351198)	(12, 0.9790032061024132)	(13, 0.9915734630199183)	(14, 1.005105378936577)	(15, 1.0188777096030237)	(16, 1.025506287704331)	(17, 1.0324096255196822)	(18, 1.039141238513756)	(19, 1.0456324367580414)	(20, 1.0504407317538085)	(21, 1.0545964724287213)	(22, 1.0597482170670431)	(23, 1.0643847872415326)	(24, 1.070429500950497)	(25, 1.0801834707990527)	(26, 1.0907617197897401)	(27, 1.1114030433072826)	(28, 1.130292773647796)	(29, 1.14674401152617)	(30, 1.176315025750137)	(31, 1.1927662636285112)	(32, 1.2004595356217382)	(33, 1.205679970188571)	(34, 1.2110377846124256)	(35, 1.2156743547869153)	(36, 1.2209291343180035)	(37, 1.2257717742780259)	(38, 1.2308204840235812)	(39, 1.2371056124823339)	(40, 1.243871570440663)
SRR2977642 - illumina_small_rna_3'_adapter	(1, 0.00385445117952136)	(2, 0.007857150481332004)	(3, 0.013223732508204052)	(4, 0.02114018223845177)	(5, 0.038870657664250026)	(6, 0.10934781500057521)	(7, 0.9202650439229537)	(8, 0.954302812800573)	(9, 0.9730413754579385)	(10, 0.9869173997042153)	(11, 0.9999335848412144)	(12, 1.0101923549036327)	(13, 1.020688321961714)	(14, 1.0307988439018432)	(15, 1.04010882598161)	(16, 1.046928239606917)	(17, 1.0528878141229463)	(18, 1.0576317540362035)	(19, 1.063087284936449)	(20, 1.067416130107296)	(21, 1.071359530160191)	(22, 1.0766668129381474)	(23, 1.0812328551046573)	(24, 1.086243641638035)	(25, 1.09226251540298)	(26, 1.0982220899190092)	(27, 1.1074431231254025)	(28, 1.1167827548296274)	(29, 1.1256183429180686)	(30, 1.138367681434947)	(31, 1.147232919147846)	(32, 1.153429690659538)	(33, 1.1580550320749636)	(34, 1.1625321253681)	(35, 1.1663865765476213)	(36, 1.1699741811070221)	(37, 1.1753407631338941)	(38, 1.1802329511694405)	(39, 1.1859553286898068)	(40, 1.1916184069612574)
SRR2977643 - illumina_small_rna_3'_adapter	(1, 0.004910087540293211)	(2, 0.009757626194722813)	(3, 0.016293984767469825)	(4, 0.0273338631223966)	(5, 0.05138390973695379)	(6, 0.1479281150674324)	(7, 1.2560441770271078)	(8, 1.298264674985043)	(9, 1.3232216804446224)	(10, 1.3410793873586826)	(11, 1.357905037655993)	(12, 1.371165401459078)	(13, 1.383424983088345)	(14, 1.395872211375203)	(15, 1.4074437552599703)	(16, 1.414042662718581)	(17, 1.4206728446201233)	(18, 1.4261771465761208)	(19, 1.4313687041028003)	(20, 1.4354656561268666)	(21, 1.4400942736807736)	(22, 1.4444101468053625)	(23, 1.4491013132451331)	(24, 1.454199047443017)	(25, 1.4617987370754455)	(26, 1.4719629310282818)	(27, 1.489758089056478)	(28, 1.5054891338511756)	(29, 1.5192498887411692)	(30, 1.5417987620949998)	(31, 1.554527460368244)	(32, 1.5612514655985819)	(33, 1.5660990042530114)	(34, 1.570133407391214)	(35, 1.5742303594152804)	(36, 1.5794219169419599)	(37, 1.5838628878382761)	(38, 1.5883976820633876)	(39, 1.594246002891635)	(40, 1.5998754026193598)
SRR2977644 - illumina_small_rna_3'_adapter	(1, 0.0037038043008575544)	(2, 0.008333559676929498)	(3, 0.014105321379099185)	(4, 0.0212042796224095)	(5, 0.03716150315193746)	(6, 0.09065061026348864)	(7, 0.7515944877515192)	(8, 0.7810397319433368)	(9, 0.7961635995051718)	(10, 0.8088491292356089)	(11, 0.8225840701846223)	(12, 0.833695483087195)	(13, 0.8448377610256081)	(14, 0.8564738795374689)	(15, 0.866967991723232)	(16, 0.8726162932820397)	(17, 0.8790362207368595)	(18, 0.8846227922239863)	(19, 0.888851302134132)	(20, 0.8928946218292348)	(21, 0.8973700520261044)	(22, 0.9015985619362501)	(23, 0.9065369676707269)	(24, 0.9113827782976821)	(25, 0.9187595218635568)	(26, 0.9267844311820815)	(27, 0.9422478141381618)	(28, 0.9568161110548682)	(29, 0.9690386652476981)	(30, 0.989687374224979)	(31, 1.0028976095647042)	(32, 1.0096879174496098)	(33, 1.0149349735424913)	(34, 1.0188239680583917)	(35, 1.0225895024309302)	(36, 1.0267254172335545)	(37, 1.0305218166419334)	(38, 1.0359540629498578)	(39, 1.0401208427883226)	(40, 1.0465407702431424)
SRR2977645 - illumina_small_rna_3'_adapter	(1, 0.0037705346853842293)	(2, 0.009628329643034728)	(3, 0.01578911399504646)	(4, 0.025922425962016576)	(5, 0.04581872952507086)	(6, 0.11008614661791455)	(7, 0.8223805472729103)	(8, 0.853184469032969)	(9, 0.8698152202345744)	(10, 0.885436006788309)	(11, 0.8990705295345646)	(12, 0.9114594292151127)	(13, 0.9225017093651665)	(14, 0.935193598440076)	(15, 0.9456298998014073)	(16, 0.953844278937423)	(17, 0.9605773765898947)	(18, 0.9681521114489255)	(19, 0.9741445683596255)	(20, 0.9786557437867817)	(21, 0.9836045705613484)	(22, 0.9878127565941434)	(23, 0.9931992347161208)	(24, 0.9972054278193415)	(25, 1.0055208034201444)	(26, 1.0149808056218672)	(27, 1.030601592175602)	(28, 1.045044086640154)	(29, 1.0590825952455578)	(30, 1.080864166151304)	(31, 1.0948690092684457)	(32, 1.1015347759443928)	(33, 1.106719261136796)	(34, 1.1124087286531348)	(35, 1.1176942103103251)	(36, 1.123215350385352)	(37, 1.1293424692491014)	(38, 1.1356379155541625)	(39, 1.1423036822301096)	(40, 1.1496090931830416)
SRR2977646 - illumina_small_rna_3'_adapter	(1, 0.0037989156721023078)	(2, 0.00735074739805162)	(3, 0.012354197307649781)	(4, 0.0209712499297355)	(5, 0.039904057303708794)	(6, 0.10436208175637152)	(7, 0.7972781232491786)	(8, 0.8272061662269602)	(9, 0.844285844004786)	(10, 0.8571959801912801)	(11, 0.8705076277902727)	(12, 0.8816264053671575)	(13, 0.8918495036392377)	(14, 0.9018255179651649)	(15, 0.9116162193314773)	(16, 0.9186272263035685)	(17, 0.9235380197333594)	(18, 0.9282635002035354)	(19, 0.9332051791265953)	(20, 0.9367261253592755)	(21, 0.9417913462554119)	(22, 0.9475051625101999)	(23, 0.9523232994601833)	(24, 0.9571414364101668)	(25, 0.9640289014091815)	(26, 0.9712869923274258)	(27, 0.9818498310254663)	(28, 0.9925979826831216)	(29, 1.0035005618071227)	(30, 1.0186035680157244)	(31, 1.0292281777003032)	(32, 1.0353126198743208)	(33, 1.0396057034387292)	(34, 1.0439605579896756)	(35, 1.048253641554084)	(36, 1.051743702293495)	(37, 1.0565927247367475)	(38, 1.0621212280319208)	(39, 1.0674644183674793)	(40, 1.0731782346222674)
SRR2977647 - illumina_small_rna_3'_adapter	(1, 0.004154498753846341)	(2, 0.008700931352395167)	(3, 0.014971872867634926)	(4, 0.023006516684035867)	(5, 0.04005563892859396)	(6, 0.10323537469463455)	(7, 0.7951945775168717)	(8, 0.8226691400305159)	(9, 0.8399534225818955)	(10, 0.8541414277601255)	(11, 0.869505234472463)	(12, 0.881184863044597)	(13, 0.8911007893155698)	(14, 0.9027804178877039)	(15, 0.91320585815679)	(16, 0.9204958276682562)	(17, 0.9272370897971389)	(18, 0.9320970694714498)	(19, 0.9372705962215225)	(20, 0.9416602552821904)	(21, 0.9464026548030905)	(22, 0.9511450543239905)	(23, 0.9563577744585336)	(24, 0.9614529144396659)	(25, 0.9685469170287809)	(26, 0.9772478483811761)	(27, 0.9907695660234118)	(28, 1.0029195152091888)	(29, 1.0127962480956914)	(30, 1.0318442329482322)	(31, 1.042700800446491)	(32, 1.049481255959844)	(33, 1.0547723628633277)	(34, 1.0596323425376384)	(35, 1.0637476479070145)	(36, 1.0682940805055634)	(37, 1.0735068006401063)	(38, 1.0787587141591197)	(39, 1.0846769152141271)	(40, 1.0913397905740694)
SRR2977648 - illumina_small_rna_3'_adapter	(1, 0.0030194387361743417)	(2, 0.006859695769561126)	(3, 0.012282959519000478)	(4, 0.019963473585774046)	(5, 0.036086690138161306)	(6, 0.09401300997001082)	(7, 0.7640938898872254)	(8, 0.790623909850699)	(9, 0.8063953471328523)	(10, 0.8176815987195235)	(11, 0.8288505905494499)	(12, 0.8385538354200684)	(13, 0.8495762525540641)	(14, 0.8601882605394535)	(15, 0.868601648085881)	(16, 0.8754027139770698)	(17, 0.8809432374832539)	(18, 0.8863665012326932)	(19, 0.8905585375363139)	(20, 0.8941642750562114)	(21, 0.8977700125761089)	(22, 0.9027242372985698)	(23, 0.9067696989062596)	(24, 0.9108151605139495)	(25, 0.9178800608578137)	(26, 0.9258830392556351)	(27, 0.9391920216461511)	(28, 0.9515336110435239)	(29, 0.9632595867179874)	(30, 0.9789430791825823)	(31, 0.9899068664382056)	(32, 0.9957698542754373)	(33, 1.0011344881465043)	(34, 1.005678303720359)	(35, 1.0098996549631658)	(36, 1.0143262107802757)	(37, 1.0186941367190134)	(38, 1.0227982282050756)	(39, 1.0273127288397441)	(40, 1.0326480477716249)
SRR2977649 - illumina_small_rna_3'_adapter	(1, 0.0029755865783318417)	(2, 0.00671089738942926)	(3, 0.011775725607866439)	(4, 0.021778761339279865)	(5, 0.040550280923862654)	(6, 0.10452539235799725)	(7, 0.8287325172417832)	(8, 0.8593114176105976)	(9, 0.8777030750787976)	(10, 0.8955565945487887)	(11, 0.9179684594153732)	(12, 0.933606116539798)	(13, 0.9498768771915275)	(14, 0.9705793625343894)	(15, 0.9848241918987439)	(16, 0.9933077791646262)	(17, 1.000366883494073)	(18, 1.0055899875943364)	(19, 1.0101483329909298)	(20, 1.0135037816856445)	(21, 1.0183786788458902)	(22, 1.0235068174170578)	(23, 1.0287299215173213)	(24, 1.035915646552229)	(25, 1.0512050967366362)	(26, 1.070229857732141)	(27, 1.109102414308646)	(28, 1.1419921425521227)	(29, 1.1685191803461874)	(30, 1.216951600184993)	(31, 1.242434017159005)	(32, 1.2511391906594438)	(33, 1.2577551225197774)	(34, 1.2629782266200407)	(35, 1.267916434133017)	(36, 1.2725064347059756)	(37, 1.2774446422189518)	(38, 1.2822562290264672)	(39, 1.2882707125358615)	(40, 1.2959312652162476)
