Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
SRR2977621	0.15696419095825945	0
SRR2977622	0.1280456334307639	0
SRR2977623	0	0
SRR2977624	0	0
SRR2977625	0	0
SRR2977626	0	0
SRR2977627	0	0
SRR2977628	0	0
SRR2977629	0	0
SRR2977630	0	0
SRR2977631	0	0
SRR2977632	0	0
SRR2977633	0	0
SRR2977634	0	0
SRR2977635	0	0
SRR2977636	0	0
SRR2977637	0	0
SRR2977638	0	0
SRR2977639	0	0
SRR2977640	0.7207749562171629	0.5197752481027439
SRR2977641	0.46685109912471856	0.4400620270054454
SRR2977642	0.4095799122608313	0.4320839772243445
SRR2977643	0.5721659334373521	0.3774199773010093
SRR2977644	0.5002913659383341	0.7194022553698987
SRR2977645	0.3633852803039051	0.48097883080432563
SRR2977646	0.7600302183666146	0.7694811793069667
SRR2977647	0.4161945496895688	0.4830192702113426
SRR2977648	0.4119042105047153	0.4677198547151615
SRR2977649	0.39527818727265646	0.6166428355947262
SRR2977650	0.38713149916399425	0.40113467579266027
SRR2977651	0.4234608355011226	0.7677828649475806
SRR2977652	0.38357717726698537	0.36532198146754946
SRR2977653	0.41959577111325097	0.5053752021536446
SRR2977654	0.3675653554915958	0.6111070458721566
SRR2977655	0.6789371811482358	2.168972551428861
SRR2977656	0.34014955158668925	0.6101528373965049
SRR2977657	0.34887473391557167	0.7938358143641452
SRR2977658	0.914442718202565	2.9798704075423768
SRR2977659	0.6559087728782013	2.195708589151213
SRR2977660	0.46237405715503627	1.0959865447117816
SRR2977661	0.4978709175586994	0.738176519160855
SRR2977662	0.3243018552118596	0.25630057120387495
SRR2977663	0.34324778899776315	0.3932459268570216
SRR2977664	0.17604171272767707	0
SRR2977665	0.25596498041295723	0.13212580823474596
SRR2977666	0.16539365411200885	0
SRR2977667	1.107134232045623	4.58106621023955
SRR2977668	0.12032460233838119	0.11722969276798431
SRR2977669	0.1166640473310628	0
SRR2977670	0.6439518533261577	1.9748266522784435
SRR2977671	0.7226859187667907	2.500194023490754
SRR2977672	1.9403406787581592	9.802092360293717
SRR2977673	0.6224036303898487	1.5046234309313156
SRR2977674	0.5056710074377918	0.7922607427907781
SRR2977675	0.23155019172366614	0.12314714715037167
SRR2977676	0.502837403597247	0.9627796411125907
SRR2977677	0.5752633658832793	1.0658269833312368
SRR2977678	0.2626079415949942	0.12797655325039464
SRR2977679	0.5576914460108334	1.7860909607598097
SRR2977680	1.916231977600602	9.518586948742051
SRR2977681	0.37674220329959546	0.5937482795700111
SRR2977682	0.7782785706657525	2.553312793496975
SRR2977683	0.15696202840980944	0.11720222454514184
SRR2977684	0.32995346928934643	0.634168374089453
SRR2977685	0.24188620989913084	0.11064319467487749
SRR2977686	1.1030969302422704	3.248826691476962
SRR2977687	0.7733005897719059	2.0732090058021213
SRR2977688	0.12034546130453064	0
SRR2977689	0.6180252111899481	1.234797052666937
SRR2977690	0.9774603599258445	2.66347056008561
SRR2977691	0.7766058665704688	1.9647825400762073
SRR2977692	0.9360197322586827	2.6310626107934816
SRR2977693	0	0
SRR2977694	0	0
SRR2977695	0.4225690725898358	0.6192881831153462
SRR2977696	0.44911884005104624	0.7398934100349088
SRR2977697	2.2649136868214095	7.793259367212378
SRR2977698	0.1460725513947713	0.25212939195236705
SRR2977699	0.6752746416717139	1.9701360938322532
SRR2977700	0.8117031911502158	2.4276139686007636
SRR2977701	0.7081732701433531	2.0008566702862813
SRR2977702	0.12060845073730035	0
SRR2977703	0.32420894058726657	0.35870201998470863
SRR2977704	1.1898463718228758	3.3870261844537186
SRR2977705	0.5358629683896623	1.1030534217520915
SRR2977706	0	0
SRR2977707	0.9589231662743909	2.7071015274209005
SRR2977708	0.15326827376894006	0
SRR2977709	0.5295315490253343	1.331348149845289
SRR2977710	1.2123207540905254	4.198217662514796
SRR2977711	0.15454224633107386	0.24993008900769584
SRR2977712	0.3364777279054461	0.6386766013228287
SRR2977713	0.32369996461506245	0.4913201359181558
SRR2977714	0.2975739008076258	0.3666681791248023
SRR2977715	0	0
SRR2977716	0.271907007892	0.12580485169145433
SRR2977717	0	0
SRR2977718	0.3974117275444584	0.5316632427618024
SRR2977719	0.14792553538944284	0
SRR2977720	0.41746861391331413	0.6903245474028121
SRR2977721	0.1515726340850185	0.2606125628409236
SRR2977722	1.5233935768492817	5.4792174112195715
SRR2977723	0.7692562265700242	2.234109344363567
SRR2977724	3.7997282451657464	14.371253862698808
SRR2977725	2.86061602845197	10.24832136542876
SRR2977726	1.4041768317606773	4.859634194576232
SRR2977727	0.15347149584382921	0
SRR2977728	0.18066562545673723	0
SRR2977729	0.45840958961716877	0.7327362059090663
SRR2977730	0.9621397684437624	2.4448677211991434
SRR2977731	0.2645154350577971	0.12399370128057124
SRR2977732	0	0
SRR2977733	0.5242890630265006	1.4060756011320046
SRR2977734	1.0606121450785282	3.1668655780002664
SRR2977735	3.319317638553655	12.690399287943624
SRR2977736	0.2536459846909554	0.42548728060734303
SRR2977737	0.23352610483977776	0.23052690613012328
SRR2977738	0.3489431087283507	0.6815971239254064
SRR2977739	1.724118896267399	5.433456588888705
SRR2977740	1.7333784994339403	8.502575244066408
SRR2977741	1.263109435158846	5.636731201305037
SRR2977742	0.17794047345498532	0.14028804530123795
SRR2977743	0.13616057660835534	0.11889879727882091
SRR2977744	0.17303346916292842	0.1365434178428551
SRR2977745	0.18099338130057077	0.15952096625055914
SRR2977746	0.19135086574293625	0.14788764357966666
SRR2977747	0.21701420031467183	0.3109357490998154
SRR2977748	0.12676948810892233	0.10508102946179651
SRR2977749	0.11799669040950464	0
SRR2977750	0.13133454336572253	0.10086008109496819
SRR2977751	0.14361712556613576	0.11957590350647057
SRR2977752	0.10454033553880009	0
SRR2977753	0.13341627673723813	0.1130120052813339
SRR2977754	0.24325379135083136	0.29675233360277264
SRR2977755	0.19057884636048966	0.15561433700776178
SRR2977756	0.14119440458244237	0.10820460630322504
SRR2977757	0.14976059316310505	0.11171770375094756
SRR2977758	0.11867093990922761	0
SRR2977759	0.1583416223760822	0.12652125519076526
SRR2977760	0	0
SRR2977761	0	0
SRR2977762	0.10708410021862336	0
SRR2977763	0	0
SRR2977764	0	0
SRR2977765	0.10060797045666493	0
SRR2977766	0.21751477151348717	0.26788797206723736
SRR2977767	0.14623956521807188	0.11147652523000998
SRR2977768	0.14777989996740032	0.11432493724859621
SRR2977769	0.17121008293869897	0.1262785179434104
SRR2977770	0	0
SRR2977771	0.1536577121310287	0.11503927299868849
SRR2977772	0	0
SRR2977773	0	0
SRR2977774	0	0
SRR2977775	0.10452463207877395	0
SRR2977776	0	0
SRR2977777	0	0
SRR2977778	0	0
SRR2977779	0	0
SRR2977780	0	0
SRR2977781	0	0
SRR2977782	0	0
SRR2977783	0	0
SRR2977784	0	0
SRR2977785	0	0
SRR2977786	0	0
SRR2977787	0	0
SRR2977788	0	0
SRR2977789	0	0
SRR2977790	0.12402283838000633	0
SRR2977791	0	0
SRR2977792	0	0
SRR2977793	0.13902039543352654	0.10857146351580951
SRR2977794	0	0
SRR2977795	0	0
SRR2977796	0	0
SRR2977797	0	0
SRR2977798	0	0
SRR2977799	0	0
SRR2977800	0	0
SRR2977801	0	0
SRR2977802	0.13645640307597343	0.10931707281834782
SRR2977803	0.11619640899051377	0.10119896550452888
SRR2977804	0.10467032963324484	0
SRR2977805	0.12997422943301065	0.10387492488193098
SRR2977806	0	0
SRR2977807	0.10952411801941805	0
SRR2977808	0	0
SRR2977809	0.13236599611820762	0.10237870266637239
SRR2977810	0	0
SRR2977811	0	0
SRR2977812	0	0
SRR2977813	0.12799926857560814	0.10300349304126424
SRR2977814	0.16201873736923655	0.12784800059027407
SRR2977815	0.11069263983011207	0
SRR2977816	0.11474902035266848	0
SRR2977817	0.11148657805173634	0
SRR2977818	0.12156157250979617	0
SRR2977819	0.17608341016123952	0.1320027582869917
SRR2977820	0.1636936439064869	0.12001907925076458
SRR2977821	0.14839206131921687	0.11235943377497556
SRR2977822	0	0
SRR2977823	0.11526974169280564	0
SRR2977824	0	0
SRR2977825	0	0
SRR2977826	0	0
SRR2977827	0	0
SRR2977828	0	0
SRR2977830	0	0
SRR2977831	0	0
SRR2977832	0.12256385556649955	0
SRR2977833	0	0
SRR2977834	0	0
SRR2977835	0	0
SRR2977836	0	0
SRR2977837	0	0
SRR2977838	0	0
SRR2977839	0	0
SRR2977840	0	0
SRR2977841	0.1049585673192115	0
SRR2977842	0.10991429090794781	0
SRR2977843	0	0
SRR2977844	0	0
SRR2977845	0	0
SRR2977846	0	0
SRR2977847	0	0
SRR2977848	0	0
SRR2977849	0	0
SRR2977850	0	0
SRR2977851	0	0
SRR2977852	0	0
SRR2977853	0	0
SRR2977854	0	0
SRR2977855	0	0
SRR2977856	0	0
SRR2977857	0.1554278730765749	0.13167830639231803
SRR2977858	0.3570246720180025	0.5677272245080371
SRR2977859	0.11290296329283095	0
SRR2977860	0	0
SRR2977861	0	0
SRR2977862	0	0
SRR2977863	0	0
SRR2977864	0	0
SRR2977865	0	0
SRR2977866	0	0
SRR2977867	0	0
SRR2977868	0.2335083082457693	0.30778842531766526
SRR2977869	0.15275254848783912	0.12398603154181206
SRR2977870	0.11612117464130663	0
SRR2977871	0.12495422280834816	0
SRR2977872	0.14665676837344713	0.12034008375119346
SRR2977873	0.14253414481406734	0.11142302677204718
SRR2977874	0	0
SRR2977875	0	0
SRR2977876	0	0
SRR2977877	0	0
SRR2977878	0	0
SRR2977879	0.11422246502600839	0
SRR2977880	0	0
SRR2977881	0.11631932235420898	0
SRR2977882	0.23578626642502826	0.30133206748617386
SRR2977883	0.13131741240535275	0.10715416842736661
SRR2977884	0.13627825151941172	0.11388135852263429
SRR2977885	0.1536422320707789	0.13141804553675077
SRR2977886	0.16061408102117805	0.12734412751887278
SRR2977887	0.15791896240175163	0.14882426482393007
SRR2977888	0.1638048414235083	0.13026032870475698
SRR2977889	0.170757445417742	0.14453005762702462
SRR2977890	0.18104092634739424	0.14508859408936345
SRR2977891	0.16174069525063628	0.13153310618899433
SRR2977892	0.139088021653468	0.10882596935971653
SRR2977893	0.14329293298979706	0.11741197833648359
SRR2977894	0.15400425871780785	0.12012207555867047
SRR2977895	0.14350340716990145	0.11701092585450096
SRR2977896	0	0
SRR2977897	0	0
SRR2977898	0.11837130703572588	0
SRR2977899	0.10676700362192006	0
SRR2977900	0.14269363839084867	0.10575088397815621
SRR2977901	0.12718133134552806	0.1011857537622296
SRR2977902	0.11701656698860459	0
SRR2977903	0.1521319771313416	0.12319454701944468
SRR2977904	0.10568366616567892	0
SRR2977905	0.1165667967458963	0.10031363454978078
SRR2977906	0.1896978350748463	0.16359632422938383
SRR2977907	0.12824759878417447	0.10627299090596926
SRR2977908	0.11012387233524001	0
SRR2977909	0.10023411209925462	0
SRR2977910	0.10879599016921056	0
SRR2977911	0.11023553046444036	0
SRR2977912	0.1284301345630733	0.10021305356377977
SRR2977913	0.15593269118348038	0.1208033168748707
SRR2977914	0.13880925402949087	0.10597559519176439
SRR2977915	0.12155147790991588	0
SRR2977916	0	0
SRR2977917	0.11778194161008089	0
SRR2977918	0.19770013374537962	0.16748151241268508
SRR2977919	0.1327544658862512	0.10650126525190826
SRR2977920	0	0
SRR2977921	0.11190458621617634	0
SRR2977922	0	0
SRR2977923	0.11543110195064568	0
SRR2977924	0.13592750082753452	0.11300216270154056
SRR2977925	0.13316272842521054	0.11273972131744331
SRR2977926	0.11275602232281105	0
SRR2977927	0.13478781421627098	0.11661350681752533
SRR2977928	0.13455043754717624	0.1120392798897312
SRR2977929	0.19201663397305269	0.2690281394471592
SRR2977930	0.5158071259752156	0.8253017404484183
SRR2977931	0	0
SRR2977932	0.10218215245952818	0
SRR2977933	0.11136713596187146	0
SRR2977934	0.10873568166306846	0
SRR2977935	0.11940976485701915	0.10149546109458951
SRR2977936	0.11401349758018359	0
SRR2977937	0.18028683936548554	0.15230704170818407
SRR2977938	0.11660460868157155	0
SRR2977939	0.22971977117218467	0.6850615828036181
SRR2977940	0	0
SRR2977941	0	0
SRR2977942	0.12908998370918393	0.10268384475793549
SRR2977943	0	0
SRR2977944	0	0
SRR2977945	0	0
SRR2977946	0.10910264237314496	0
SRR2977947	0	0
SRR2977948	0.1750973725384699	0.13923215826490187
SRR2977949	0.13761967817305473	0.11361571403102036
SRR2977950	0.12496176977728768	0
SRR2977951	0.1285844285774652	0.1065486106275432
SRR2977952	0.10999650934529524	0
SRR2977953	0.12332278243412406	0
SRR2977954	0.15323392878757888	0.13131054551012614
SRR2977955	0.14841713671513518	0.3826172995441574
SRR2977956	0	0
SRR2977957	0	0
SRR2977958	0	0
SRR2977959	0	0
SRR2977960	0	0
SRR2977961	0	0
SRR2977962	0	0
SRR2977963	0	0
SRR2977964	0	0
SRR2977965	0	0
SRR2977966	0	0
SRR2977967	0	0
SRR2977968	0	0
SRR2977969	0	0
SRR2977970	0	0
SRR2977971	0	0
SRR2977972	0	0
SRR2977973	0	0
SRR2977974	0	0
SRR2977975	0	0
SRR2977976	0	0
SRR2977977	0	0
SRR2977978	0	0
SRR2977979	0	0
SRR2977980	0	0
SRR2977981	0	0
SRR2977982	0	0
SRR2977983	0	0
SRR2977984	0	0
SRR2977985	0	0
SRR2977986	0	0
SRR2977987	0	0
SRR2977988	0.1294348986293677	0.10027917110066253
SRR2977989	0	0
SRR2977991	0	0
SRR2977992	0	0
SRR2977993	0	0
SRR2977994	0	0
SRR2977995	0	0
SRR2977996	0	0
SRR2977997	0	0
SRR2977998	0	0
SRR2977999	0	0
SRR2978000	0	0
SRR2978001	0	0
SRR2978002	0	0
SRR2978003	0	0
SRR2978004	0	0
SRR2978005	0	0
SRR2978006	0	0
SRR2978007	0	0
SRR2978008	0	0
SRR2978009	0	0
SRR2978010	0	0
SRR2978011	0	0
SRR2978012	0	0
SRR2978013	0	0
SRR2978014	0	0
SRR2978015	0.13923981524955503	0.11196401078802837
SRR2978016	0	0
SRR2978017	0	0
SRR2978018	0	0
SRR2978019	0	0
SRR2978020	0	0
SRR2978021	0	0
SRR2978022	0.20198756528987558	0.28700141987157424
SRR2978023	0.12391839122270942	0.12206112124894211
SRR2978024	0.2509749402397321	0.34442281446539447
SRR2978025	0	0
SRR2978026	0.11852544225103695	0.10027523874751149
SRR2978027	0	0
SRR2978028	0	0
SRR2978029	0	0
SRR2978030	0	0
SRR2978031	0.11423122576258295	0.10043031382474198
SRR2978032	0.15927889334791206	0.11506631200102241
SRR2978033	0.12007889294569254	0
SRR2978034	0.21940925512700576	0.2763885530676578
SRR2978035	0	0
SRR2978036	0	0
SRR2978037	0	0
SRR2978038	0	0
SRR2978039	0	0
SRR2978040	0	0
SRR2978041	0.14118010369254763	0.10005054049672019
SRR2978042	0.11772823693719553	0
SRR2978043	0.25196692026308476	0.3463048676026369
SRR2978044	0.10023601831451885	0
SRR2978045	0	0
SRR2978046	0	0
SRR2978047	0	0
SRR2978048	0	0
SRR2978049	0	0
SRR2978050	0	0
SRR2978051	0.1797791599892645	0.12892602675444956
SRR2978052	0	0
SRR2978053	0.16122107503178798	0.12298728524041233
SRR2978054	0	0
SRR2978055	0	0
SRR2978056	0	0
SRR2978057	0	0
SRR2978058	0	0
SRR2978059	0.19905508180590842	0.2505826244753951
SRR2978060	0.3223886331151639	0.4239749638034191
SRR2978061	0	0
SRR2978062	0.198986956932706	0.2720937890632098
SRR2978063	0.10352319538351902	0
SRR2978064	0.1182368273068698	0
SRR2978065	0.10909461029848873	0
SRR2978066	0.17864154229475804	0.12824281280332717
SRR2978067	0	0
SRR2978068	0	0
SRR2978069	0	0
SRR2978070	0	0
SRR2978071	0	0
SRR2978072	0	0
SRR2978073	0.15768366899108474	0.11854654392640193
SRR2978074	0	0
SRR2978075	0	0
SRR2978076	0.11510260274858906	0
SRR2978077	0.13284829580771504	0.10221769592520463
SRR2978078	0	0
SRR2978079	0	0
SRR2978080	0	0
SRR2978081	0	0
SRR2978082	0	0
SRR2978083	0	0
SRR2978084	0	0
SRR2978085	0.17433395286284228	0.12302751180905366
SRR2978086	0	0
SRR2978087	0	0
SRR2978088	0	0
SRR2978089	0.13535619103079896	0.10150102688267645
SRR2978090	0	0
SRR2978091	0	0
SRR2978092	0	0
SRR2978093	0	0
SRR2978094	0	0
SRR2978095	0	0
SRR2978096	0	0
SRR2978097	0	0
SRR2978098	0	0
SRR2978099	0	0
SRR2978100	0	0
SRR2978101	0	0
SRR2978102	0	0
SRR2978103	0	0
SRR2978104	0	0
SRR2978105	0	0
SRR2978106	0	0
SRR2978107	0	0
SRR2978108	0	0
SRR2978109	0	0
SRR2978110	0	0
SRR2978111	0.2523800689956996	0.12172610829305519
SRR2978112	0.14685520308591143	0
SRR2978113	0.1677180830792757	0
SRR2978114	0.3029399573625993	0.3702244617973344
SRR2978115	0.1938626425641674	0.10231459460480297
SRR2978116	0.7487485109762324	2.1281429037381585
SRR2978117	0.5051200395184997	1.123952624846149
SRR2978118	0.2612196531472898	0.13757739221067555
SRR2978119	0.5575857349831141	1.225929468897363
SRR2978120	0.28312470904833686	0.15109013564410634
SRR2978121	0.4178000338707812	0.8186646771303694
SRR2978122	0.2016892026102247	0
SRR2978123	0.2825078781721053	0.1380912597931434
SRR2978124	0.15026179572905707	0
SRR2978125	0.3974658528560048	0.595736883114571
SRR2978126	0.18876818890331226	0
SRR2978127	0.29910753029437204	0.2537440586220154
SRR2978128	0.852633158735919	2.5544001542371446
SRR2978129	0.2555671009632085	0.1361361798833119
SRR2978130	0.5723790937131591	1.324038603697598
SRR2978131	1.0922568944594755	3.413955820903616
SRR2978132	0.41378032838845413	0.8099909913316049
SRR2978133	0.3797914362690168	0.9033656667876994
SRR2978134	0.17358936619798948	0.2137893797624112
SRR2978135	0.21889411676283727	0.27368346977214664
SRR2978136	0.16103472512116734	0.14489961513849636
SRR2978137	0.16737281678641905	0.12839786529187477
SRR2978138	0.11785558722300862	0.11753266117518502
SRR2978139	0	0
SRR2978140	0	0
SRR2978141	0	0
SRR2978142	0.17894797568809243	0
SRR2978143	0.22703828386047772	0.11939412033654342
