Sample	Unique Reads	Duplicate Reads
SRR2977621	7800839	4733230
SRR2977622	7591784	4606992
SRR2977623	7304622	4519045
SRR2977624	7093344	4392048
SRR2977625	15114102	14677776
SRR2977626	15638490	17770779
SRR2977627	16964244	18133643
SRR2977628	20501213	17619625
SRR2977629	19132317	16002943
SRR2977630	17262642	12986055
SRR2977631	18019368	13325196
SRR2977632	19265626	14697382
SRR2977633	13780106	16082829
SRR2977634	14064925	16978670
SRR2977635	14615414	16882323
SRR2977636	19853146	11345781
SRR2977637	20877047	14773689
SRR2977638	15907208	9792328
SRR2977639	18425512	14670598
SRR2977640	1605459	1135341
SRR2977641	1744393	1167242
SRR2977642	2194057	1178667
SRR2977643	1927885	1269614
SRR2977644	1790564	1449348
SRR2977645	1828620	1141781
SRR2977646	1822974	1414792
SRR2977647	1584086	967365
SRR2977648	2052140	1359090
SRR2977649	1233203	1925838
SRR2977650	1514337	1592101
SRR2977651	1069141	1862417
SRR2977652	1549059	1660986
SRR2977653	967776	1838258
SRR2977654	996006	1955850
SRR2977655	3693802	1462787
SRR2977656	3388543	1374362
SRR2977657	4443683	2432424
SRR2977658	2932325	982409
SRR2977659	3998161	1847469
SRR2977660	3851424	1760050
SRR2977661	4320579	1316826
SRR2977662	4479803	1308323
SRR2977663	5328384	2001889
SRR2977664	4349642	1055327
SRR2977665	4760726	1321356
SRR2977666	5837081	2004816
SRR2977667	4875526	3567443
SRR2977668	5105739	3650575
SRR2977669	4935335	3107417
SRR2977670	4265131	2243896
SRR2977671	4578809	2933168
SRR2977672	4898566	4919246
SRR2977673	8054632	4082026
SRR2977674	6040343	2053457
SRR2977675	10107447	4793426
SRR2977676	6619717	2696018
SRR2977677	5869475	2534328
SRR2977678	8669536	6056599
SRR2977679	4874865	4744074
SRR2977680	4011158	2988673
SRR2977681	5673423	4298648
SRR2977682	4036484	1937598
SRR2977683	5288766	2895379
SRR2977684	5233057	3609705
SRR2977685	6641720	2790401
SRR2977686	7213617	3245482
SRR2977687	6192353	2678195
SRR2977688	5553049	1793302
SRR2977689	6367317	2409024
SRR2977690	5806523	2685893
SRR2977691	4309059	1235066
SRR2977692	6366155	2425540
SRR2977693	4990304	1460451
SRR2977694	5370896	1613316
SRR2977695	4878317	1527263
SRR2977696	5513861	1547967
SRR2977697	4861194	3771497
SRR2977698	3294153	1309039
SRR2977699	4574480	3174071
SRR2977700	4648009	2836377
