Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR2977621	(1.0, 49.840077906651786)	(2.0, 14.285660422412297)	(3.0, 6.6325136183305045)	(4.0, 3.9269320917208557)	(5.0, 2.643843904123036)	(6.0, 1.9964849686356276)	(7.0, 1.5452034849736487)	(8.0, 1.3133860086808593)	(9.0, 1.0686257987190169)	('>10', 11.757327175826566)	('>50', 2.7332407587357617)	('>100', 1.9607886892252198)	('>500', 0.08168784650104988)	('>1k', 0.0)	('>5k', 0.05710865254022902)	('>10k+', 0.15711867292357232)
SRR2977622	(1.0, 49.75194751487446)	(2.0, 14.488737418463229)	(3.0, 6.581512343889434)	(4.0, 3.9242483830783734)	(5.0, 2.6295400970641216)	(6.0, 1.9866759887626273)	(7.0, 1.5578975229829575)	(8.0, 1.2382019613725859)	(9.0, 1.0650677439389113)	('>10', 11.964207758007165)	('>50', 2.690702482260068)	('>100', 1.8836383889316064)	('>500', 0.0808206160413236)	('>1k', 0.028683152472907945)	('>5k', 0.0)	('>10k+', 0.12811862786011496)
SRR2977623	(1.0, 49.193567826012995)	(2.0, 14.552964721251355)	(3.0, 6.644004404799277)	(4.0, 3.979350071475033)	(5.0, 2.742968567694512)	(6.0, 1.956656780264652)	(7.0, 1.553871327897298)	(8.0, 1.236336686438583)	(9.0, 1.1675506433350673)	('>10', 12.117162019849625)	('>50', 2.772749887760929)	('>100', 1.9024156195502875)	('>500', 0.07501827045877613)	('>1k', 0.0321839499740662)	('>5k', 0.07319922323751704)	('>10k+', 0.0)
SRR2977624	(1.0, 48.95888487279206)	(2.0, 15.034096668287383)	(3.0, 6.560565216169695)	(4.0, 4.000180726867374)	(5.0, 2.671569985195068)	(6.0, 2.0374230660854855)	(7.0, 1.5804000581214648)	(8.0, 1.333885190290392)	(9.0, 1.1242340236364246)	('>10', 11.892705504154561)	('>50', 2.6960982517422205)	('>100', 1.9626784790917957)	('>500', 0.09219692811494454)	('>1k', 0.05508102945115332)	('>5k', 0.0)	('>10k+', 0.0)
SRR2977625	(1.0, 36.09576531580436)	(2.0, 15.699204863857426)	(3.0, 8.091609781876231)	(4.0, 5.2151998770286765)	(5.0, 3.6120631366528757)	(6.0, 2.7655930565341635)	(7.0, 2.114217487548901)	(8.0, 1.901727162411544)	(9.0, 1.45914675203166)	('>10', 14.732632833959372)	('>50', 3.8369888497720135)	('>100', 4.071671327856361)	('>500', 0.29286688111769693)	('>1k', 0.07542712862249015)	('>5k', 0.0)	('>10k+', 0.035885544926297454)
SRR2977626	(1.0, 31.937683775677804)	(2.0, 15.488990883547496)	(3.0, 8.382646382705856)	(4.0, 5.353466019792438)	(5.0, 3.787442201819655)	(6.0, 2.9240828111792645)	(7.0, 2.299486157680276)	(8.0, 1.880359109984991)	(9.0, 1.6755305753777545)	('>10', 16.262973918012833)	('>50', 4.377589169752546)	('>100', 5.058548904832967)	('>500', 0.39901939480136384)	('>1k', 0.13050132072787596)	('>5k', 0.0)	('>10k+', 0.04167937410697485)
SRR2977627	(1.0, 33.9765519062169)	(2.0, 15.069284703182609)	(3.0, 8.043739449727484)	(4.0, 5.034589909215384)	(5.0, 3.701490266109976)	(6.0, 2.78778027400737)	(7.0, 2.1834435730134714)	(8.0, 1.8721572022587816)	(9.0, 1.4851545020005823)	('>10', 15.651514111851576)	('>50', 4.302683283132104)	('>100', 5.233540123083631)	('>500', 0.48743212100584427)	('>1k', 0.155540035374495)	('>5k', 0.015098539819766199)	('>10k+', 0.0)
SRR2977628	(1.0, 40.402976961120224)	(2.0, 14.499206319207328)	(3.0, 7.390512690868115)	(4.0, 4.5437451621961)	(5.0, 3.2921149792040207)	(6.0, 2.428765772489593)	(7.0, 1.926785527789271)	(8.0, 1.536637059535304)	(9.0, 1.2922957536004083)	('>10', 14.067360032165407)	('>50', 3.4439653514762933)	('>100', 4.072908080721451)	('>500', 0.7007484295283086)	('>1k', 0.40197788009819)	('>5k', 0.0)	('>10k+', 0.0)
SRR2977629	(1.0, 41.69495230621762)	(2.0, 13.908118072692849)	(3.0, 6.863798333310618)	(4.0, 4.354125768698598)	(5.0, 3.0465910010123154)	(6.0, 2.40632887511119)	(7.0, 1.827744635935124)	(8.0, 1.3904929542918263)	(9.0, 1.2728399558346344)	('>10', 13.864641425330332)	('>50', 3.4931664217333243)	('>100', 4.38845796299879)	('>500', 0.8715782306379429)	('>1k', 0.617164056194967)	('>5k', 0.0)	('>10k+', 0.0)
SRR2977630	(1.0, 42.39693812545137)	(2.0, 16.464998560587656)	(3.0, 8.138261171034031)	(4.0, 4.997299285872722)	(5.0, 3.3880496908162887)	(6.0, 2.5031327038654965)	(7.0, 1.9314930723564379)	(8.0, 1.6219251757135504)	(9.0, 1.3202869438251643)	('>10', 12.436375814486599)	('>50', 2.350216456563973)	('>100', 2.3132776044970362)	('>500', 0.12459876808692454)	('>1k', 0.013146626842726555)	('>5k', 0.0)	('>10k+', 0.0)
SRR2977631	(1.0, 43.32764578322198)	(2.0, 15.673213872274397)	(3.0, 7.9180336541754395)	(4.0, 4.921903118096047)	(5.0, 3.3229429216586053)	(6.0, 2.4090069336413693)	(7.0, 1.9957203650486537)	(8.0, 1.6029652996814032)	(9.0, 1.3095810598878967)	('>10', 12.320167009582422)	('>50', 2.401038453752723)	('>100', 2.579033471868681)	('>500', 0.17864803504664187)	('>1k', 0.04010002206367494)	('>5k', 0.0)	('>10k+', 0.0)
