Sample_ID	Sample_Name	Cell_Type
GSM896803	Oocyte #1	cDNAs of individual cells of preimplantation embryos
GSM896804	Oocyte #2	cDNAs of individual cells of preimplantation embryos
GSM896805	Oocyte #3	cDNAs of individual cells of preimplantation embryos
GSM896806	Zygote #1	cDNAs of individual cells of preimplantation embryos
GSM896807	Zygote #2	cDNAs of individual cells of preimplantation embryos
GSM896808	Zygote #3	cDNAs of individual cells of preimplantation embryos
GSM896809	2-cell embryo#1 -Cell#1	cDNAs of individual cells of preimplantation embryos
GSM896810	2-cell embryo#1 -Cell#2	cDNAs of individual cells of preimplantation embryos
GSM896811	2-cell embryo#2 -Cell#1	cDNAs of individual cells of preimplantation embryos
GSM896812	2-cell embryo#2 -Cell#2	cDNAs of individual cells of preimplantation embryos
GSM896813	2-cell embryo#3 -Cell#1	cDNAs of individual cells of preimplantation embryos
GSM896814	2-cell embryo#3 -Cell#2	cDNAs of individual cells of preimplantation embryos
GSM896815	hESC passage#0 -Cell#1	cDNAs of individual cell of human embryonic stem cells
GSM896816	hESC passage#0 -Cell#2	cDNAs of individual cell of human embryonic stem cells
GSM922146	4-cell embryo#1 -Cell#1	4-cell embryo#1
GSM922147	4-cell embryo#1 -Cell#2	4-cell embryo#1
GSM922148	4-cell embryo#1 -Cell#3	4-cell embryo#1
GSM922149	4-cell embryo#1 -Cell#4	4-cell embryo#1
GSM922150	4-cell embryo#2 -Cell#1	4-cell embryo#2
GSM922151	4-cell embryo#2 -Cell#2	4-cell embryo#2
GSM922152	4-cell embryo#2 -Cell#3	4-cell embryo#2
GSM922153	4-cell embryo#2 -Cell#4	4-cell embryo#2
GSM922154	4-cell embryo#3 -Cell#1	4-cell embryo#3
GSM922155	4-cell embryo#3 -Cell#2	4-cell embryo#3
GSM922156	4-cell embryo#3 -Cell#3	4-cell embryo#3
GSM922157	4-cell embryo#3 -Cell#4	4-cell embryo#3
GSM922158	8-cell embryo#1 -Cell#1	8-cell embryo#1
GSM922159	8-cell embryo#1 -Cell#2	8-cell embryo#1
GSM922160	8-cell embryo#1 -Cell#3	8-cell embryo#1
GSM922161	8-cell embryo#1 -Cell#4	8-cell embryo#1
GSM922162	8-cell embryo#2 -Cell#1	8-cell embryo#2
GSM922163	8-cell embryo#2 -Cell#2	8-cell embryo#2
GSM922164	8-cell embryo#2 -Cell#3	8-cell embryo#2
GSM922165	8-cell embryo#2 -Cell#4	8-cell embryo#2
GSM922166	8-cell embryo#2 -Cell#5	8-cell embryo#2
GSM922167	8-cell embryo#2 -Cell#6	8-cell embryo#2
GSM922168	8-cell embryo#2 -Cell#7	8-cell embryo#2
GSM922169	8-cell embryo#2 -Cell#8	8-cell embryo#2
GSM922170	8-cell embryo#3 -Cell#1	8-cell embryo#3
GSM922171	8-cell embryo#3 -Cell#2	8-cell embryo#3
GSM922172	8-cell embryo#3 -Cell#3	8-cell embryo#3
GSM922173	8-cell embryo#3 -Cell#4	8-cell embryo#3
GSM922174	8-cell embryo#3 -Cell#5	8-cell embryo#3
GSM922175	8-cell embryo#3 -Cell#6	8-cell embryo#3
GSM922176	8-cell embryo#3 -Cell#7	8-cell embryo#3
GSM922177	8-cell embryo#3 -Cell#8	8-cell embryo#3
GSM922178	Morulae #1 -Cell#1	Morulae #1
GSM922179	Morulae #1 -Cell#2	Morulae #1
GSM922180	Morulae #1 -Cell#3	Morulae #1
GSM922181	Morulae #1 -Cell#4	Morulae #1
GSM922182	Morulae #1 -Cell#5	Morulae #1
GSM922183	Morulae #1 -Cell#6	Morulae #1
GSM922184	Morulae #1 -Cell#7	Morulae #1
GSM922185	Morulae #1 -Cell#8	Morulae #1
GSM922186	Morulae #2 -Cell#1	Morulae #2
GSM922187	Morulae #2 -Cell#2	Morulae #2
GSM922188	Morulae #2 -Cell#3	Morulae #2
GSM922189	Morulae #2 -Cell#4	Morulae #2
GSM922190	Morulae #2 -Cell#5	Morulae #2
GSM922191	Morulae #2 -Cell#6	Morulae #2
GSM922192	Morulae #2 -Cell#7	Morulae #2
GSM922193	Morulae #2 -Cell#8	Morulae #2
GSM922194	Late blastocyst #1 -Cell#1	Late blastocyst #1
GSM922195	Late blastocyst #1 -Cell#2	Late blastocyst #1
